Review,keyword
여름에 꼭 가지고 있어야 템 중 하나 입니다 원플원임에도 불구하고 퀄리티랑 핏이 너무 괜찮아요 어디가서 이런 가격으로 이런 퀄리티 내기 쉽지 않습니닿 재질도 부드러운 니트 소재라 안에 아무것도 안 입어도 피부가 자극을 받지 않아요 사이즈는 정사이즈로 구매하시거나 제 체형 참고하고 구매하시면 될 것 같아요 배송은 나쁘지 않았고 포장도 잘 되어 있어서 기분 좋게 받을 수 있었답니다,"정사 이즈, 어디가, 원, 재질, 배송, 불구, 가지"
여름에 입기 딱 좋은 두께에요 부드러워서 맨 몸에 입어도 괜찮아요,"부드럽다, 여름, 몸, 두께"
시원한 느낌이라 좋습니다 부드러워 편하네요 카라와 단추 라인이 예쁘게 잘 나왔습니다 적당히 풀고 닫고 하기 좋아요,"적당하다, 라인, 시원하다, 단추, 카라, 부드럽다, 편하다"
무신사 매장까지 방문해서 재질확인후이 구매하였습니다 여름에 입기 좋은 두께감입니다 핏도 몸통밑으로 갈수록 좁아져서 몸에 촥 감깁니다 너무 맘에 들어요,"재질 확인 후, 방문, 물다, 좁다, 갈수록, 몸"
최고에요 사이즈 살짝 오버핏인데 그냥 너무 좋야요 제 스펙이랑 비슷하시면 m 사세요,"스펙, 사이즈, 최고, 오버핏, 그냥"
색감이 너무 취향이라 구매했습니다 하늘색을 좋아하는데 실물이 더 예뻤어요 가성비 좋은 반팔 니트입니다 한계절 무난하게 입고 다니기 좋을 것 같아요 마른 편이라 체형이 드러나는얇고 붙는 옷을 선호하지 않는데 입었을 때 괜찮았어요 저는 안에 여름용 나시 입었습니다 아직 계절이 안풀려서 자켓 안에 입었는데 괜찮았어요,"니트, 선호, 실물, 색감, 풀다, 하늘색, 체형, 마르다"
키몸무게에 비해 운동을 해서 상체가 조금 두께감이 있는 편입니다 저스트하게 맞는듯합니다 조금 헐렁하게 너프하게 입고싶은분들은 한치수 업해도 이쁠꺼같아요,"헐렁하다, 저스트, 상체, 운동, 업, 너프, 치수, 키 몸무게, 편입"
니트의 색감이 내가 생각한 것과 좀 다르면 어쩌지 생각했었는데 막상 받아서 입어보니 핏도 너무 예쁘고 색감도 제가 생각한대로라서 너무 만족스러워요 사이즈도 딱 좋고 가벼워서 여름에 입고 다니기 좋을 것 같아요 시보리 디테일도 ,"대로, 사이즈, 만족스럽다, 입어보다, 색감, 막상, 디테 일도, 니트"
촉감도 부드럽고 색감도 이쁘네요 사이즈는한사이즈작은게맞을듯요,"색감, 촉감, 부드럽다, 사이즈 사이즈 작다 맞다"
작년에도 사고 또 사서 너무 만족스럽네요 카라없는것도 구매 예정입니다,"만족스럽다, 작년, 사서, 사고, 카라 없다, 예정"
길이도 괜찮고 편한느낌이어서 좋아요그리고 색도 예쁘고 특히 가벼워서 여름에도 부담없이 입을 수 있을 것 같아서 좋습니다,"가볍다, 길이, 여름, 색도, 편하다"
작년에 사고 너무 맘에 들어서 다른 색으로 더 장만했슴다 그냥 핏이며 소재며 관리며 최고입니다 이거 안사는 이유를 모르겠어요 가격도 매우 저렴하고요 일반 머슬핏보다 더 머슬핏이에요 최고입다 엘그레이 색이 생각보다 더 맛도리네요,"들어서다, 저렴하다, 가격, 색, 색, 소재, 일반"
아이보리는 거의 흰색에 가깝네요 통풍도 잘되고 시원하게 잘 입을 거 같습니다,"통풍, 시원하다, 흰색, 아이보리, 되다, 가깝다"
