Processed_Review,keyword
저희 아들 센티에 kg한테 입히려고 주문했는데 너무 늦게 왔네요 취업 땜에 지방 가서 담 주나 돼야 입을 수 있을 듯요 아쉬운 대로 제가 착용해 봤어요 로즈 하니 나쁘지 않은데요 스타일리시해 보이고 남자친구 룩으로 좋아요,"스타일리시, 입히다, 남자친구, 착용, 가다, 보이, 지방"
사이즈도 좋고 재질도 좋은데 지퍼가 좀 아쉬워요,"재질, 사이즈, 지퍼, 아쉽다"
원하던 후드집업을 찾았어요 색감도 너무 예쁘고 기장감도 마음에 듭니다,"후드 집업, 기장감, 원하다, 색감, 찾다"
스타일은 잘 잡았지만 얇은 게 단점 그리고 지퍼가 스무드하게 내려가진 않음 그래도 이뻐서 자주 입을 듯합니다,"스타일, 내려가다, 지퍼, 드하, 단점, 잡다"
실물이 더 예쁘네요 제가 원하던 피그먼트 후드집업입니다,"후드 집업, 피그먼트, 실물, 원하다"
원단 자체도 탄탄하고 그냥 막 입어도 엄청 이뻐요 적당한 온 버핏이고 과하지 않아 좋습니다 맘에 들어서 그레이도 주문했는데 블랙도 있었으면 좋겠어요,"적당하다, 탄탄하다, 들어서다, 자체, 블랙, 그레이"
워싱감이 돋보이는 제품으로 가격 대비 질감은 괜찮습니다 하지만 후드 각은 잘 잡히지 않고 지퍼퀄이 좀 아쉽습니다,"워싱감, 지퍼 퀄, 잡히다, 질감, 제품, 대비, 가격, 후드"
가격 대비 퀄리티가 매우 좋은 것 같습니다 잘 입고 다닐게요,"퀄리티, 대비, 가격"
온 버핏이 정말 예술 생각보다 얇아서 저녁에 걸치고 나가도 덥지 않습니다 로 세라핌 된 기분,"걸, 덥다, 세라핌, 저녁, 기분, 예술, 얇다"
비슷한 옷벌은 되지만 피그먼트 느낌 적당하고 소매 절개 디테일도 포인트로 예뻐요 후드 무겁다는 분 많아서 고민했는데 그래서 주저앉지 않고 전 오히려 살아있어서 좋네요 한여름 빼고 이너로 아우터로 교복템 될듯합니다 다른 색도 구매예정입니다,"적당하다, 아우터, 무겁다, 디테 일도, 피그먼트, 이너, 포인트, 절개"
디자인 워싱이 처리된 후드집업이에요 그래서 블랙 그레이의 오묘한 느낌이 같이 돌아서 막입기 좋아요 유행타지 않고 입기 좋은 느낌이에요 핏 온 버핏이라서 평소 추구하는 이미지의 사이즈보다 한 사이즈 작게 가도 충분히 예쁘게 입으실 수 있을 것 같아요 Ykk 투웨이 지퍼라서 어떻게든 매치하기 좋은 느낌이에요 진짜 추천합니다,"이미지, 매치, 추천, 후드 집업, 사이즈, 막, 충분하다, 유행 타지, 사이즈"
원단 워싱 해서 그런지 칼라가 빈티지스럽고 예뻐요 두께감도 간절기에 휘뚜르마뚜르 막 입기 좋고 적당한 온 버핏도 마음에 듭니다 배송 좀 늦은 거 빼고는 다 좋아요,"빈티 스럽다, 간절기, 그렇다, 워싱, 적당하다, 원단, 칼라"
색감이 예쁘게 잘 나와서 봄 가을에 자주 입을 거 같아요,"색감, 나오다, 가을"
마음에 들어서 회색이랑 차콜 색 두 개 샀습니다 키 cm 기준으로 엉덩이 위까지 오는 기장감이고 하단 부분 지퍼를 올릴 수 있어서 좋습니다 적당한 길이감에 소매가 길어서 좋고 가볍지 많고 후드도 크고 탄탄합니다,"기장감, 탄탄하다, 엉덩이, 적당하다, 길이감, 가볍다, 소매, 들어서다"
피그먼트 후드집업은 처음 시켜보는데 디테일이랑 피그먼트 특유의 느낌이 진짜 좋네요 편하게 입고 나가면 범죄자 같다고 친구들이 놀리지만 좀 깔끔하게 입으면 너무 이뻐서 맘에 듭니다 자주 입고 다닐 거 같아요,"후드 집 업다, 친구, 피그먼트, 디테 일이, 놀리다"
힙한 무드 나와서 좋습니다 시보리가 좀 약하긴 하지만 저는 개의치 않아서 상관없네요,"개 의치, 나오다, 시보리, 힙, 무드, 약하다"
여유 있는 핏 감에 옷핏 나쁘지 않습니다 아쉬운 건 원단이 탄탄하지가 않아 후드 모양이 각이 안 잡혀서 이쁘지가 않네요,"탄탄하다, 잡히다, 원단, 여유, 후드, 옷핏"
사이즈는 딱 적당하고 약간 무게감 있는 편이고 빈티지한 피그먼트 워싱감이 아주 좋습니다 이 가격에 이 정도 퀄리티라 만족합니다,"만족하다, 적당하다, 워싱감, 사이즈, 빈티, 피그먼트, 편이, 무게"
기대했던 핏은 아니지만 옷 자체는 예뻐요 색깔도 맘에 들고요,"아니다, 자체, 핏, 색깔, 기대하다"
다른 집업이랑 고민했었는데 요거 사길 잘한 것 같아요 옷 너무 예쁘고 맘에 들어요 옷이 탄탄해서 루스해 보이는데 모양이 잡혀있어요,"집업, 탄탄하다, 루스, 보이다, 자다"
진짜 어떤 바지에 입어도 잘 어울림 젤 잘 입고 다니는 중,"바지, 어울림, 어떻다"
저는 일 걸렸는데 최근 좋은 가격 때의 배송 이슈 치고는 빨리 받은 것 같네요 안전배송에 감사드리고 제품 상태도 좋은 편이였어요 정 사이즈에 가깝고 간절기 레이어드하기 좋은 아이템이라 만족합니다,"만족하다, 레이어드, 간절기, 안전 배송, 사이즈, 아이템, 이슈, 감사 드리다"
