Review,keyword
생각보다 늦게 왔지만 맘에 드는 체크무늬랑 색감이 고 크기도 적당해요 재질도 여름에 입어도 될 것 같아 용 남자가 입음 좀 짧을 수도,"색감, 여름, 짧다, 남자, 적당하다, 늦다, 재질, 체크, 무늬"
기장이랑 핏이 아주 좋네요 가성비 훌륭한 셔츠인 것 같아요,"셔츠, 기장, 핏, 훌륭하다, 가성비"
편하게 입기도 좋고 웨이트하는 사람이 입어도 충분히 잘 맞네요,"편하다, 맞다, 웨이트, 사람, 충분하다"
안흔한 체크 셔츠 찾다가 괜찮아 보이길 랴 구매했어요 색감이 쁘고 핏도 좋고 재질도 부드럽고 좋은데 단추가 너무 하얀색인 게 좀 아쉬웠지만 만족합니다,"셔츠, 색감, 부드럽다, 만족하다, 아쉽다, 찾다, 하얀색"
이 색상의 체크가 예뻐서 샀는데 유행인지 돌아 다니면 하루에 명은 마주 침 근데 예뻐서 포기할 수가 없음 여름에 햇빛 때문에 셔츠를 많이 입는데 부드럽고 가 벼워서 계속 입고 출근하러 갑니다 가격이 아쉽긴 하지만 그래도 만족합니다,"색상, 유행, 인지, 만족하다, 벼워, 출근, 셔츠, 여름"
원단이 얇아 여름에 입 기 좋고 색감과 체크무늬가 마음에 듭니다 총장도 크게 길지 않은 점도 좋습니다,"색감, 여름, 얇다, 체크, 무늬, 길다, 원단, 크게"
마감은 너무 별로예요 좀 충격적 일 정도로 실밥이 팔 접어서 올리는 데 깜짝 놀랐네요 크롭 한 기장과 두께감 모두 좋은데 마감은 좀 신경 쓰셔야 할 것 같아 요,"접다, 두께감, 기장, 깜짝, 크롭, 별로, 예요"
잠궈서 입으면 뭔가 덩치가 커 보이는 핏이여서 오픈해서 이쁘게 입고 다닐 거 같습니다,"잠그다, 오픈, 핏이, 여서, 덩, 치가, 보이다"
평소 착용 약간 딱 맞음 세탁 한번 했는데 구김이 잘 생기고 카라가 말림 핏과 색상 맘에 들어 요 다만 가격이 좀 쌘편 만 원 초반대였으면 여러 벌 사서 돌려 입어도 좋을 듯,"초반, 대다, 생기, 구김, 핏, 평소"
에어컨 많이 가동하는 곳에서 가끔 입는데 너무 이 쁘고 적당히 얇아서 좋아요,"얇다, 적당하다, 가동, 곳, 에어컨, 많이"
