,title,keyword
1,[무료반품]베켄바우어 트랙탑 - 인디고_IP0418,"사이즈, 색감, 아디다스, 가격, 배송, 져지, 크게, 강추, 디자인, 색도"
2,파이어버드 트랙탑 - 블랙_IJ7058,"사이즈, 배송, 아디다스, 오버핏, 져지, 시보리, 크게, 디자인, 유행, 기장"
3,ASI 포시즌 에센셜 피그먼트 후드집업_차콜 그레이,"색감, 사이즈, 배송, 지퍼, 후드, 가격, 디자인, 오버핏, 집업, 가을"
4,[무료반품]베켄바우어 트랙탑 - 블랙화이트_II5763,"사이즈, 배송, 아디다스, 디자인, 포인트, 부분, 흰색, 시보리, 지퍼, 져지"
5,2WAY 스웻 후드 집업 (MELANGE GREY),"사이즈, 후드, 지퍼, 집업, 기장, 오버핏, 레이어드, 이너, 길이, 그냥"
6,[유튜버 PICK]FR-40S 프렌치 워크 5P 자켓_Military Navy,"사이즈, 오버핏, 디자인, 자켓, 배송, 색상, 간절기, 가을, 추천, 스타일"
7,[쿨탠다드] 릴렉스드 베이식 블레이저 [블랙],"여름, 사이즈, 배송, 블레이저, 가격, 가성비, 한여름, 재질, 어깨, 소재"
8,시어 후드 베스트 블랙,"여름, 사이즈, 가격, 재질, 배송, 코디, 포인트, 디자인, 그냥, 가성비"
9,[SAINT YEAR] 세미 오버 핏 셋업 수트_GREY,"사이즈, 가격, 셋업, 바지, 가성비, 결혼식, 색감, 배송, 오버핏, 여름"
10,MATIN KIM LOGO COATING JUMPER IN BLACK,"배송, 사이즈, 재질, 마뗑킴, 오버핏, 디자인, 고민, 가을, 남자, 날씨"
