Review,common_keywords_all,common_keywords_3_plus,all_keywords_combined
저희 아들 센티에 한테 입힐려고 주문했는데 넘 늦게 왔네요 취업땜에 지방가서 담주나 되야 입을 수 있을 듯요 아쉬운데로 제가 착용해봤어요 루즈하니 나쁘지 않은데요 스타일리쉬 해 보이고 남친룩으로 좋아요,,"남친, 담다, 방가, 보이, 스타일리쉬, 입히다, 취업, 해봤다","180센티, 76kg, 나쁘다, 남친, 남친룩, 담다, 루즈, 방가, 보이, 센티, 스타일리쉬, 아들, 입히다, 지방, 착용, 취업, 해봤다"
사이즈도 좋고 재질도 좋은데 지퍼가 좀 아쉬워요, 지퍼,"사이즈, 아쉽다, 재질, 지퍼","사이즈, 아쉽다, 재질, 지퍼"
원하던 후드 집업을 찾았오 요 색감도 너무 예쁘고 기장감도 마음에 듭니다," 원하다,  색감","기장감, 색감, 원하다, 집업, 찾다, 후드","기장 감다, 기장감, 듭니, 색감, 원하다, 집업, 찾다, 후드, 후드집업"
스타일은 잘 잡았지만 얇은 게 단점 그리고 지퍼가 스무스하게 내려가진 않음 그래도 이 뻐서 자주 입을 듯 합니다, 지퍼,"내려가다, 단점, 스, 스타일, 얇다, 잡다, 지퍼","내려가다, 단점, 스, 스무, 스무스, 스타일, 얇다, 잡다, 지퍼"
실물이 더 예쁘네요 제가 원하던 피그먼트 후드집업입니다, 피그먼트,"실물, 원하다, 집업, 피그먼트","실물, 원하다, 집업, 피그먼트, 후드, 후드 집업, 후드집업"
원단 자체도 하고 그냥 막 입어도 엄청 이 뻐욤 적당한 오버핏이고 과 하지 않아 좋습니 당 맘 애 들어서 그레이도 주문 했는데 블랙도 있었으면 좋겠어욤, 블랙,"그레이, 들어서다, 블랙, 오버핏, 원단, 자체","그냥, 그레이, 들어서다, 블랙, 뻐욤, 오버핏, 욤, 원단, 이고, 자체, 적당하다, 주문"
워싱감이 돋보이는 제품으로 가격 대비 질감은 괜찮습니다 하지만 후드 각은 잘 잡히지 않고 지퍼퀄이 좀 아쉽습니다," 질감,  후드","가격, 대비, 아쉽다, 워싱감, 잡히다, 제품, 질감, 후드","가격, 대비, 돋보이다, 아쉽다, 워싱감, 잡히다, 제품, 지퍼, 지퍼 퀄, 지퍼퀄, 질감, 후드"
가격 대비 퀄리티가 매우 좋은 것 같습니다 잘 입고 다닐 게요," 가격, 퀄리티","가격, 대비, 퀄리티","가격, 대비, 퀄리티"
오버핏이 정말 예술 생각보다 얇아서 저녁에 걸치고 나가도 덥지 않습니다 르세라 핌된 기분, 저녁,"기분, 덥다, 르세, 얇다, 오버핏, 저녁, 치고","걸, 기분, 덥다, 르세, 르세라핌, 얇다, 예술, 오버핏, 저녁, 치고, 피다, 피다 되다"
비슷한 옷 벌은 되지만 피그먼트 느낌 적당하고 소매 절개 디테일도 포인트로 예뻐요 후드 무겁다는 분 많아서 고민했는데 그래서 주저앉지 않고 전 오히려 살아 있어서 좋으네요 한 여름 빼고 이너로 아우터로 교복템 될 듯합니다 다른 색도 구매 예정입니다,,"무겁다, 벌다, 아우터, 이너, 절개, 포인트, 피그먼트","고민, 교복, 디테 일도, 디테일, 무겁다, 벌다, 색도, 소매, 소매절개, 아우 터, 아우터, 예정, 이너, 일도, 적당하다, 절개, 주저앉다, 포인트, 피그먼트, 후드"
디자인 워싱이 처리된 후드 집업이에 요 그래서 블랙 그레이의 오묘한 느낌이 같이 돌아서 막 입기 좋아요 유행 타지 않고 입기 좋은 느낌이에요 핏 오버핏이라서 평소 추구하는 이미지의 사이즈보다 한 사이즈 작게가도 충분히 예쁘게 입으실 수 있을 것 같아 요 투웨이 지퍼라서 어떻게든 매치하기 좋은 느낌이에요 진짜 추천합니다,,"디자인, 매치, 사이즈, 오묘하다, 유행, 이미지, 추천, 충분하다","Ykk, 그레이, 돌아서다, 디자인, 매치, 블랙, 블랙그레이, 사이즈, 어떻, 오묘하다, 오버핏, 유행, 이미지, 지퍼, 추구, 추천, 충분하다, 타지, 핏"
원단 워싱해서 그런지 칼라가 빈티지 스럽고 예뻐요 두께감도 간절기에 휘뚜르 마 뚜르 막 입 기 좋고 적당한 오버핏도 마음에 듭니다 배송 좀 늦은 거 빼고는 다 좋아요, 칼라,"그렇다, 늦다, 두께감, 배송, 빼다, 워싱해, 칼라","간절, 간절기, 그렇다, 늦다, 두께감, 듭니, 뚜르, 배송, 빈티, 빈티지, 빼다, 스럽다, 오버핏, 워싱해, 원단, 원단워싱, 적당하다, 칼라, 휘뚜르"
색감이 예쁘게 잘 나와서 봄 가을에 자주 입을 거 같아요,,"가을, 나오다, 색감","가을, 나오다, 봄, 색감"
마음에 들어서 회색이랑 차콜색 두 개 샀습니다 키 기준으로 엉덩이 위까지 오는 기장감이고 하단 부분 지퍼를 올릴 수 있어서 좋습니다 적당한 길이감에 소매가 길어서 좋고 가볍지 많고 후드도 크고 합니다,,"가볍다, 기장감, 들어서다, 소매, 엉덩이, 하단, 회색, 후드","가볍다, 기장, 기장감, 기준, 길이감, 들어서다, 많다, 색, 소매, 엉덩이, 오다, 올리다, 위, 적당하다, 지퍼, 차콜, 차콜색, 크다, 탄탄, 하단, 회색, 후드"
피그먼트 후드집업은 처음 시켜보는데 디테일이랑 피그먼트 특유의 느낌이 진짜 좋네요 편하게 입고 나가면 범죄자 같다고 친구들이 놀리지만 좀 깔끔하게 입으면 너무 이 뻐서 맘에 듭니다 자주 입고 다닐 거 같아요,,"깔끔하다, 놀리다, 범죄자, 친구, 피그먼트","깔끔하다, 깔다끄다, 놀리다, 듭니, 디테, 디테 일이, 디테일, 범죄자, 업다, 일이, 처음, 친구, 특유, 편하다, 피그먼트, 후드 집 업다"
힙한 무드 나와서 좋습니다 시보리가 좀 약하긴 하지만 저는 개의 치 않아서 상관없네요,,"개, 나오다, 무드, 시보리, 약하다, 힙","개, 나오다, 무드, 보리, 상관없다, 시보리, 약하다, 힙"
여유 있는 핏감에 옷핏 나쁘지 않습니다 아쉬운 건 원단이 하지가 않아 후드 모양이 각이 안 잡혀서 이 쁘지가 않네요, 핏감,"나쁘다, 쁘지, 아쉽다, 여유, 옷핏, 원단, 잡히다, 핏감, 후드","나쁘다, 모양, 쁘지, 아쉽다, 여유, 옷핏, 원단, 잡히다, 핏감, 후드, 후드모양"
사이즈는 딱 적당하고 약간 무게감 있는 편이고 빈티지한 피그먼트 워싱감이 아주 좋습니다 이 가격에 이 정도 퀄리티라 만족합니다, 무게,"가격, 만족하다, 무게, 빈티, 사이즈, 워싱감, 적당하다, 퀄리티, 편이, 피그먼트","가격, 만족하다, 무게, 빈티, 빈티지, 사이즈, 워싱감, 적당하다, 퀄리티, 편이, 피그먼트"
기대했던 핏은 아니지만 옷 자체는 예뻐요 색깔도 맘에 들고요,,"기대하다, 색깔, 아니다, 자체, 핏","기대하다, 색깔, 아니다, 자체, 핏"
다른 집업이랑 고민했었는데 요거 사길 잘한 것 같아요 옷 넘 예쁘고 맘에 들어 요 옷이 해서 루즈해 보이는데 모양이 잡혀 있어요,,"고민, 루즈, 모양, 자다, 잡히다, 집업","고민, 넘다, 루즈, 모양, 보이다, 자다, 잡히다, 집업, 탄탄"
진짜 어떤 바지에 입어도 잘 어울림 젤 잘 입고 다니는 중,,"바지, 어떻다, 어울림","다중, 바지, 어떻다, 어울림, 자다, 젤"
저는 일 걸렸는데 최근 좋은 가격 때의 배송 이슈 치고는 빨리 받은 것 같네요 안전 배송에 감사드리고 제품 상태도 좋은 편이였어요 정 사이즈에 가깝고 간절기 레이어드하기 좋은 아이템이라 만족합니다,,"감사, 만족하다, 배송, 아이템, 안전, 이슈, 펴다","15일, 간절, 간절기, 감사, 감사 드리다, 드리다, 레이어 드하, 레이어드, 만족하다, 받다, 배송, 빨리, 사이즈, 상태, 아이템, 안전, 안전배송, 이슈, 정사이즈, 제품, 최근, 치고는, 펴다"
사진보다 조 오금 연해요 많이 두껍지도 얇지도 않아서 찐 봄이나 초가을쯤에 잘 입고 다닐 것 같아요, 연해,"두껍다, 사진, 얇다, 연해, 오금, 초가을","두껍다, 봄, 사진, 얇다, 연해, 오금, 이나, 자다, 쯤, 찌다, 찌봄이나, 초가을, 초가을쯤"
예액 배송이라 배송이 늦게 온 게 아쉬워요 벌써 더워져서 많이 못 입을 거 같아 요 그래도 옷이 색도 빈티지한 게 이 쁘고 크게 나와서 오히려 좋았어요,,"나오다, 더워지다, 배송, 벌써, 빈티, 아쉽다, 크게","나오다, 늦다, 더워지다, 배송, 벌써, 빈티, 빈티지, 색도, 아쉽다, 액배송, 크게"
챠콜 후드 집업 찾으시는 분들 중에서 이거보다 이쁜 가 찾기 힘드실 겁니다 너무 이 뻐요, 챠콜,"겁니다, 분들, 중, 집업, 찾기, 찾다, 챠콜, 후드, 힘들다","가다, 겁니다, 분들, 중, 집업, 찾기, 찾다, 챠콜, 후드, 후드집업, 힘들다, 힘들다겁니다"
중딩 딸이 픽해서 사 줬어요 예약 구매로 일 이후에 출고 된 다 하였는데 빨리 입고가 되었는지 생각보다 배송이 무척 빨랐어요 진한 다크 그레이 컬러에 물 빠진 워싱이 자연스럽고 이후에 물이 빠져도 더 빈티지하고 이 쁠 거 같구 요 생각보다 무게감이 있고 도 톰해요 오버사이즈로 샀는데 맘에 들어 요,,"무게, 무척, 배송, 빠르다, 자연스럽다, 중딩, 진하다, 출고, 컬러, 픽해","그레이, 다크, 다크그레이, 도톰하다, 딸, 무게, 무척, 물빠지다, 물이, 물이빠지다, 배송, 빈티 지하, 빈티지하, 빠르다, 빠지다, 빨리, 사주다, 예약, 오버 사이즈, 오버사이즈, 워싱, 이후, 자연스럽다, 주다, 중딩, 진하다, 출고, 컬러, 픽, 픽해"
