Review,keyword
이너티로 입을려고 샀는데 단독으로 입어도 이뻐서 완전 맘에 쏙 후기에 S사이즈도 길다는 분이 계셔서 XS로 샀는데 제 현명한 선택이였어요 제 기준 엉덩이 반 정도 오는 기장이에요 재질도 너무 좋구요 이 제품은 특히 넥라인이 목에 딱 맞는 스타일이라 늘어나지 않을 것 같아요 짱해요 로고도 심플하니 너무 예쁩니다 ,"엉덩이, 사이즈, 재질, 늘어나다, 단독, 기장, 티"
이너티로도 되게 단하고 여름에 그냥 이거 하나만 입기에도 시웡하고 이쁜거같아요 ,"시웡, 티, 단, 하나, 여름, 그냥"
옷이 되게 크게 나왔나봐요 평소에 s 아니면 m으로 사는 편인데 다른 후기들 보고 xs로 샀습니다 근데 그러길 너무 잘한거 같아요 xs인데도 엉덩이를 다 가릴 정도로 깁니다 재질도 좋고 목도 잘 안 늘어날 것 같아요 ,"아니다, 늘어나다, 엉덩이, 재질, 살다"
휘뚜루 마뚜루 입기에는 커버낫 기본이 최고예요,"기본, 커버 낫, 휘뚜루, 최고, 마뚜루"
두 번째 주문 편함 재질 부드러움 박음질 튼함 흰색은 아주 약간 노란끼 있지만 깔끔함 사이즈 약간 널한 편 만족도 높음,"만족도, 흰색, 박음질, 널, 사이즈, 재질, 편하다, 부드러움, 주문"
옷 재질이 여름에 입기 너무 좋아요 목 둘레가 여유롭고 스판기 있어서 입고 벗기 너무 편합니다 적당히 얇은 재질이라 가볍고 여름에 입기 시원해요 면 재질이 부드러워서 착용감도 겁나 좋네요 어깨선도 딱 맞고 팔 길이도 적당해서 핏이 예뻐요 총 길이도 적당해서 넣입했을때 잘 안 빠지고 빼서 입었을 때도 괜찮아요 기본 티라서 코디 가리지 않고 다 잘 어울리는 편이라 활용도가 좋네요 꼭 필요한 흰검 조합에 가격도 저렴하니 가성비 대박입니다 반팔티 고민하고 계시다면 꼭 구매하세요 ,"적당하다, 적당하다, 대박, 재질, 어울리다, 시원하다, 재질, 활 용도, 고민, 착용 감다"
포장안쪽에 기름같은게 묻어서 오긴했는데 내용물는 다행이 괜찮습니다 이너나 단독으로 입기 젤 무난할듯 하네요,"내용물 늘다, 다행, 단독, 포장 안쪽, 오다, 묻다"
부드러운 원단이긴한데 많이 얇아요 흰색은 안이 다비치네요 이너로 입어야겠네요 많이 아쉬워요,"원단 이기다, 다비치, 부드럽다, 흰색, 안이, 얇다, 아쉽다"
가격도 저렴하고 잘 입을 것 같 요 포장도 깔끔해서 맘에 듭니댱,"저렴하다, 포장, 가격, 듭니댱, 깔끔하다"
입고 등산 갔는데 땀흡수도 잘되고 좋았 습니다 사이즈도 적당해요,"적당하다, 사이즈, 등산, 되다, 땀 흡수, 가다"
