Processed_Review,keyword
기준 여자가 입었을 때 많이 커요 온 버핏으로 입으려고 했는데 핏으로 크게 입은 게 아니라 그냥 큰 느낌 체구 작으신 분들 사실 때 참고하시면 좋을 것 같아요 저는 디자인이랑 색감 재질 모든 면에서 완벽하게 제 취향이라 사이즈 무시하고 입었습니다 아주아주 만족해요,"만족하다, 무시, 참고, 사이즈, 완벽하다, 디자인, 크다"
배송은 예약배송이라 조금 걸렸지만 얇아서 지금 입기에도 적당하고 핏도 예뻐서 만족스럽습니다,"만족스럽다, 배송, 적당하다, 핏, 배송, 얇다"
옷이 얇고 가볍고 낭랑한 핏이라 편하고 시원해서 손이 자주 가네요,"낭랑하다, 시원하다, 편하다, 가볍다, 손, 가다, 핏, 얇다"
주머니 짝짝이인 불량 상품 예약배송으로 받았는데 기다린 만큼 바로 입으려고 세탁하고 발견했습니다 애초에 불량인 상품인데 교환 환불 안 해주겠다네요 쪽팔려서 입지도 못하겠어요 다시는 바르티 멘토 안 살 거 같아요 여러분도 구매하실 때 다시 생각해 보세요 불량 받아도 환불 못 받으니까요,"상품, 세탁, 애초, 입지, 교환, 멘토"
각 잡힌 셔츠가 안 어울리는 편인데 이거는 후들후들한 소재감 덕분인지 잘 어울리더라고요 단추 풀어서 입으나 잠가서 입으나 핏 다 예쁩니다 활용도가 엄청 높은 셔츠,"셔츠, 어울리다, 셔츠, 활 용도, 후 후, 풀다, 어울리다, 잡히다, 덕분"
왜 안 사요 얼른 사세요 다들 너무 이뻐요 여름에도 이쁜 옷 입어보아요,"입어보다, 얼른, 여름, 사"
겨울에도 패딩 안에 반팔 입고 다니는 열 많은 인간이라 여름 옷이 아주 골 아팠던 터였다죠 그러던 중 이걸 샀는데 개얇고 나풀나풀 한데 후줄근하진 않고 너무 좋은 겁니다 여름 옷의 숙명 시원하면 후줄근 단정하면 개더 움 여름 옷의 숙명을 드디어 벗어던졌어요 괜찮은 다른 컬러 있으면 바로 살 겁니다,"단정하다, 숙명, 겁니다, 숙명, 후줄근하다, 시원하다, 걸"
원하던 반팔 셔츠라 기대하고 구매했는데 딱 원하는 스타일이네요,"스타일, 원하다, 원하다, 기대하다, 셔츠, 팔"
약간 까슬한 면이고 두께는 얇아요 그렇지만 엄청 시원한 소재까지는 아닌 것 같아요 딱 원하던 핏이어서 맘에 듭니다,"원하다, 시원하다, 아니다, 얇다, 소재"
요즘 체크 패턴 셔츠 정말 가지고 싶었는데 에구머니나 마침 이렇게 이쁜 제품 발견 한여름에도 입을 수 있는 얇기예요 안에 이너 없이 맨살에 입는 거 추천 추천 막 추천,"추천, 마침, 살, 셔츠, 이너, 한여름, 발견"
찐 솔직 후 기 사이즈 핏 기장 완벽 배송 예약 배송이어서 기다렸지만 출고되고 빠르게 도착 디자인 팔 접고 단추 메는 포인트가 아주 마음에 들고 너무 벙벙하지 않은 핏이라서 만족 색감 화면 가 같음 가격 가성비가 너무 좋음 합리적 가격 마지막 평 가격 디자인 활용도 생각하면 충분히 좋은 제품이라서 추천 실밥은 아마 제가 뽑기를 못한 거 같은데 그래도 만족,"배송, 활용, 추천, 마지막, 만족, 완벽, 벙벙하다, 사이즈, 솔직"
맨살에 입어도 따갑지 않아서 좋아요 휘뚜루마뚜루 입을만합니다,"살, 따갑다"
체크무늬인데 공대 느낌 덜 나서 좋은 거 같아요 귀엽,"체크 무늬, 공대, 나서다, 귀엽다"
좋아요 생각보다 훨씬 크게 나온 거 같긴 한데 그래도 입을만해요 짱 편한 듯,"만해, 크게, 편하다, 나오다"
만 원에 이 정도 퀄리티랑 핏이면 솔직히 가성비라고 생각합니다 올여름 시원하게 많이 입고 내년에 안 질리면 계속 입어야지요 만족합니다,"만족하다, 시원하다, 내년, 가성비, 솔직하다, 퀄리티, 질리, 원"
온 버핏으로 입기 좋아요 여름 아우터처럼 걸쳐도 예쁘고 와이드 핏 팬츠에는 일반 셔츠로 입어주면 귀여워요 재질이 살에 붙는 재질이 아니라서 시원하고 좋아요,"걸치다, 셔츠, 아우터, 시원하다, 재질, 팬츠, 아니다, 와이드"
마감은 살짝 아쉽지만 핏이나 소매 디테일이 너무 맘에 듭니다,"마감, 소매, 디테 일이, 핏, 아쉽다"
셔츠 얇고 예뻐요 여름에 입기 시원해서 좋은 것 같아요,"시원하다, 셔츠, 여름, 얇다"
항상 좋아하던 브랜드에서 나온 제품이라서 믿고 구매할 수 있었어요 만족하고 다른 컬러도 구매하고 싶을 정도로 만족합니다,"만족하다, 만족하다, 제품, 브랜드, 항상, 컬러, 나오다"
배송이 생각보다 느렸던 게 아쉽지만 옷은 휘뚤마뚤템이에요 대신 사람 많은 곳 가면 마주치기 쉬움 하지만 후들거리는 게 맘에 들어요 여름 템으로 잘 입을 듯 여자는 무조건 젤 작은 사이즈로 사세요 본인 덩치 절지만 넉넉해요,"마주치다, 무조건, 넉넉하다, 덩치, 사이즈, 배송, 절, 후 거리, 여자"
단추도 싸구려 색감 좋아 보여서 선택했는데 확실히 가격이 낮아서 그런가 딘 추부 터 바느질까지 싼 티가 팍팍 나네요,"보, 단추, 가격, 런가, 확실하다, 싸구려, 색감, 티, 나다"
엄청 시원하고 어디든 잘 어울려서 여름에 잘 입었어요 남성용이라 엄청 클 줄 알았는데 적당히 잘 맞았습니다,"남성 용이, 적당하다, 어울리다, 시원하다, 여름, 알다, 맞다"
링클 소재라 가볍고 단독으로도 좋을 거 같은데 전 아우터처롬 걸쳐봤고요 체크 패턴이 톤앤톤 느낌이라 무난하게 여기저기 매치하기 좋은 거 같아요,"링클, 여기저기, 패턴, 매치, 아우터 처롬, 톤앤톤, 가볍다, 소재, 단독, 체크"
내가 원했던 시골 농촌 소년 느낌 그런데 한 줌의 트렌드를 넣은 내년 여름에 요기나게 입을 수 있겠어요 어느 바지든 다 잘 어울리는 거 같아요,"어울리다, 요기 나다, 내년, 소년, 바지, 내, 농촌"
핏은 너무 예뻐요 원단도 시원하고 좋아요 그 대신 박음질이 너무 엉성하네요 벌써 단춧구멍이 뜯어졌어요 예뻐서 그냥 제가 다시 꿰매서 입고 있어요,"시원하다, 성하다, 박음질, 원단, 대신, 벌써, 다시"
전체적으로 기장이 좀 더 길었으면 하는 아쉬움이 있네요,"전체, 기장, 아쉬움, 길다"
완전 모델핏처럼은 안 나오지만 소매를 풀어서 입으니 비슷한 느낌이 나네요 생각했던 거보다 얇아서 시원해서 좋고 이 가격에 이 정도 핏 감이랑 디자인 너무 만족합니다,"만족하다, 나오다, 시원하다, 디자인, 나다, 풀다"
원단도 너무 시원하고 핏도 너무 시원해 보여서 좋아요 이번 여름 편하게 걸치고 나갈 옷 티어입니다,"시원하다, 시원하다, 티어, 걸, 보, 원단, 편하다"
배송은 다소 오래 걸렸지만 옷 자체는 가격 대비 이뻐요,"배송, 대비, 자체, 가격, 걸리다"
체크무늬 셔츠 비싸지 않은 가격으로 잘 구매한 거 같아요 핏도 너무 이쁘고 반팔 롤업을 잡아주는 것도 있어서 너무 좋았어요 여름에 시원하게 입을 수 있을 거 같아요,"롤업, 시원하다, 비싸다, 셔츠, 여름, 가격, 잡다, 체크 무늬"
후루룩 입기 좋아요 가볍고 소매 옆 단추가 있어서 롤업이 유지되는 디테일 최고,"롤업, 가볍다, 단추, 디테일, 후루룩, 소매, 유지"
항상 믿고 구매합니다 배송 빠르고 너무 좋습니다,"항상, 배송, 빠르다, 믿다"
얇아서 한여름에도 무조건 가능하고 일단 이쁩니다,"가능하다, 한여름, 무조건, 얇다"
색감도 무난하고 핏도 좋아요 어떤 바지에 매치해도 잘 어울릴 거 같아요,"매치, 무난, 어울리다, 색감, 바지, 핏, 어떻다"
원단도 얇고 시원해서 여름에 입기 딱 좋아요 흰 티에 막 걸쳐주기만 해도 베스트 코디 뚝딱입니다 추천해요,"걸치다, 시원하다, 추천, 원단, 여름, 코디, 해도, 베스트, 티"
핏도 넉넉하고 너무 이쁩니다 좋은 가격에 좋은 상품이라고 생각합니다,"넉넉하다, 상품, 가격, 핏"
색감이 진짜 미쳤어요 무채색 러버들 완전 취향 저격 여름 코디가 한정적이라 포인트 주기 힘든데 이 셔츠 하나만으로도 포인트가 돼서 반팔 셔츠 찾고 계신 분들 구매 추천드려요,"추천 드리다, 무채색, 셔츠, 하나, 러버, 한정, 색감, 포인트, 코디"
롤업 하프 셔츠라 핏이 러프하게 잘 나와서 좋은 거 같아요 다만 입었을 때 일부러 각이 잡혀 있는 건지 밑으로 가면서 배 부분이 넓어져서 튀어나온 거 같이 보여요,"러프, 롤업, 일부러, 셔츠, 가면, 잡히다, 보이다, 건지다, 나오다, 부분"
배송 빠르고 옷 디자인도 너무 예뻐요 주름 디테일도 좋아요,"디테 일도, 디자인, 배송, 주름, 빠르다"
얇은 체크 패턴 셔츠 사고 싶어서 찾아보던 중에 가성비로 괜찮아 보여서 재입고까지 오래 기다려 겨우 받았습니다 배송은 많이 느렸지만 옷 자체는 생각보다 핏도 좋고 질감도 좋아요 초가을까지 열심히 입을 수 있을 것 같습니다,"배송, 가성비, 보, 셔츠, 기다리다, 중"
진짜 얇아서 여름에 너무 시원하게 입었어요 옷이 어두운색이라 살이 비칠 걱정은 없어요 소재도 부드러워서 좋아요,"어두운색, 걱정, 부드럽다, 시원하다, 소재, 살이, 여름, 비치다"
쭈글거리는 텍스처가 맘에 들고 포인트가 되는 것 같습니다 하지만 가격이 가격인지라 몇 번 입으니 보풀이 좀 일어나네요 그래도 이 가격대에 이런 디자인이면 후회는 안 합니다,"가격 인지, 일어나다, 디자인, 가격, 이렇다, 텍스처, 가격"
제주 여행에서 잘 입었어요 이런 스타일도 좋아하지만 다른 스타일을 더 좋아해 자주 입지 않는데 이 옷은 자주 입을 것 같아요 너무 이쁩니다,"여행, 스타일, 입지, 스타일, 이렇다, 제주"
링클 가공이랑 색감이랑 맥시 한 핏 감이랑 다 자연스럽고 빈티지한 느낌으로 너무 이뻐요 요즘 느낌 날도 뜨거운데 시원하고 가성비 뒤집니다,"가공, 자연스럽다, 가성비, 색감, 빈티, 링클, 시원하다, 맥시, 날"
여름에 입을 가벼운 체크 난방을 고르고 있었는데 합리적인 가격대에 놀란 제품입니다 오버 핏으로 연출하고 싶어서 L 사이즈로 구매했고 어깨 너비는 예쁘게 떨어져서 너무 좋았고요 기장은 생각 보다 짧았지만 적당한 맛이었어요,"연출, 합리, 적당하다, 사이즈, 기장, 난방, 제품, 오버"
가성비로 편한 반팔 셔츠 입었습니다 근데 좀 잘 구겨지는 재질,"가성비, 구기다, 셔츠, 재질, 편하다, 팔"
재질이 바람이 잘 통하는 재질이라 여름에 입으면 시원합니다 핏도 널찍하게 나와서 좋네요,"시원하다, 통, 재질, 나오다, 재질, 바람, 여름, 핏"
