Review,keyword
일단 배송 빨리 해주셔서 감사드려 요 아이보리 넘나 맘에 들어서 블래도 구매했네요 날 풀리면 잘 입어질 거 같아요,"풀리다, 해주다, 감사, 드리다, 아이보리, 넘다"
와 진짜 핏이 너무 좋아서 사진만 분 찍었어요 학생이라 다소 부담스러운 가격이었는데 정말 만족합니다 마뗑킴 사랑해요 이쁜 옷 많이 내주세요,"만족하다, 내주다, 가격, 학생, 찍다, 핏"
남자가 입기에는 작이 서 레이어드해서 입어야 돼요 근데 코디만 잘 하면 너 무너무 이 뻐요 비닐 같으면서도 싸구려 바스락거리는 비닐도 아닌 게 묘하게 매력 있어요 솔직히 가격만큼의 퀄리티는 아닌데 마뗑 킴 로고 감성과 핏이 트랜드를 잘 아는 거 같아 요 지퍼가 잘 안 되는데 잘 푸는 요령만 터득하면 잘 되요 샀는데 딱 날씨가 풀려서 기분이 좋아요 결론은 대 만족,"매력, 비닐, 퀄리티, 가격, 만큼의, 묘, 돼다"
예쁜데 냄새가 너무 심해서 놀랬어요 유행 지나서 살까 말까 했는데 예뻐요 컬리티는 그냥 그래요 따뜻해지면 더 예쁠듯,"따뜻하다, 그렇다, 컬리, 티, 놀래다, 그냥, 유행"
생각보다 두께랑 사이즈 해서 놀랏 네 여 자주입을 거 같아요,"두께, 주입, 놀랏, 사이즈"
예뻐요 감사합니다 시큼한 냄새가 나긴 해 여 입고되서 바로 삿습미다,"삿습미, 나다, 서다, 시큼하다, 냄새"
와이프 선물로 사 줬어요 후기는 제가 쓰네요 남녀 공용이라 다 잘 어울리는 것 같아요,"공용, 후기, 쓰다, 선물, 주다, 어울리다, 남녀, 와이프"
요새 마며 들어서 마뗑킴에 스며 들어서 마뗑 킴 코팅 점퍼도 구매했오용 겉으로 보면 레더 점퍼처럼 보이는데 유광 느낌의 얇은 바스락 점퍼 입미 다 얇아서 오히려 가볍고 힙하고 편해 용 번창하세용,"점퍼, 처럼, 가볍다, 얇다, 겉, 보이다, 편하다"
남자가 입어도 충분한 사이즈네요 할인받아서 저렴하게 잘 구매했네요,"저렴하다, 할인, 받다, 사이즈, 남자, 충분하다"
일단 빠른 배송 감사드려 요 생각보다 빨리 왔더라구 요 아이보리 입고 만족스러워서 블랙도 주문했네요 날 풀리면 잘 입어질 거 같아요,"풀리다, 만족스럽다, 주문, 감사, 드리다, 오다, 구, 아이보리"
공용 사이즈라 너무 클까봐 고민 소재가 비닐 스러울까봐 한참 망설이 다가 디자인이 너무 마음에 들어 결국 구해했는데 실물 받아보고 역시 마뗑 킴 너무 예쁘네요 요즘은 오버핏으로 입잖아요 너무 과하지 않고 저한테는 잘 맞네요 마흔 넘은 아주 미 한테도 잘 어울리는 것 같아요,"테, 맞다, 디자인, 구해, 소재"
정말 잘 입은 점퍼입니다 너무 잘 입엇어요 근데 같은 옷 명이 함께 입고 여행 왔어요 요즘 국민 템인 듯합니다 그래도 이 뻐요,"오다, 근데"
봄되면 오래 걸릴까봐 월되기 전에 구매했어요 요즘 진짜 잘 입고 체크 셔츠랑 레이어드해주면 진짜 예쁨 스트링조 여도 예쁘고 클로징해도 오픈해도 반만 오픈해도 예쁨 요즘 교복처럼 입고 다니는데 개인적으로는 반 바지에 무심한 듯 입어주는 게 진짜 예쁩니댜 진짜 잘 산템 일단 간지 남,"교복, 처럼, 셔츠, 오픈, 댜"
요즘 대세답게 힙하고 이 뻐요 오버핏이고 크기는 한데 스트링이 있어서 사이즈 조절이 가능해서 마음에 들어 요 가볍고 편해 요 뒤에 마뗑킴로고가 별 거 아닌 거 같은데 너무 이 뻐요,"크기, 사이즈, 가볍다, 편하다, 대다, 가능하다"
재질이 글로시한데 너무 번 뜩이 지도 않은 적당히 글로시한 느낌,"시, 시한, 재질, 적당하다, 뜩"
마뗑킴은 역시 마뗑킴만의 갬성이 느껴진다 여자친구와 함께 커플로 입으려고 블랙과 네이비를 구매했는데 둘 다 내가 가지고 싶은 충동이 올라올 정도였다 하지만 사랑이란 무엇인가 가장 아끼는 것을 내어주는 마음 아니던가 마뗑킴 앞에 촛불처럼 흔들리던 마음을 다 잡고 그녀에게 네이비를 선물했다 난 전혀 슬프지 않다 진짜 다 네이비 네이비 네이비가 아른거리는 이 밤,"사랑, 이란, 그녀, 네이비, 촛불, 처럼, 슬프다, 선물"
뒷모습이 이 쁜 마뗑 킴 소재도 광택이 나니 더 스타일 사네요 가을에 입으려고 미리 구매해 뒀어요 밑에 스트링 쪼이는 게 더 이뻐요,"뒷모습, 스타일, 가을, 쪼이다, 밑, 광택"
매장에서 입어보고 사려고 했더니 옷에 이상 있다고 판매를 못한다고 해서 집 와서 바로 구매함 이거는 보자마자 사야겠다 싶어서 샀는데 너무 맘에 들어서 계속 입고 다님 할 때 입기에 딱 좋음 여름에는 살 타기 싫어서 입기에는 좀 두꺼움 봄 가을에 입 기 좋을 듯,"여름, 에는, 가을, 사려, 매장, 입어보다"
간절기 때 입 기 딱 좋아요 남녀 공용이라 커플룩으로도 강츄,"커플룩, 으로도, 공용, 강츄, 간절기, 남녀"
가볍게 입 기 좋아요 너무 예뻐요 매장에서 입어보고 샀는데 잘 샀어용,"입어보다, 가볍다, 매장"
제품의 품질이 좋아요 이 스타일이 처음 입 봤지만 좋아해요,"좋아하다, 스타일, 품질, 제품, 처음"
너무 너무 이 뻐요 꾸안 꾸 최고 아이템입니다 잘 입겠습니다,"아이템, 꾸다, 최고"
제 체격엔 큰 편이라 오히려 좋슴 다 편하게 입 기 좋아서 손이 자주 가 고 바막이라 가볍 구 이쁘구 머 이쁘구 이 뻐요,"편하다, 편이, 좋슴, 체격, 바막, 손, 가볍다"
와이프 선물로 사줬는데 맘에 들어 하네요 처음에 시큼한 냄새 조금 나요,"시큼하다, 처음, 사주다, 냄새, 선물, 나요"
엄청 이 쁘고 로고도 이 쁘고 반짝 바스락 간지 나 요 완전 이 뻐서 너무 맘에 들고 힙한 느낌 가득,"간지, 힙, 반짝, 가득, 바스락"
핏은 원하는 핏이예요 날씨가 따듯해야 입을 수 잇을 거가 타요,"따다, 핏이, 예요, 타요, 거가, 핏, 잇다, 날씨, 원하다"
가격대가 좀 있지만 디자인과 핏이 아주 예쁨 색상 디자인 모두 사진과 동일함 세탁망에 넣고 세탁하니 변형 없었음,"세탁, 망, 가격, 대가, 색상, 디자인, 사진, 동일하다, 변형"
소재가 이쁜 거 같아 요 특유의 짙은 블랙감이 깊이 있어서 좋구요 간절기에 가볍게 걸치고 다니면 힙하니 좋을 것 같습니다,"가볍다, 힙하, 걸, 치고, 간절기"
키 때문에 팔이 좀 짧긴 한데 그런대로 또 잘 맞아요,"맞다, 그런대로, 때문, 짧다, 팔이"
사이즈 잘 맞고 핏 이 뻐요 길이도 적당하고 잘 입고 있습니다,"적당하다, 맞다, 사이즈, 길이"
제가 샀던 거 중에 가장 맘에 듭니다 살까 말까 고민했는데 사길 잘한 거 같습니다,"자다, 고민, 살다, 말다"
예브다기 엽고 휘뚤마뚤 막 입을 려고 샀어 여 잘 입을 게야,"려고, 엽, 휘뚤마뚤, 브, 다기"
