Processed_Review,keyword
고민하다가 샀는데 진짜 예뻐요 길이 감 어깨 사이즈 팔 모두 맞춤 정장 같이 잘 맞네요 아 그리고 엄청 시원합니다,"고민, 시원하다, 사이즈, 정장, 길이"
깔끔하고 시원해서 데일리에 입고 다니기 좋은 것 같네요,"시원하다, 일리, 깔끔하다"
생각보다 두껍고 아빠 정장 느낌나요 원래 쿨탠다드가 이런 가 근데 나 뿌지 않음,"정장, 이렇다, 원래, 아빠, 뿌, 두껍다"
하고 좋습니다 합리적으로 구매해서 잘 입고 다닙니다,합리
무탠다드 답게 퀄리티도 좋고 쿨 소재라 초여름까지 입을 수 있을 것 같아 요 사이즈는 세미 오버핏이라 한 사이즈 더 업해도 좋았을 것 같아 요,"퀄리티, 사이즈, 업, 사이즈, 소재, 세미, 답"
여름에 구매해서 후기를 지금에야 쓰네요 이 블레이저 대학 면접 때 입고가서 최초 합으로 붙었습니다 무거운 자리에 좋은 인상 풍겨주기게 충분한 블레이저라 생각이 들 구요 여름에 입어도 바람 살짝 불면 바로 시원함을 느낄 정도로 좋았습니다,"면접, 풍기다 주기, 블 레이저, 블 레이저, 인상, 무겁다, 합"
와이드 팬츠랑도 잘 어울리지만 테이퍼드핏에도 입을 수 있어요 그렇지만 와이드에 더 잘 어울리는 핏입니다 전체적으로 여유가 많아요,"전체, 어울리다, 팬츠, 여유, 와이드, 와이드, 어울리다, 테이 퍼드 핏"
노멀한 핏이 고 셋업으로 입고 다니시기에 좋습니다 안에 후드로 매치시켜도 이 뻐요,"매치, 노멀, 후드, 셋업, 핏"
아들의 첫 자켓입니다 바지 구입 후 너무 마음에 들어 자켓도 구입했습니다 적당한 핏에 길이 감도 적당하고 가격도 착하고 만족합니다,"만족하다, 적당하다, 적당하다, 아들, 가격, 착하다, 바지"
사이즈랑 사이즈랑 고민한 결과 저는 두 사이즈 다 구매 해보았습니다 저랑 비슷한 신체 사이즈 이신 분들은 제가 두 제품 착장 모두 올려드렸으니 꼭 한 번 비교해 보시고 선택의 고민을 덜어보시기 바랍니다 왼쪽 네이비는 사이즈 오른쪽 블랙은 사이즈 입니다,"선택, 덜다, 사이즈, 사이즈, 비교, 고민, 고민, 보시, 착"
기존 릴렉스드 베이직 블레이저와 사이즈 감 동일합니다 시원한 소재면서도 원단이 흐물거리지 않고 해서 체형 보완에 좋으며 주름에 강한 편입니다,"동일하다, 편입, 블 레이저, 시원하다, 소재 서도, 사이즈, 흐 물다, 원단, 강하다"
맘에 들어 요 맨날 맨날 입고 싶어요 엄마가 이쁘대요,"엄마, 대요, 싶다"
기본 블레이저 답습니다 뭣보다 엄청 얇아서 여름에 딱,"블 레이저, 여름, 답습, 기본, 얇다, 뭣"
쿨 소재는 맞는 거 같으나 살짝 두깨감이 있어 한 여름용으로는 어려울 듯 싶음 그래도 시원한 소재이며 사이즈는 보통 정도 생각하면 될 거 같아요,"여름, 사이즈, 소재, 어리다, 소재, 시원하다, 보통"
사이즈가 편하게 입 기 딱 좋아요 옷이 예쁘네요 좋아요,"사이즈, 편하다"
지금 계절에 괜찮은 블레이저를 찾고 있었는데 소재도 괜찮고 좋아요 사진보다 실제 제품이 훨씬 좋고 예쁩니다,"블 레이저, 실제, 제품, 사진, 소재, 지금"
착용감도 편하고 결혼식 하객 룩 용으로 정말 좋습니다 팔 접어서 다니기에도 좋고 무엇보다도 핏이 좋습니다 여름용 블레이저로 강 추합니다,"결혼식, 착용 감다, 편하다, 접다, 여름, 추하다, 블 레이저"
쿨탠다스 슬랙스가 핏 별로 몇 개 있어서 셋업으로 위에도 장만 했는데 재질 색 감 일치하고 좋네요,"일치, 슬랙스, 재질, 다스, 별로, 장만, 위, 셋업"
매우 시원한 소재이며 한 여름 제외 입을 수 있을 것가탕요,"소재, 시원하다, 여름, 제외, 탕"
포장박스가 다른 택배에 눌려 다 뜯어졌네요 여름에 출근복으로 얇게 입 기 좋네요,"포장 박스, 출근 복, 택배, 여름, 눌려, 얇다, 뜯다"
딱 정핏입니다 살까 하다가 샀는데 딱이 에뉴,"뉴, 정핏입니, 살다, 딱이다"
여름에도 입어도 될 정도로 시원하고 좋네요 완전 찐한 검정은 아니라서 더워 보이지 않고 핏이 좋네요 보통 어깨랑 가슴 폭 때문에 입는데 맘에 들어 요 원단도 맘에드네요,"에드, 아니다, 시원하다, 원단, 여름, 검정"
