Review,keyword
 기준 여자가 입었을 때 많이 커요 오버핏으로 입으려고 했는데 핏으로 크게 입은 게 아니라 그냥 큰 느낌 체구 작으신 분들 사실 때 참고하시면 좋을 것 같아요 저는 디자인이랑 색감 재질 모든 면에서 완벽하게 제 취향이라 사이즈 무시하고 입었습니다 아주아주 만족해요 ,"만족하다, 무시, 참고, 완벽하다, 사이즈, 디자인"
배송은 예약배송이라 조금 걸렸지만 얇아서 지금 입기에도 적당하고 핏도 예뻐서 만족스럽습니다 ,"만족스럽다, 배송, 적당하다, 지금, 핏, 배송, 얇다"
옷이 얇고 가볍고 낭한 핏이라 편하고 시원해서 손이 자주 가네요,"시원하다, 가볍다, 편하다, 낭, 손, 가다, 핏, 얇다"
주머니 짝이인 불량 상품 예약배송으로 받았는데 기다린 만큼 바로 입으려고 세탁하고 발견했습니다 애초에 불량인 상품인데 교환불 안해주겠다네요 쪽팔려서 입지도 못하겠어요 다시는 파르티멘토 안살거 같아요 여러분도 구매하실때 다시 생각해보세요 불량 받아도 환불 못 받으니까요 ,"상품, 교환 불, 파르티 멘토, 세탁, 애초, 입지, 살다"
각 잡힌 셔츠가 안 어울리는 편인데 이거는 후들후들한 소재감 덕분인지 잘 어울리더라구요 단추 풀어서 입으나 잠가서 입으나 핏 다 예쁩니다 활용도가 엄청 높은 셔츠 ,"셔츠, 셔츠, 활 용도, 어울리다, 후 후, 풀다, 어울리다, 잡히다, 덕분"
왜 안사요 얼른 사세요 다들 너무 이뻐요 여름에도 이쁜옷 입어보아요,"입어보다, 여름, 얼른"
겨울에도 패딩 안에 반팔입고 다니는 열많은인간이라 여름옷이 아주 골 아팠던 터였다죠 그러던 중 이걸 샀는데 개얇고 나풀나풀한데 후줄그레하진 않고 너무 좋은 겁니다 여름옷의 숙명 시원하면 후줄그레 단정하면 개더움 여름옷의 숙명을 드디어 벗어던졌어요 괜찮은 다른 컬러 있으면 바로 살 겁니다,"단정하다, 숙명, 겁니다, 후줄 하진, 시원하다, 숙명"
원하던 반팔셔츠라 기대하고 구매했는데 딱 원하는 스타일이네요,"스타일, 셔츠, 원하다, 원하다, 기대하다"
약간 까슬한 면이고 두께는 얇아요 그치만 엄청 시원한 소재까지는 아닌것 같아요 딱 원하던 핏이어서 맘에 듭니다 ,"시원하다, 원하다, 그치다, 듭니, 얇다, 아니다"
요즘 체크패턴 셔츠 정말 가지고 싶었는데 에구머니나 마침 이렇게 이쁜 제품 발견 한여름에도 입을수있는 얇기에요 안에 이너 없이 맨살에 입는거 추천추천 막 추천,"추천 추천, 추천, 마침, 체크 패턴, 살, 셔츠, 한여름"
 찐 솔직후기 사이즈 핏 기장 완벽 배송 예약 배송이어서 기다렸지만 출고되고 빠르게 도착 디자인 팔 접고 단추 메는 포인트가 아주 마음에 들고 너무 벙하지 않은 핏이라서 만족 색감 화면가 같음 가격 가성비가 너무 좋음 합리적 가격 마지막 평 가격 디자인 활용도 생각하면 충분히 좋은 제품이라서 추천 실밥은 아마 제가 뽑기를 못한거 같은데 그래도 만족 ,"화면, 배송, 활용, 마지막, 추천, 만족, 솔직 후기, 완벽, 벙하다"
맨살에 입어도 따갑지 않아서 좋아요 휘뚜루 마뚜루 입을만 합니다,"살, 휘뚜루, 마뚜루, 따갑다"
체크무늬인데 공대느낌 덜 나서 좋은거같아요 귀엽,"체크 무늬, 나서다, 귀엽다, 공대"
