Processed_Review,keyword
두툼합니다 사이즈도 적당하고 무엇보다 재질이 정말 좋습니다 시보리 부분이 정말 탄탄해요,"적당하다, 탄탄하다, 사이즈, 재질, 두툼, 시보리, 부분"
기장감 좋고 품 좋고 cm에 마른 체형입니다 L 사이즈 딱 좋아요,"기장감, 체형, 사이즈, 마르다"
,
조금 무거운 감이 있지만 역시 예쁘네요 옆이 조금 온 버핏이에요,"무겁다, 옆, 버핏"
자크 다 잠가서 안 예쁘게 나왔네요 사진처럼 투 웨이 잘 살려서 입으면 충분히 가격 값합니다,"사진, 살리다, 자크, 충분하다, 잠그다, 가격, 나오다"
싸게 잘 샀어요 그리고 제가 키가 작아서 제일 작은 사이즈로 샀는데 m사도 괜찮았을 거 같아요 S사니까 길이는 엉덩이 가릴 정도고 소매는 딱 맞았어욯 예쁘게 잘 입겠습니다,"엉덩이, 사도, 사이즈, 작다, 길이, 제일, 가리다, 작다"
가끔 실내에서 추울 때 입기 너무 좋아요 아래 지퍼도 살짝 올리면 이쁘고요,"올리다, 실내, 지퍼, 아래, 가끔"
총장이 짧고 팔은 길어서 입었을 때 귀여워요 근데 지퍼가 잘 안 올라가고 품이 좀 큰 게 아쉬워요 그래도 기본 템으로 딱 좋습니다,"총장, 올라가다, 지퍼, 기본, 팔, 품"
생각했던 것보다 괜찮았어요 두께도 나름 두껍고 손목 시보리도 너무 널찍하지 않고 딱 적당해서 근데 저는 개인적으로 시보리가 정말 짱짱한 걸 좋아해서 밑단 시보리가 널찍해서 살짝 아쉬웠어요 손목 시보리는 만족해요,"개인, 적당하다, 만족하다, 시보리, 시보리, 시보리, 손목"
일단 멜란지 마스터와의 큰 차이점 세 가지 핏이 다르다 토피가 더 기장 짧고 벙벙한 핏 지퍼가 다르다 멜란지는 ykk 얘네는 국산 원단 두께가 다르다 멜란지가 약간 더 두꺼움 핏 자체는 토피가 이상적이지만 지퍼 같은 부자재나 원단에 있어서는 멜란지가 아주 조금 더 나은 편 그렇다고 해서 후드 각이 안 잡히는 건 아님 멜란지만큼의 두께가 아닐뿐 각은 잡힘 토피는 지퍼 안쪽에 원단이랑 맞물리는 곳에 마감을 해주긴 했지만 제대로 신경 쓰진 않은 듯,"마스터, 멜란지, 멜란지, 신경, 멜란지, 멜란지, 마감, 원단"
나쁘다고 사라고 후기 뒤지지 말고 사라고 어차피 사면 잘 입는다고,"사라, 어차피, 사면, 후기, 뒤지다, 나쁘다"
아우터와 이너 둘 다 입고 싶어 기모 없는 버전으로 구매했어요 두께감이 아우터와 이너 둘 다 적합하고 핏도 이뻐서 만족입니다 무엇보다도 이 옷 입으면 고양이 관심을 끌 수 있어서 최고였어요,"아우터, 만족, 적합하다, 관심, 이너, 버전, 기모"
데일리 셋업으로 입기 너무 좋아요 사이즈는 그냥 정 사이즈로 가시는 걸 추천드려요,"추천 드리다, 사이즈, 사이즈, 데일리, 가시다, 셋업, 그냥"
새 옷 냄새 많이 나요 이뻐요 생각보다 안 커요 지금 입기 딱 좋아요 팔은 겁나 길어요 대충 접고 다녀야 하나 근데 입고 다님 그렇게 신경 쓰이지 않아서 든 듯 색은 사진보다 밝아요,"사진, 신경, 겁나다, 대충, 크다"
사이즈 때문에 고민하실 다른 분들 때문에 오픈합니다 빅 사이즈 여자사람에게도 핏 너무 귀여워요 사진보다 실물이 맘에 들어요,"고민, 여자 사람, 오픈, 실물, 사이즈, 사진"
좋습니다 질도 좋고 데일리 하게 어디든 어울려서 좋아요 팔이 길어서 좋고 암튼 좋아요,"어울리다, 데일리, 질도, 팔이"
시험기간 내내 입고 다녔어요 하지만 시험은 잘 못 봤네요,"시험 기간, 시험, 내내"
캐주얼에 너무 좋고 어딜 가든 특히 한강에 제일 잘 어울리는 옷인 거 같아요,"캐주얼, 어울리다, 한강, 제일, 가든"
주로 남자분들이 입어서 어깡핏 나올까 봐 걱정했는데 생각보다 둥글둥글한 핏이라 귀여워요 온 버핏에 비해 총장은 살짝 짧은 편인데 이게 오히려 핏이 예뻐 보여요 기준 엉덩이 반쯤 덮습니다 원래 반팔 티 cm 이상 선호하는 편이라 걱정했는데 나름 괜찮았아요 안에 반팔이랑 입으면 강제 레이어드가 되긴 합니다 도톰하고 신축성 없는 재질이에요 기모 없습니다 근데 지퍼가 잘 안 올라가요 그래서 별 뺌,"둥글둥글하다, 신축, 엉덩이, 총장, 재질, 팔이, 비다"
패딩 안에 껴입고 좋고 꾸 안 그로도 잘 어울려요 자크가 두 개라 편해요,"어울리다, 편하다, 자크, 패딩, 그로, 개, 끼다"
예쁜데 팔 통이 좀 커요 팔 통이 얼마나 큰지 알려드리려고 사진을 찍었는데 처음 사진은 제 팔이고 두 번째는 이 옷의 팔이에요 그리고 기모가 있어서 따뜻해요 봄가을 겨울 다 입기에는 기모 있는 게 좋을 것 같아요 마지막으로 핏이 아방 동글해요 밑이 동그란데 지퍼가 두 개니까 뭔가 이상해서 그냥 지퍼 다 잠그고 입는 게 더 예쁜 거 같아요 S 해도 충분히 크고 온 버핏이니 저랑 비슷한 체형이시면 고민 없이 S 하시길 추천드립니다 마지막 사진은 귀여워서 올리려고 했는데 또렷하게 촬영해야 한다고 해서 다른 사진을 앞에 올리고 추가합니다 참고로 절 알아보신 분들은 모른척해주세요 천원 준다는데 후기를 안 쓸 수는 없잖아요,"모르다 척 해주다, 글해, 이상하다, 체형 시, 마지막, 추천 드리다, 사진, 사진, 지퍼, 마지막"
