Review,Keyword
세미 오버핏 블레이저 찾고 있었는데 때마침 할인행사도 하고 이전에 겨울에 넌 블랭크 코트 입고 만족했어서 이번에도 구매하게 되었습니다 착용했을 때 어깨랑 팔 쪽이 여유로워서 정말 편했고 바지도 허리 쪽에 밴딩 처리되어 있어서 편했습니다,"팔, 할인행사, 블레이저, 오버핏, 블랭크, 바지, 이전, 넌, 편하다, 세미, 여유워, 때마침, 만족하다, 착용, 허리, 쪽, 코트, 겨울, 어깨"
이쁜 그레이 셋업을 찾고 있었는데 이게 눈에 딱 들어왔어요 너무 이쁘네요,"들어오다, 그레이, 눈, 셋업"
사이즈도 적당하고 핏도 적당한 거 좋네요 면접룩 하객룩 해요,"핏, 면접룩, 사이즈, 적당하다, 하객룩"
셋업은 핏이 생명인데 제가 찾던 실루엣이 나왔어요 너무 온 버핏이면 캐주얼스러워서 싫고 너무 정에 핏이면 평소에 있긴 과한듯해서 싫었는데 편하고 이쁘게 잘 나왔어요,"실루엣, 핏, 평소, 편, 생명, 캐주얼, 정"
바지 사이즈는 한 사이즈 업해서 사야 입을 때 편할 거 같아요 나머지는 다 만족스럽습니다,"업, 바지, 사이즈, 나머지, 편하다, 만족스럽다"
깔끔하고 스타일 나게 셋업 입기에 좋아요 상의 XL 하의 L 구매했습니다,"상의, 스타일, 하의, 셋업"
사이즈 딱 맞고요 저렴하게 셋업 맞춰서 만족해요,"맞다, 맞추다, 만족하다, 사이즈, 저렴하다, 셋업"
두껍지 않고 얇은 소재입니다 봄에 입기 좋아요 세미 오버한 핏이에요,"세미, 핏, 봄, 두껍다, 오버, 얇다, 소재"
편하고 잘 맞아요 다만 바지 l 기준 사이즈로 허리는 여유 있지만 허벅지 종아리가 딱 떨어져서 좀 더 두꺼우신 분들은 xl 가도 좋을 거 같아요,"맞다, 여유, 두껍다, 바지, 허벅지, 떨어지다, 기준, 허리, 종아리, 분, 가도, 편하다, xl, l"
결혼식 가볍게 갈 때 입으려고 구매했는데 아주 좋은 거 같습니다 꿈 안 꾸 스타일로 추천합니다,"꿈, 추천, 스타일, 꾸다, 결혼식, 가볍다"
재킷은 여름에 입기는 살짝 더울 거 같은데 그래도 얇은 편이고 바지가 하늘하늘한 재질이라 얇고 시원해요 적당한 세미 온 버핏이라 체형이 부각되지 않아서 더 좋은 것 같습니다 기장이 살짝 길어서 수선을 해야 할 거 같은데 대만족입니다,"세미, 체형, 기장, 바지, 덥다, 하늘하늘하다, 시원하다, 적당하다, 편이, 얇다, 재질, 여름, 오버핏, 부각"
약간 루스하게 잘 맞네요 바지통이 약간 큰 느낌이긴 한데 아주 큰 건 아니고 약간입니다 생각보다 괜찮습니다 고급스럽진 않지만 막입기 좋은 데일리 정장입니다,"맞다, 데일리, 루스, 막, 바지통, 정장, 고급스럽다"
얇습니다 촉감 좋습니다 근데 어디 긁히면 바로 찢어질 것 같긴 합니다 춥습니다 얇으니 당연한 거죠 이쁩니다,
적당한 세미와 버핏의 셋업이에요 색감은 짙은 회색인데 소재가 얇고 가벼워서 여름에도 굿,"세미, 색감, 셋업, 가볍다, 얇다, 여름, 오버핏, 회색, 소재"
몸에 착 감겨요 맘에 들어요 봄에 빨리 입고 싶네요,"감겨, 봄, 착, 빨리, 몸"
바지 기장과 상의 소매만 수선 후 입었습니다 이렇게만 하니까 저한테 딱 맞게 입을 수 있었습니다 군더더기 없이 깔끔한 거 같아요 블랙 슈트에 이어 그레이 색 강도 구매하게 됐네요,"맞다, 강도, 기장, 상의, 소매, 바지, 깔끔하다, 색, 그레이, 군더더기, 슈트, 수선, 없이, 이렇다, 블랙"
핏 사이즈 재질 모두 만족스러워요 솔직히 기대 안 하고 구매했는데 완전 만족 대만족입니다 다른 색상도 구매해야겠어요,"핏, 대만족, 색상, 사이즈, 만족, 재질, 기대"
에 키로 상의 엑스라지 하의 라지 잘 맞아요,"맞다, 엑스라지, 하의, 상의, 키로, 라지"
금액 대비 가성비 최고의 옷이라고 생각해요 정 사이즈입니다,"가성비, 사이즈, 금액, 최고, 정"
한겨울엔 이너로 봄가을은 아우터로 좋습니다 핏도 이뻐요,"이너, 한겨울, 아우터"
결혼식 축가용으로 샀습니다 얇아서 간절기 여름 다 좋네요,"결혼식, 간절기, 축가, 얇다, 여름"
한 번 정장식으로 입어 봤습니다 재킷은 사이즈가 괜찮은 데 바지가 약간 작네요 저와 같은 사람이 있다면 사이즈를 추천합니다,"사람, 재킷, 바지, 사이즈, 추천, 작다, 정장식"
피하게 잘 나왔네요 가격 대비 심플한 셋업 슈트인 것 같네요,"나오다, 가격, 대비, 피하, 슈트, 셋업, 심플"
한여름만 아니면 입을 수 있을 정도로 가볍고 얇습니다 착용감 매우 편하고 뒷밴딩있어서 좋아요 색깔도 딱 화면에서 본 그대로입니다,"뒷밴딩, 착용, 얇다, 편하다, 가볍다, 색깔"
결혼식에 딱 입기 좋습니다 핏도 너무 좋고 가격이 너무 사기에요,"사기, 결혼식, 가격, 핏"
가성비 좋아요 지금 입기 딱 좋은 두께입니다 색상도 너무 어둡지 않고 무난하게 입기 좋아요,"가성비, 색상, 무난, 두께, 어둡다"
옷이 예뻐요 배송이 빨라요 사이즈도 딱이에요 감사합니다,"감사, 배송, 사이즈, 빠르다"
옷이 정말 좋습니다 정장 포멀한 스타일 좋아하는데 옷 디테일부터 다릅니다 세차하는데 많이 쌈 봉해 보여요,"포멀다, 쌈, 세차, 정장, 봉, 스타일, 디테일"
사이즈 잘 맞고 여름에 편하게 입을 셋업 구매 잘한 것 같아요,"편하다, 여름, 셋업, 사이즈"
결혼식 갈 때 입었는데 괜찮네요 경조사용으로 추천,"결혼식, 경조사용"
세미와 버핏으로 적당히 캐주얼한 느낌도 있어서 부담 없기 입기 좋을 것 같아요,"캐주얼, 세미, 오버핏, 부담"
저렴한 셋업으로는 딱인 넌 블랭크 셋업 사이즈도 잘 맞고요 색감도 사진과 비슷합니다 캐주얼이나 면접 때도 입을 수 있을 것 같네요,"색감, 사진, 캐주얼, 사이즈, 면접, 셋업"
오버사이즈라 그런지 상의의 길이가 길긴 함 어깨 팔 등은 길이 적당한 편 바지는 M으로 시켰는데 발목 다 덮을 정도의 길이 그에 비해 밑위가 좀 짧아서 엉덩이가 바지 먹을 것 같음 그 이외에는 무난히 입을 만한 것 같음,"밑위, 상의, 바지, 팔, 길이, 엉덩이, 무난, 어깨, 오버사이즈, 발목"
면접 대비와 명절 때 가족 만날 때 입으려고 겸사겸사 셋업 구매하였는데 마음에 들어요 생각보다 많이 얇아서 좀 서늘해지면 추울 듯하네요,"가족, 대비, 면접, 명절, 추다, 셋업"
여자친구가 선물로 줬는데 옷도 깔끔하고 색도 잘 나왔어요 상의가 조금 긴긴 한데 바지도 이쁘고 잘 입을게요,"나오다, 선물, 상의, 깔다끄다, 바지, 여자친구, 색"
결혼식장 때문에 급하게 구매했는데 찰떡같이 잘 맞고 예뻐서 나중에도 잘 입을 거 같습니다,"맞다, 찰떡, 나중, 급하다, 결혼식장"
얇고 부드러우며 시원한 촉감이 좋으며 밝고 선명하되 은은한 무광택이 어느 경조사든 어울리는 전천후 셋업 슈트입니다,"무광택, 전천후, 밝다, 부드럽다, 은은하다, 시원하다, 촉감, 선명하다, 셋업, 슈트, 얇다, 어울리다, 경조사"
결혼식이 있어서 급하게 남편 정장을 주문했는데 너무 마음에 드네요 남편한테 잘 어울리고 멋있어 보여요 질감이며 핏이며 색상이며 어느 하나 빠질 거 없네요 감사합니다,결혼식
넌 블랭크 saint year 세미 오버핏 셋업 후기를 좋은 기회로 쓰게 되었습니다 먼저 브랜드 관계자분들 무신사 관계자분들께 감사드립니다 제 스펙은이고 착용 제품은 블레이저 L 사이즈 슬렉스 M사이즈입니다 색상은 그레이로 약간 톤 다운된 차분한 느낌을 줍니다 블레이저와 바지 모두 두껍지 않고 얇은 편이며 약간의 텐션감이 있어 착용감에서 편안함을 느낄 수 있었습니다 블레이저의 경우 어깨와 총장에 중점을 두고 사이즈를 선택했습니다 이너로 롱 슬리브나 셔츠를 입어도 무난하며 경조사용 출퇴근용으로 손이 잘 갈 것 같다는 생각이 들었습니다 리뷰 봐주셔서 감사합니다,"세미, saint, 블랭크, 쓰다, 기회, year, 넌, 후기, 셋업, 오버핏"
핏좋게 입으려면 정 사이즈로 가시는 게 좋을 거 같아요,"핏, 가신, 사이즈, 정"
역시 넌 블랭크입니다 사이즈 핏 배송 모두 만족입니다,"핏, 사이즈, 배송, 만족, 블랭크입니, 넌"
결혼식에 입고 갈 셋업이 필요해서 구매했습니다 가성비 좋아요,"가성비, 결혼식, 셋업"
소매랑 바지 기장이 좀 길어서 수선하려고요 무난해요,"수선하다, 기장, 소매, 바지, 무난"
너무 포멀하지 않고 약간 캐주얼한 느낌이에요 반대로는 딱 정장 같지도 않고 애매할지도 재킷 기장이 살짝 긴 거는 참고하세요 결혼식 갈 때 입으려고 가성비 좋게 구매,"가성비, 포멀다, 기장, 재킷, 캐주얼, 애매하다, 정장, 결혼식"
가성비 좋게 예쁜 옷 잘 샀어요 요즘 제일 많이 손이 가네요,"가성비, 가다, 손, 제일"
스타일 좋게 입을 수 있을 거 같아요 어디든지 어울려요,"어울리다, 스타일"
결혼식 때문에 사서 입고 갔습니다 색감이 아주 잘 빠진 거 같아요 무난합니다 얇아서 봄에 입기 좋아요,"봄, 색감, 빠지다, 무난, 얇다, 결혼식"
봄여름에 입기 좋을 얇은 두께입니다 바지는 애매하게 긴 거 같아서 테이프 퍼드 핏으로 수선했어요,"핏, 수선하다, 봄여름, 바지, 애매하다, 퍼드, 얇다, 두께, 테이프"
너무 잘 구매했습니다 핏도 좋고 디테일도 좋네요,
두께는 생각보다 얇아요 핏은 예상보다도 예쁩니다,
결혼식 참석 차 세미 정장을 찾다가 골랐는데 너무 깔끔하고 좋네요 추천이요,"세미, 차, 깔다끄다, 추천, 정장, 결혼식, 참석"
핏이 좋고 가격도 가성비 최고인 거 같습니다 재구매 의사 있어요,"가성비, 핏, 가격, 재다, 최고, 의사"
합리적인 가격에 만날 수 있는 굳 퀄의 셋업입니다,"합리, 가격"
원단이며 핏이며 가격에 비해 너무 괜찮은 것 같아요 넌 블랭크라는 브랜드 다음에도 또 이용하게 될 것 같네요 감사히 잘 입겠습니다,"핏, 가격, 이용, 원단, 브랜드, 블랭크, 감사히"
사이즈 딱 좋고 가성비가 굉장한 듯 근데 얇아 사 추움,"가성비, 굉장, 사, 추움, 사이즈, 얇다"
결혼식 때문에 급하게 구매했는데 만족스러워요,"결혼식, 급하다, 만족스럽다"
너무 이쁘네요 상하의 딱 좋아요 다른 색상도 구매하려고 합니다,"상하, 색상"
옷 아주 맘에 듭니다 혹시 키 인분들은 XXL로 사세요,"키, XXL, 인분"
세미오버핏 셋업을 찾고 있었는데 가성비 좋고 싸 보이지 않네요,"가성비, 싸다, 보이지, 세미오버핏, 셋업"
핏이 살짝 오버해 트렌디하면서 너무 이쁨 두께도 너무 두껍지 않아 초여름까지는 입을 수 있을 것 같고 맘에 드는 제품,"핏, 제품, 오버, 초여름, 두께, 트렌디"
사이즈 핏 모두 맘에 듭니다 두께도 얇은 편이라 월에 있었던 결혼식도 잘 입고 갔습니다 사이즈 이슈가 좀 있긴 했는데 문의 글 답변 잘 해주셔서 교환도 잘 받았습니다,"핏, 이슈, 사이즈, 문의, 교환, 결혼식, 두께"
편한 결혼식장에서 잘 입었어요 오래 잘 입을게요,"편하다, 오래, 결혼식장"
결혼식 때 입으려고 구매했어요 그레이 색이 밝지 않아서 좋아요,"색, 밝다, 결혼식, 그레이"
면접복으러 샀습니다 합격했으니까 님들도 사세요,"면접복, 합격"
블랙 색상 말고 다른 색상의 셋업 구매하고 싶어서 결정했는데 만족도 터입니다,"만족도, 색상, 셋업, 블랙"
결혼식용으로 산 건데 굉장히 맘에 들어요 특히 바지 짱,"특히, 바지, 굉장하다, 짱, 결혼식용"
결혼식 땜에 싸게 잘 구매해서 입고 왔습니다 깔끔하게 입어야 하는 날이 요긴하게 입을 거 같습니다 번창하세요,"싸다, 요긴, 깔끔하다, 결혼식, 번창"
구매 전 생각했던 느낌과 비슷하게 잘 받아볼 수 있었습니다 상의 사이즈 정 사이즈였던 거 같고 하의는 보통 작게 입는 편인데 작은 사이즈로 했을 때 작게 느껴져서 정 사이즈로 교환해야 했어요 상의 하의 사이즈 작게 가지 마시고 정 사이즈로 가는 게 좋아 보여요 모든 부분 만족스러운 구매였어요,"모든, 하의, 상의, 사이즈, 교환, 부분, 가다, 작다, 만족스럽다, 정"
사이즈가 일반 피트보다는 널찍해서 좋습니다 소재도 시원해서 한여름 빼고는 괜찮을 거 같아요 만족합니다,"한여름, 피트보다는, 널찍하다, 만족하다, 빼다, 사이즈, 시원하다, 일반, 소재"
어깨가 살짝 타이트하네요 옷감이 조금 얇아서 봄이나 가을에 입기 좋습니다,"봄, 옷감, 가을, 얇다, 타이트, 어깨"
처음 사는 셋업인데 재질도 좋고 포인트 주기도 좋고 가장 중요한 건 역시 깔끔합니다 급하게 샀는데 잘 샀어요,"포인트, 살다, 처음, 깔다끄다, 주기도, 중요하다, 급하다, 가장, 재질, 셋업"
사이즈랑 기장 수선할 필요 없이 딱 맞습니다 이쁩니다,"맞다, 수선, 사이즈, 기장"
셋업으로 가성비 좋은 편입니다 온 버핏이라 상의 약간 긴것 감안하고 구매하셔야 합니다 옷 이쁘네요,"가성비, 감안, 상의, 셋업, 오버핏"
포멀한 장소에서 좋습니다 얇기는 한데 그만큼 편하네요,"편하다, 포멀다, 장소, 얇다"
지금 날씨에 딱이에요 널찍하게 입을 수 있어서 좋습니다,"날씨, 널찍하다"
얇아서 지금 딱 입기 좋아요 가성비 좋고 약간 크게 입는 게 제일 이쁜 거 같습니다 재질도 너무 마음에 들고요,"가성비, 크게, 얇다, 재질, 제일"
저렴하게 적당한 셋업 잘 구매했습니다 만족스럽네요,"적당하다, 저렴하다, 만족스럽다, 셋업"
가성비 아주 좋은 셋업이에요 결혼식 때 잘 입고 갔어요 그레이 색이 세련돠고 마음에 들어요,"가성비, 세련돠, 그레이, 결혼식, 셋업"
위에는 딱 맞아요 근데 바지가 좀 긴듯한 느낌이에요 원래 이렇게 입는 건가 모르겠네요,"맞다, 건가, 바지, 원래, 모르다, 위에는, 이렇게"
결혼식 때 입으려고 급하게 구매했는데 사이즈도 잘 맞고 배송도 빨라서 잘 입었습니다 재질도 좋고 신축성이 좋아서 마음에 들어요,"신축성, 사이즈, 급하다, 배송, 재질, 결혼식"
넌 블랭크의 세미오버핏 셋업 슈트에 당첨되어서 정말 영광이었습니다 넌 블랭크 시그니처 아이템이라 그런지 퀄리티며 핏이 상당히 마음이 들었습니다 사진 보면 실루엣이 포멀한 것 같으면서도 미니멀한 셋업이라 지금 유행하는 스타일에 딱 맞는 옷인 것 같습니다 부자재도 신경 써서 그런지 소뿔 단추였습니다 그리고 팬츠에 허리밴드까지 이렇게 핏 부자재 퀄리티 전주 만족하는 셋업을 찾기는 쉽지 않을 것 같습니다 셋업이지만 블레이저나 슬렉스 따로 연출도 가능할 같아 여러 코디를 미니멀로 하는 저처럼 미니멀 좋아하는 사람에게는 진짜 강추입니다 데이트할 때 입었는데 여자친구가 상당히 맘에 들어 해 행복한 데이트를 했습니다 다시 한번 넌 블랭크에게 감사합니다 더욱더 번창해서 더욱더 좋은 옷 만들어주십시오 파이팅,"핏, 팬츠, 소뿔, 세미오버핏, 스타일, 실루엣, 포멀다, 유행, 블랭크, 허리밴드, 부자재, 신경, 부, 시처, 사진, 슈트, 퀄리티, 영광, 미니멀다, 아이템, 당첨, 셋업, 단추"
옷이 너무 이쁩니다 셋업 슈트로 구매했는데 색상도 이쁘고 수선할 필요도 없이 너무 맘에 드네요 다음에는 다른 색상 구매해야겠어요,
세미 정장이 필요해서 찾아보던 중 후기도 괜찮고 해서 구매했습니다 키가 작아서 바지가 살짝 긴데 그냥 입어도 무난할 정도입니다 그 외에는 퍼펙트,"세미, 바지, 키, 정장, 작다, 후기, 퍼펙트"
인데 바지 XL가 편하고 위에는 딱 좋네요,"위, 바지, 편하다, XL"
살이 빠져서 요 요전에 입으려고 구매 팔이 짧은 편이라 재킷 수선 바지는 구두에 적당한 곱창 하지만 더 짧게 수선함 바지핏 괜찮음 몸이 조금 좋으시다면 바지는 조금 크게 안감 있음 전반적으로 가격 대비 좋다고 봄,"바지핏, 가격, 재킷, 수선, 안감, 구두, 크게, 봄, 빠지다, 대비, 바지, 짧다, 적당하다, 몸, 곱창, 전반, 편이, 팔이, 수선하다, 요전, 살이"
결혼식 때 입으려고 상하의 세트로 샀는데 입기 편하고 잘 산거 같습니다 원단이 가볍고 색감은 짙은 회색입니다,"산다, 결혼식, 상하, 원단, 세트, 편하다, 가볍다, 회색"
색도 이쁘고 어디에나 어울릴 거 같아요 계절에 크게 영향받지 않고 잘 입을 수 있을 거 같아요,"크게, 영향받다, 색도, 어울리다, 계절"
너무 이쁜데 사진에 안 담기는 게 흠이네요 저는 다른 색상도 구매예정입니다 너무 이뻐요 진심,"색상, 사진, 흠, 예정, 담기다, 진심"
셋업은 셋업이네요 셋업으로 사니 깔끔하네요 단점이라면 얇아요 봄여름 가을까지만 입을 수 있을 것 같아요,"단점라면, 봄여름, 살다, 깔끔하다, 얇다, 셋업, 가을까지만"
배송도 빠르고 이 가격 대비 정말 좋습니다 사이즈도 좋고요 너무 좋아요 다음에 또 구매하겠습니다,"가격, 빠르다, 대비, 사이즈, 배송"
밑위가 좀 더 길었으면 하는 개인적인 바램 이외에는 만족합니다,"밑위, 길다, 만족하다, 바램, 개인"
,
단정하고 마음에 들어요 사이즈는 정 사이즈로 시키시면 될 듯,"단정, 사이즈, 정"
