Review,Keyword
허리가 커요 뭔가 알 수 없지만 시크하고 세 투시하고 좋아요 내 pose 때문일지도,"때문일지, 허리, 투시하고, 없다, 세, 내, 수, 알, 크다, 시크하고, pose"
편안하고 가격도 저렴해서 너무 좋아요 자주 입을 듯,"가격, 편안, 저렴"
바지 길이 제가 원하던 길이에요 두께도 지금 날씨에 입기 좋은 두께이고요 핏 최고예요,"날씨, 바지, 핏, 길이, 두께"
잘 입고 입습니다 운동할 때도 좋아요 한여름에는 입기 힘들 거 같아요,"힘들다, 한여름에는, 운동"
너무 편해서 맨날 입고 댕김 집 앞 슈퍼 나갈 때 입어도 편하고 꾸안꾸로 입고 나갈 때도 좋음,"집, 편하다, 댕김, 꾸안꾸, 맨날, 앞, 슈퍼"
루룰루룰룰루랄라랄 즐거운 산책 모르는 게 상책,"즐겁다, 산책, 모르다, 상책"
너무 편하고 스타일 코디도 쉽게 할 수 있어요 너무 마음에 들어요,"편하다, 코디, 스타일"
가성비 갑 스웨 팬츠 고민되시면 바로 구매하세요,"고민, 스웨, 갑, 가성비, 팬츠"
여자친구 사줬는데 저보다 잘 어울리네요 가을에도 제로에서 바지 사야겠러요,"사주다, 여자친구, 제로, 가을, 어울리다, 바지"
전 딱 부 핏으로 잘 떨어지고 너무 편해서 많이 입었어요,"부, 편하다, 핏"
반바지를 잘 안 입는데 이거 무슨 교복인가요 맨날 입게 된다고요 킹아,"킹, 교복, 반바지, 맨날"
저렇게 위에 오버핏이랑 입으면 이쁩니다 바지가 이쁘네요,"바지, 오버핏"
일본 여행 가서 예쀼게 입었숩니당 사이즈도 넉넉하고 조아여,"숩니당다, 여행, 넉넉하다, 사이즈, 일본, 예쀼"
운동할 때 입으려고 샀는데 편하고 무엇보다 이뻐요,편하다
너무 편하고 이뻐요 데일리 템입니다 꼭 다들 사시고 입으셨으면 좋겠습니다,"사시, 편하다, 데일리"
길이랑 핏에 비해 허리 고무줄이 짱짱한 느낌이에요 제 뱃살 때문 같아요 마음에 들어요,"허리, 뱃살, 짱짱, 고무줄, 핏, 길이"
생각보다 길이가 많이 길어요 그리고 핏이 예쁘려면 특정 자세를 취해야 하고 그냥 일자로 서있으면 항아리 같은 핏이 나와요 번째 사진처럼 두께가 많이 두꺼운 데다가 검은색이라 지금 입어도 덥긴 합니다,"덥다, 검은색, 핏, 길이, 자세, 두껍다, 항아리"
회색 잘 입고 있고 검은색도 한 번 사봤습니다 재구매하면서 다른 사이즈 구매해 봤는데 확실히 차이가 있네요 참고하시라고 같은 자세 비슷한 코디로 올려봅니다 검정은 미디엄 회색은 라지입니다,"차이, 참고, 코디, 검은색, 사이즈, 검정, 재다, 미디엄, 회색, 자세, 라지"
통은 마음에 드는데 길이는 조금 길어서 수선 맡겼어요 휘뚜루마뚜루 입기 좋아요,"길이, 통, 휘뚜루마뚜루, 수선"
헬스하시는 분들은 장만하시면 아주 요긴하게 사용하실 것 같아요,"장만, 헬스, 요긴, 사용"
딱 제가 원하던 기장의 바지예요 넘넘 맘에 듭니댱 히히 무릎 밑으로 살짝 내려와서 편하게 입기 좋은 바지에 오 핀턱 있어서 귀여워요,"내려오다, 편하다, 히히, 바지, 기장, 핀턱, 오, 귀엽다, 넘다넘다, 밑, 듭니댱, 원하다, 무릎"
여기 브랜드 바지 네 번째 구매에요 너무 좋아요 최고,"번째, 최고"
친구한테 회색 빼앗기고 검은색으로 살아남았는데 이럴 수가 내 진정한 사랑은 검정이었습니다 길이는 무릎을 슬쩍슬쩍 덮을까 말까 하는 밀당 길이입니다 길이조차 완벽하다고 할 수 있죠 그 어떤 티를 입든 조용히 받쳐주고 소화시켜주는 아리따운 아이입니다 제가 대통령이 된다면 국민 여러분께 한 장씩 드리고 싶을 정도로 공익을 위해 소중한 아이템 공개하는 그런 수고를 하더라도 모두에게 이 바지를 알리고 싶은 예쁜 바지라는 말입니다 샐깔은 그냥 엄청난 검정입니다 그렇지만 완벽한 사이즈 완벽한 길이 완벽한 디자인 무난하게 하나 갖고 있으면 계속 손이 가는 새우깡 느낌의 바지입니다 그냥 구매하셨으면 좋겠네요,"슬쩍슬쩍, 길이, 말다, 밀당, 검정, 완벽하다, 수, 회색, 살아나다, 수가, 검은색, 친구, 사랑, 내, 덮다, 이렇다, 빼앗기다, 진정하다, 무릎"
나쁘지 않고 무난 무난하게 입을 수 있는 아이템입니다,"무난, 아이템"
퀄리티 괜찮고 가격도 좋고 여름까지 입을 수 있을 거 같아서 좋아요 흔한 느낌도 없어서 더 좋네요,"흔하다, 없다, 퀄리티, 수, 여름, 가격"
생각했던 것보다 온 버핏이고 두께감 있는 원단이라 좋아요,"원단, 버핏, 온, 두께감"
딱 제가 원하던 스타일의 스웨트 팬츠입니다 무릎에 걸치는 기장에 온 턱 바지 색과 동일한 색상의 스트링 옷 너무 이뻐요,"스타일, 스트링, 바지, 기장, 색상, 팬츠, 무릎"
싸게 잘 샀어요 가성비 좋아요 막 입고 다니기도 편하고 좋아요,"편하다, 싸다, 막, 가성비, 기도"
너무 예뻐요 너무 편하고 기장도 너무 적당 잘 입을 듯,"편하다, 기장"
이뻐요 사이즈 딱 좋고 근데 한번 빨고 나니까 색감이 조금 빠졌어요,"색감, 사이즈, 빠지다"
바지가 편해서 운동할 때 자주 입게 되네요 추천드립니다,"편하다, 추천, 운동"
귀여우니까 다들 당장 사시길 빨리빨리 체고 짱짱,"체고, 짱짱, 빨리빨리, 귀"
넉넉하고 편해서 좋아요 시원해서 여름에도 입을 거 같아요,"넉넉, 시원, 여름, 편하다"
여자친구가 싫어해요 하지만 전 좋아요 헤히호후,"싫다, 여자친구, 헤히호후"
바지 질도 좋고 두껍고 길이도 좋아유 여름에 입기 하나도 안 부담,"바지, 질, 길이, 두께, 여름, 부담"
야무지게 입을 수 있는 기본 템으로 충분한듯합니다,"야무지다, 수, 기본, 충분하다"
정말 오버한 느낌의 반바지를 원한다면 이거 추천드립니다,"추천, 오버, 반바지"
역시 스웨트 팬츠류는 제로가 최고네요 요즘 매일 입게 되네요,"매일, 제로, 팬츠류, 스웨트, 최고"
헬스를 좋아해서 버뮤다팬츠 많이 사 입는데 벌써 제로에서만 번째 구매네요 항상 믿고 사는 제로,"헬스, 믿다, 살다, 제로, 버뮤다팬츠, 사"
원하던 오버핏이구요면도 좋고 허리 고무줄 밴딩도 정말 편해요 배송도 빠르고요,"허리, 빠르다, 밴딩, 고무줄, 오버핏, 배송, 원하다"
귀여워요 그리고 긴 양말에 신으면 더 귀여운 느낌 이 나용 만족합니다,"만족하다, 양말, 귀엽다"
처음 입어보고 너무 커서 별로라고 생각했는데 입다 보니까 편하고 예뻐요 근데 생각보다 통이 많이 넓어서 s를 사도 됐었을듯해요 질도 좋고 면도 좋아서 자주 입을 것 같아요 길이는 무릎을 살짝 가릴 듯 말 듯 합니다,"별로라고, 편하다, 입어보다, 처음, 보, 커서"
사이즈가 너무 커요 s살껄 앞모습은 그래도 봐줄 만한데 옆모습이 너무 덩치가 커 보여요,"앞모습, 사이즈, s살껄, 옆모습, 보이다, 크다, 덩치"
블랙이랑 회삭 고민하다가 블랙 샀는데 블랙이 저한테 있는 옷이랑 잘 맞고 아무 옷이랑 입보도 너무 예쁘네요 돈 생기면 회색도 사려고요,"맞다, 돈, 생기, 고민, 회색, 블랙"
너무 좋아 그냥 다 좋아요 편하게 운동복으로도 꾸 안 그로도 너무 좋아요,"편하다, 운동복"
아주 좋아요 몇 개째 반복 구매 중 원래 사던 거 말고 매시 샀는데 아주 많이 얇진 않지만 훨씬 가벼워요,
반바지 핏이 정말 마음에 들고 오버핏 이여서 좋아요,"핏, 반바지, 오버핏"
버뮤다팬츠 기장도 너무 좋고 편안하게 입기 좋아요,"기장, 편안함, 버뮤다팬츠"
가격 대비 품질이 우수해서 놀랬어요 입었을 때 너무 얇지 않아 핏이 더욱 이쁘게 떨어집니다 무척 마음에 듭니다,"품질, 무척, 대비, 떨어지다, 우수하다, 얇다, 핏, 가격, 더욱, 않다, 놀래다"
회색 사고 맘에 들어서 검은색도 구매했습니다 감사합니다,"회색, 검은색, 사고, 들어서다"
너무너무너무 예뻐요 진짜 강력하게 추천드리는 제품입니다 이 가격에 이런 바지 찾기 힘들어요 그냥 구매하세요,"추천드리다, 제품, 힘들다, 바지, 그냥, 강력하다, 찾기, 가격, 이렇다"
동생이랑 각각 블랙 그레이 샀다가 너무 예뻐서 각각 하나씩 더 구매했습니다 블랙 색상은 깔끔하고 캐주얼하게 여기저기 매치해서 입을 수 있을 것 같고 매시 소재가 나온 게 진짜 신의 한수 소재가 탄탄해서 흐물거림 없이 세입을 잡아주고 허리는 밴딩이어서 편한 기장도 딱 좋은데 허벅지 단면만 센티 더 박시했다면 어땠을까 싶긴 하네욥 종아리 때문에 고민이 신분들은 오히려 기장이 딱 종아리를 커버해 주는 느낌이라 추천 박시한 흰 티나 그래픽 티셔츠를 볼캡과 함께 매치하면 여름스러운 캐주얼 꿈 안 꾸 무드 연출 가능하니 강추 드립니다,"탄탄하다, 센티, 신의, 편하다, 없이, 흐물거림, 한수, 단면, 소재, 잡다, 박시, 깔끔하다, 그레이, 기장, 세입, 매다, 매치, 캐주얼, 허리, 허벅지, 색상, 밴딩, 블랙"
이전에 시켰던 회색 색상은 정말 깔끔하고 마감 나쁘지 않게 왔는데 이거 할인해서 그런가 진짜 뭔 시장에서 파는 것보다 마감 거지 같게 왔네요 실밥 개 바로 다 떨어지고 탈피 실패한 것처럼 머리카락같이 붙어있네요 그냥 입을게요 교환하기도 귀찮아서 이런 후기 무신사에서 쓴 적 없을 텐데 심하네요 살로몬부터 불량 수준만 오니,"깔다끄다, 마감, 실패, 교환, 수준, 불량, 살로몬, 심하다, 시장, 나쁘다, 색상, 실밥, 탈피, 회색, 머리카락, 할인, 물다"
키 작은 여자가 입은 후기가 별로 없어서 걱정햤는데 크게 입는 걸 좋아하는 편이러 핏이 생각보다 이쁘네요 생각보다 버뮤다처럼 입을 수 있어요 찰랑거리는 바지 싫어해서 오히려 튼튼하고 좋았어요,"찰랑거리다, 펴다, 별로, 여자, 후기, 키, 없다, 걸, 버뮤다처럼, 걱정햤늘다, 싫어하다, 바지, 좋아하다, 작다, 수, 튼튼하다, 핏, 크게"
많이 더울 때는 두꺼워서 입기 힘들 거 같지만 너무 예뻐요,"덥다, 힘들다, 두껍다"
허벅지 부분은 생각보다 커서 놀랐지만 핏이 잘 맞아요 재질이 약간 스웨트 팬츠 느낌이 아니라 스웨트 팬츠에다 부직포 프로 첨가된 너 김 그래도 이뻐요,"프로, 부직포, 허벅지, 김, 첨가, 팬츠, 스웨트"
아무래도 여름에 입을 거라 안감을 매시 소재로 선택했습니다 길이도 살짝 무릎 아래로 내려오고 천이 너무 얇지 않아서 힘이 있어서 핏이 좋아요 기본 검은색이라 아무 색이나 잘 어울릴 듯합니다 턱이 잡혀 있어서 요즘스러운 디자인입니다 편하게 멋스럽게 잘 입을 것 같습니다,"안감, 아무래도, 소재, 매다, 여름, 선택"
상의 오버하게 가고 더 오버하게 버뮤다 핏인 반바지 매치하니까 멋있는 사람이 되어버렸네요 바지는 제로가 짱 아닌가요,"버뮤다, 오버, 상의, 가다, 아니다, 제로, 바지, 매치하, 되어다버리다, 멋있다, 핏, 짱, 반바지, 사람"
이번 구매로 제로 버뮤다 스웨트 팬츠 깔 별러 개 소장 중입니다 진짜 핏도 너무 이쁘고 원단감도 탄탄한데 가격도 저렴해서 너무 강추입니다,"버뮤다, 개, 소장, 원단감, 스웨트, 저렴, 핏, 깔다, 팬츠, 가격, 별러"
작년인가 재작년에 회색 사고 검은색도 사고 싶어져서 샀어요 얇은 버전이라서 시원해요,"버전, 검은색, 시원, 얇다, 회색, 작년, 재작년"
스웨트 팬츠 느낌으로 클래식하면서 편한 반바지예요 이번 여름에 엄청 잘 입을 것 같습니다,"편하다, 팬츠, 스웨트, 여름, 반바지, 클래식"
마음에 들어요 허리끈 있어서 좋은 것 같아요 제로에서 만드는 바지는 다 예쁜 것 같아요,"제로, 허리끈"
핏이랑 길이가 살짝 애매했어요 무릎을 덮을 거면 완전히 덮었으면 좋겠는데 무릎이 보일랑 말랑 해서 그게 좀 아쉬웠어요 이건 사람마다 다른 거라 사이즈 잘 보고 구매하시면 될 거 같아요 바지 자체는 예쁜 거 같아요,"말, 사이즈, 바지, 핏, 길이, 덮다, 무릎, 보일랑"
와 대박 겁나 이뻐요 핏 짱 오버핏 반팔 티에 입으면 너무 이뻐요,"티, 대박, 오버핏, 핏, 팔, 짱"
탄탄하고 좋아요 한여름에는 더워서 못 입을 거 같아요,"덥다, 탄탄, 한여름, 못"
귀여운 버뮤다팬츠입니다 핏은 생각보다 별로인 것 같아요,"핏, 귀, 버뮤다팬츠"
질 낮 제가 원하던 바지 찾았어요 너무 예뻐요 담에 다른 색상 또 구매하려고요,"바지, 질, 색상, 낮, 원하다"
사고 싶었던 제품인데 불프 세일하길래 여름에 입을 반바지 운동복 바오로 장만했습니다 좀 내려 입으면 무릎 살짝 가리고 종아리만 살짝 보이는 핏이라 너무 좋아요,"종아리, 제품, 바오로, 싶다, 세일, 장만, 사고, 핏, 여름, 운동복, 불프, 무릎, 반바지"
너무 클까 봐 걱정했는데 사이즈 딱 좋아요 두께도 적당해서 후줄근해 보이지 않네요 여름에 잘 입을 것 같아욥,"적당하다, 사이즈, 후줄근하다, 여름, 두께"
편하면서 힙한 바지 찾고 있었는데 그 바지가 딱 이 바지예요 정말 편하고 합하게 입기에 최고입니다,"편하다, 최고, 바지, 바지예요, 합, 힙"
일반 버전 먼저 샀다가 메시 버전을 샀는데 시원하니 딱 좋습니다,"일반, 메시, 시원하다, 버전"
카키 사고 옷이 너무 이뻐서 그레이랑 블랙 더 샀는데 쿠팡에 익숙해져서인지 배송 기다리다가 목이 빠질 뻔한 걸 잡아넣었어요 널찍해서 너무 편해요 가시 같은 허벅지를 숨기기에 충분해요 올여름은 제로 팬츠 세 장으로 내볼까 해요,"뻔하다, 배송, 가시, 쿠팡, 편하다, 충분하다, 올여름, 빠지다, 내볼끄다, 팬츠, 그레이, 제로, 널찍하다, 걸, 기다리다, 카키, 세, 허벅지, 사고, 숨다, 목, 잡아넣다, 블랙, 익숙해지다"
와이드 하프 팬츠 찾고 있다면 그냥 이거로 가시면 될 듯합니다 너무 이쁘고 싸고 최고입니다,"최고다, 와이드, 싸다, 팬츠, 하프"
짱 편하고 재질도 부드러워요 가격도 저렴하고 굿,"편하다, 저렴하다, 부드럽다, 굿, 가격, 재질"
완전 인생 바지 사이즈 두께감 모든 것이 딱 적당,"적당, 사이즈, 바지, 인생, 모든, 두께감"
음 양말 신으면 을 거라고 기도 중임 가랑이 부분이 생각보다 안 예쁨,"가랑이, 신음, 라고, 기도, 양말"
어정쩡한 것 같긴 하지만 뒤지게 예쁨 사세요 구리 히히,"어정쩡하다, 구리"
길이 통 핏 다 좋아요 코디하기 편할 거 같습니다 굿굿,"편하다, 굿굿, 코디, 통, 핏, 길이"
와이드 바지라서 사봤는데 여름에 입기엔 너무 두껍네요 손이 안 가요 핏대 생각보단 예쁘진 않아요,"와이드, 바지, 핏, 여름, 두껍다"
하체가 굵어서 반바지는 절대 안 입는데 너무 더운 것과 유행이 겹치면서 저도 한번 도전해 보게 되었습니다 부 팬츠라 시티 보이 맛 내 기조 편하고 다양하게 스타일링 할 수 있을 거 같습니다,"편하다, 스타일링, 더움, 굵다, 하체, 유행, 다양하다, 반바지"
예뻐요 영 역시 제로 믿고 삽니다 다른 색상도 살래요,"제로, 믿다, 색상, 살다"
사진이랑 색감 디자인 비슷해요 재질이 탄탄하고 휘뚜루마뚜루 입기 좋아요,"탄탄, 디자인, 색감, 사진, 재질, 휘뚜루마뚜루"
핏 너무 맘에 들어요 긴 게 좋아서 한 사이즈 업했는데 크긴 하지만 허리 조이면 편하게 맞아요 잘 입고 다닐게요,"맞다, 조이, 허리, 업, 편하다, 사이즈, 크다, 핏"
그냥 가성비 갑 색감 디자인도 이쁘고 휘뚜루마뚜루 입기 딱 좋습니다 특히 운동할 때 스타일 내기 개꿀,"디자인, 스타일, 개꿀, 색감, 가성비, 운동, 휘뚜루마뚜루"
회색 사고 맘에 들어서 검은색 추가로 구매했어요,"추가, 검은색, 들어서다, 사고, 회색"
여름에 야무지게 입고 있습니다 살짝 두꺼운 거 빼고 다 좋은 것 같아요,"야무지다, 여름, 두껍다, 빼다"
이쁜데 좀 흐물거려서 아싀워요 그렇지만 이쁘다는 거 근데 다리길이를 포기햐야함요,"흐물거림, 다리길이"
크게 입고 싶어서 m 구매했습니다 회색 검정 둘 다 샀는데 너무 마음에 들어요 감사합니다,"둘, 검정, 싶다, 회색, m, 크게"
운동할 때 자주 입는데 입기 편하고 여름에 입기 좋아요,"편하다, 운동, 여름"
바지 통이 넓어서 엄청 편해요 다른 색도 구매하려고요,"편하다, 통, 바지, 넓다, 색도"
더위 많이 타는 분 여름 두꺼운 쇼트 팬츠 싫어하는 분들에게 스웨트 쇼트 팬츠는 제로 온 턱 메시 외 아직까진 선택지가 없어 보입니다 타 브랜드 잘 팔리는 제품 시켰다가 가격도 훨씬 좋고 퀄리티도 나쁘지 않은데도 두께 때문에 반품 시키고 그레이에 이어 블랙 메시도 구매합니다 시켜놓고 보니 화이트 그레이도 메시가 등록되었네요 또 구매할 듯합니다 그만큼 적어도 저에겐 딱입니다,"쇼트, 더위, 팔리다, 온, 않다, 외, 때문, 보이다, 퀄리티, 나쁘다, 팬츠, 스웨트, 가격, 아직까진, 두껍다, 두께, 타, 싫어하다, 제로, 선택지가다, 없다, 턱, 제품, 메시, 분, 여름, 브랜드"
길이 굿 두께 굿 스판 굿 짱짱함 좋음 다른 색도 살 예정,"짱짱하다, 스판, 색도, 길이, 두께"
매우 편하고 통이 넓지만 생각보단 두꺼운 편 유의 바람,"편하다, 바람, 편, 보단, 통, 넓다, 유의, 두껍다"
사진 화질이 깨져서 아쉽네요 바지 핏이랑 퀄리티가 정말 맘에 들고 편해서 자주 입습니다,"편하다, 화질, 깨지다, 바지, 퀄리티, 사진, 핏"
버뮤다 핏으로 가볍게 입을 수 있는 스웨트 팬츠입니다 가성비로 좋아요,"버뮤다, 가볍다, 수, 가성비, 팬츠, 핏, 스웨트"
제로가 항상 허리가 작길래 라지로 샀습니다 오버하게 입어볼게요,"허리, 오버, 작다, 라지"
너무 편하고 좋아요 간편하고 막입기 좋지만 재질도 좋아,"편하다, 막, 간편하다, 재질"
바지가 좀 두꺼운 느낌이 있지만 반바지라 괜찮고 너무 편해서 좋아요,"반바지, 두껍다, 바지, 편하다"
한여름은 무리지만 봄 초여름에 입기 딱이에요 굿,"무리, 초여름, 굿, 한여름, 봄"
이게 첨에는 뭐지 음 뭐지 이쁜 건가 아닌가 하다가 그냥 매력에 퐁당 빠져서 헤어 나오질 못하는 중입니다 회색 지르러 갑니다,"회색, 매력"
적당한 기장 나쁘지 않은 핏 봄여름 편하게 입을 수 있어요,"편하다, 적당하다, 기장, 봄여름, 수, 나쁘다, 핏, 않다"
너무 얇지 않아서 후줄근하지 않아요 여름에 교복으로 입어야겠어요,"않다, 얇다"
딱 무릎을 가릴 정도의 길이로 너무 예쁘네요 두께도 그렇게 안 두꺼워서 좋아요,"길이, 두께, 무릎"
농협은행 농협은행 놈엽흐네 넘게 브네 넘예브네,
겨울에 온 턱 스웨트 팬츠 긴 바지 기모 버전을 너무 잘 입어서 여름용 전투복도 주저 없이 제로 제품을 사버렸습니다 여름 내내 입을 거라서 안감 메시 버전으로 구매했는데 시원하면서도 겉감이나 전체적인 실루엣은 탄탄하게 잡아주는 게 가장 맘에 드네요 타사 유사 제품의 안감 메시 버전은 너무 얇고 낭창거리더라고요 제로 온 턱 제품들의 핏 감이나 디자인은 말할 것도 없이 만족이고 제 스펙에 L 입으시면 무릎 살짝 덮는 기장감 나옵니다 다른 색상도 여럿 주문했네요 올여름 전투복으로 아주 잘 입겠습니다,"탄탄하다, 스펙, 안감, 시원하다, 디자인, 무릎, 메시, 기장감, 핏, 여름, 실루엣, 색상, 겉감"
가격도 가성비 좋고 이산한 핏이 안 나와요 썩 괜찮은 핏이 나와서 여름 동안 자주 입을 거 같아요 실용성도 좋고 기장도 적당해요 후회는 안 하실 거 같아요,"적당하다, 나오다, 실용성, 이산, 기장, 후회, 가성비, 핏, 썩, 가격, 여름"
평소에 그레이 컬러 잘 입고 다녀서 블랙도 구매했는데 너무 편하고 좋아요 많이 두껍지도 않고 딱 적당한 듯 와이드 한 핏이라 어떤 상의에 매치해도 다 잘 어울립니다,"편하다, 적당하다, 와이드, 상의, 그레이, 컬러, 어울리다, 두껍다, 평소, 핏, 어떻다, 블랙, 않다, 매치"
펑펑 해서 편한데 허리는 적당히 쪼여져서 또 헐렁하진 않아요,"편하다, 적당하다, 허리, 쪼이다짐, 헐렁하다, 펑펑"
제 신체정보와 비슷하면 XL 추천드립니다 운동용으로 좋아요,"추천, 비슷, 신체정보, 운동, XL"
작년에 회색 사고 핏이 너무 마음에 들어서 여름 내내 입고 다니다가 검은색도 있길래 바로 구매했어요 진짜 어디 입어도 개이쁨 남방에도 입고 그냥 진짜 짱짱 핏이 도랐어요,"짱짱, 검은색, 사고, 핏, 회색, 여름, 남방"
재구매입니다 너무 편하고 물도 잘 안 빠져요 제 교복,
중학생 아들 거로 구매했는데 저도 가끔 뺏어 입어요 편해서 집 앞에 나갈 때 입기 좋고 핏도 맘에 들어요,"편하다, 집, 가끔, 뺏다, 중학생, 아들, 앞, 핏"
두 번째에요 가성비 좋고 소재 좋아서 또 구매합니다,"번째, 소재, 가성비"
허리도 널찍하고 온 턱이 있어서 핏이 너무 이쁩니다 거의 모든 반팔이랑 같이 입어도 잘 어울립니다,"어울림, 허리, 턱, 온, 핏, 널찍, 팔"
기대 많이 했지만 기대 이상입니다 정말 핏굿 농협은행이고요 큰 게 아주 딱이에요 마음에 들게 커요 이뻐요 회색 검은색 둘 다 샀는데 올해 제일 잘한 일입니다 포장도 꼼꼼히 지퍼백에 오네요,"농협은행, 포장, 검은색, 꼼꼼하다, 크다, 기대, 회색, 지퍼백, 핏굿"
편하게 입을 바지가 필요해서 구매했는데 두께감이 두껍지 않아서 지금 같은 더운 날씨에 입기에 최적이고 무릎까지 자연스럽게 떨어지는 핏이 너무 제 스타일이네요 좋아요,"편하다, 날씨, 자연스럽게, 스타일, 필요하다, 바지, 최적이고, 핏, 무릎, 떨어지다, 덥다, 두껍다, 않다, 두께감"
회사 출근 룩에 딱 좋아요 너무 편하게 잘 입고 있어요,"출근, 룩, 회사, 편하다"
좀 두꺼워서 덥긴 하지만 탄탄하니까 만족해요 예쁩니다 휘뚜루마뚜루 잘 입을 거 같아요 다른 색도 구매했습니다,"덥다, 두껍다, 탄탄하다, 휘뚜루마뚜루"
와 원단 진짜 두꺼워요 후회 중임 얇은 거 사세요 끝,"두껍다, 원단"
맛있습니다 번창하세요 이쁘게 입겠습니다 하하,"맛있다, 하하, 번창"
기장도 적당하고 메시라 정말 시원해요 그레이 샀다가 마음에 들어서 블랙도 샀네요,"그레이, 시원, 적당, 기장, 메시, 블랙"
맘에 들어요 잘 입을 거 같아요 근데 좀 두껍네요 여름 버전으로 살걸 그랬어요,"버전, 살걸, 근데, 그렇다, 여름, 두껍다"
여름 근본 반바지 중 하나인 제로 그냥 딱 무난함의 정석 좋습니다,"제로, 그냥, 근본, 무난함, 정석, 여름, 반바지"
배송도 빠르게 왔고 착용감이랑 핏이 무엇보다 너무 좋네요 메시라 그런지 통풍도 잘되고 시원해요,"통풍, 빠르다, 착용, 시원, 핏, 배송"
흠 역시 기대만큼 핏이 좋네요 재입고 되길 기다렸는데 다행이에요,핏
