Review,keyword
저희 아들 센티에 한테 입힐려고 주문했는데 넘 늦게 왔네요 취업땜에 지방가서 담주나 되야 입을 수 있을 듯요 아쉬운데로 제가 착용해봤어요 루즈하니 나쁘지 않은데요 스타일리쉬 해 보이고 남친룩으로 좋아요,"센티, 해봤다, 취업, 방가, 담다, 입히다, 스타일리쉬, 남친, 나쁘다, 보이"
사이즈도 좋고 재질도 좋은데 지퍼가 좀 아쉬워요,"재질, 아쉽다, 사이즈, 지퍼"
원하던 후드 집업을 찾았오 요 색감도 너무 예쁘고 기장감도 마음에 듭니다,"기장감, 찾다, 원하다, 집업, 후드, 색감"
스타일은 잘 잡았지만 얇은 게 단점 그리고 지퍼가 스무스하게 내려가진 않음 그래도 이 뻐서 자주 입을 듯 합니다,"스무, 내려가다, 잡다, 단점, 얇다, 스타일, 지퍼"
실물이 더 예쁘네요 제가 원하던 피그먼트 후드집업입니다,"실물, 원하다, 피그먼트, 집업, 후드"
원단 자체도 하고 그냥 막 입어도 엄청 이 뻐욤 적당한 오버핏이고 과 하지 않아 좋습니 당 맘 애 들어서 그레이도 주문 했는데 블랙도 있었으면 좋겠어욤,"뻐욤, 들어서다, 그레이, 주문, 자체, 블랙, 원단, 적당하다, 오버핏"
워싱감이 돋보이는 제품으로 가격 대비 질감은 괜찮습니다 하지만 후드 각은 잘 잡히지 않고 지퍼퀄이 좀 아쉽습니다,"돋보이다, 워싱감, 질감, 잡히다, 제품, 대비, 아쉽다, 가격, 후드, 지퍼"
가격 대비 퀄리티가 매우 좋은 것 같습니다 잘 입고 다닐 게요,"퀄리티, 대비, 가격"
오버핏이 정말 예술 생각보다 얇아서 저녁에 걸치고 나가도 덥지 않습니다 르세라 핌된 기분,"르세, 피다, 예술, 저녁, 기분, 치고, 덥다, 얇다, 오버핏"
비슷한 옷 벌은 되지만 피그먼트 느낌 적당하고 소매 절개 디테일도 포인트로 예뻐요 후드 무겁다는 분 많아서 고민했는데 그래서 주저앉지 않고 전 오히려 살아 있어서 좋으네요 한 여름 빼고 이너로 아우터로 교복템 될 듯합니다 다른 색도 구매 예정입니다,"주저앉다, 벌다, 이너, 일도, 예정, 고민, 절개, 포인트, 소매, 아우터"
