Review,Keyword
고민하다가 샀는데 진짜 예뻐요 길이감 어깨 사이즈 팔 모두 맞춤 정장같이 잘 맞네요 아 그리고 엄청 시원합니다,"어깨, 길이감, 정장, 시원, 팔, 사이즈"
깔끔하고 시원해서 데일리에 입고 다니기 좋은 것 같네요,"시원, 깔다끄다, 데일리"
생각보다 두껍고 아빠 정장 느낌 나요 원래 쿨탠다드가 이런가 근데 나쁘지 않음,"런가, 두껍다, 정장, 나쁘다, 아빠, 원래, 나요"
쫀쫀하고 좋습니다 합리적으로 구매해서 잘 입고 다닙니다,"쫀쫀, 합리"
무탠다드 답게 퀄리티도 좋고 클 소재라 초여름까지 입을 수 있을 것 같아요 사이즈는 세미 온 버핏이라 한 사이즈 더 업해도 좋았을 것 같아요,"퀄리티, 크다, 세미, 소재, 오버핏, 초여름"
여름에 구매해서 후기를 지금에야 쓰네요 이 블레이저 대학 면접 때 입고 가서 최초 합의로 붙었습니다 무거운 자리에 좋은 인상 풍겨주기가 충분한 블레이저라 생각이 들고요 여름에 입어도 바람 살짝 불면 바로 시원함을 느낄 정도로 좋았습니다,"인상, 블레이저, 붙다, 여름, 후기, 면접, 대학, 무겁다, 시원하다, 풍기다, 충분, 바람"
와이드 팬츠랑도 잘 어울리지만 테이퍼드핏에도 입을 수 있어요 그렇지만 와이드에 더 잘 어울리는 핏입니다 전체적으로 여유가 많아요,"팬츠, 여유, 와이드, 테이퍼드핏"
노멀 한 핏이고 셋업으로 입고 다니시기에 좋습니다 안에 후드로 매치시켜도 이뻐요,"후드, 매치, 핏, 노멀, 셋업"
아들의 첫 재킷입니다 바지 구입 후 너무 마음에 들어 재킷도 구입했습니다 적당한 핏에 길이감도 적당하고 가격도 착하고 만족합니다,"아들, 재킷, 첫"
xl 사이즈랑 l 사이즈랑 고민한 결과 저는 두 사이즈 다 구매해 보았습니다 저랑 비슷한 신체 사이즈 이신 분들은 제가 두 제품 착장 모두 올려드렸으니 꼭 한 번 비교해 보시고 선택의 고민을 덜어보시기 바랍니다 왼쪽 네이비는 L 사이즈 오른쪽 블랙은 XL 사이즈입니다,"블랙, 착, 고민, 올리다드리다, 비교, 결과, 선택, 덜다, 꼭, 보시, 제품, xl, 네이비, l, 오른쪽, 왼쪽, 신체, 사이즈"
기존 릴렉스드 베이직 블레이저와 사이즈 감 동일합니다 시원한 소재면서도 원단이 흐물거리지 않고 탄탄해서 체형 보완에 좋으며 주름에 강한 편입니다,"블레이저, 베이직, 체형, 릴렉스드, 동일하다, 원단, 탄탄하다, 편입, 기존, 소재서도, 강하다, 시원하다, 주름, 흐물다, 사이즈, 보완"
맘에 들어요 맨날 맨날 입고 싶어요 엄마가 이쁘대요,"대요, 맨날, 엄마"
기본 블레이저 답습니다 뭣보다 엄청 얇아서 여름에 딱,"블레이저, 얇다, 여름, 뭣, 기본"
클 소재는 맞는 거 같으나 살짝 두께감이 있어 한여름용으로는 어려울듯싶음 그래도 시원한 소재이며 사이즈는 보통 정도 생각하면 될 거 같아요,"크다, 두께감, 보통, 소재, 시원하다, 사이즈, 한여름"
사이즈가 편하게 입기 딱 좋아요 옷이 예쁘네요 좋아요,"편하다, 사이즈"
지금 계절에 괜찮은 블레이저를 찾고 있었는데 소재도 괜찮고 좋아요 사진보다 실제 제품이 훨씬 좋고 예쁩니다,"블레이저, 실제, 소재, 제품, 사진"
착용감도 편하고 결혼식 하객룩 용으로 정말 좋습니다 팔 접어서 다니기에도 좋고 무엇보다도 핏이 좋습니다 여름용 블레이저로 강추합니다,"착용, 블레이저, 보다도, 접다, 편하다, 여름, 하객룩, 핏, 팔, 강추, 결혼식"
쿨탠다스 슬랙스가 피트 별로 몇 개 있어서 셋업으로 위에도 장만했는데 재질 색감 일치하고 좋네요,"슬랙스, 피트, 색감, 다스, 재질, 셋업"
매우 시원한 소재이며 한여름 제외 입을수있을것가탕요,"제외, 소재, 시원하다, 탕, 한여름"
포장박스가 다른 택배에 눌려 다 뜯어졌네요 여름에 출근복으로 얇게 입기 좋네요,"출근복, 얇다, 여름, 포장박스, 뜯다, 택배"
딱 정 핏입니다 xl 살까 하다가 l 샀는데 딱이에 뉴,"뉴, xl, 핏, 딱이다, l, 정, 살다"
여름에도 입어도 될 정도로 시원하고 좋네요 정말 찐한 검정은 아니라서 더워 보이지 않고 핏이 좋네요 보통 어깨랑 가슴 폭 때문에 입는데 맘에 들어요 원단도 맘에 드네요,"시원, 여름, 검정, 가슴, 찌다, 핏"
루주 핏인데 너무 루스하지는 않네요 한 사이즈 업해야 아무렇게 막 입을 수 있을 거 같고 늦봄 초여름 출근할 때 얇은 블레이저로 걸치고 다니기에는 알맞습니다,"막, 루스, 블레이저, 아무렇다, 업, 루주, 알맞다, 핏, 늦봄, 초여름, 걸치다, 사이즈"
오래간만에 블레이저 구매 평이 너무 좋아서 기대하고 받았는데 역시나 좋네요 팔 기장이 딱 맞아떨어져 너무 맘에 듭니다 클 소재여서 여름에도 입을 수도 있을 거 같고 겨울에는 레이어드로도 가능할 거 같아요 활용성도 좋고 굿초이스입니다,"블레이저, 크다, 맞다떨어지다, 여름, 오래간만, 겨울에는, 활용성도, 가능하다, 기장, 받다, 팔, 소재여서, 수도, 레이어드, 평이, 기대하다, 굿초이스"
허리가 조금 피했으면 좋았을 텐데 쪼금 아쉽네요,"쪼금, 아쉽다, 허리, 피, 텐데"
차려입을 일이 생겨서 구매했는데 너무 만족스럽게 입고 있어요 생각보다 두꺼운 느낌은 좀 있지만 괜찮을 거 같아요,단계
사이즈 잘 맞고 시원하고 좋다고 하네요 남동생 사줬는데 베이직하게 잘 입겠다고 합니다,"베이직, 남동생, 시원하다, 사주다, 맞다, 사이즈"
정장 옷걸이가 같이 딸려옴 길이는 일반적인 M에 비해 살짝 긴 편인데 릴랙스드핏인거 감안하면 적당함,"정장, 길이, 릴랙스드핏, 걸이"
역시 무탠다드 무난 무난하네요 핏도 좋고 추천합니다,"추천, 무난, 핏"
여유 입게 입는 거 좋아해서 XL를 주로 구매하는데 이거는 L가 딱 맞고 핏도 이쁘네요,"좋아하다, 여유, 주로, 핏, L, 맞다, XL"
너무 멋있고 멋있게 입기 좋은 것 같아요 잘 입도록 할게요,멋있다
여름 버전을 찾고 있었는데 비교적 얇고 격식 차려야 할 자리에 괜찮아요,"버전, 비교, 차려, 얇다, 자리, 여름, 격식"
한 사이즈 크게 살 걸 그랬어요 급해서 교환은 못 했습니다 옷 자체는 마음에 들어요,"크게, 교환, 급하다, 사이즈"
여름에 입기 살짝 두껍지만 그래도 시원해서 좋습니다,
기본 재킷보단 시원할 거 같은데 한여름에도 통할지는 모르겠으나 이쁨 딱 맞게 입으려고 L 갔음,"재킷, 시원, 기본, L, 맞다, 통, 한여름"
여름에 교생실습 나가서 구매했는데 막상 다른 후기처럼 보니 초여름엔 못 입겠더라고요 그리고 어좁이라 그런가 소매 쪽이 조금 길어 보이긴 하는데 그래도 딱 적당히 잘 나와서 좋고 여긴 항상 포장 잘 되어서 와서 너무 맘에 둠,"포장, 항상, 교생실습, 여름, 소매, 후기, 길다, 적당하다, 초여름"
원단은 얇아서 한여름에 입기 좋아요 같은 쿨 탠다다 슬랙스랑 셋업으로 입기 좋습니다 핏은 슬림 하지도 않고 오버하지도 않은 그냥 딱 베이직합니다,"슬랙스, 원단, 얇다, 쿨, 탠다, 슬림, 핏, 오버, 베이직하다, 셋업, 한여름"
재질 좋고 시원한 재질이라 좋아요 안에 반팔에 입기 좋은 거 같아요,"반팔, 재질, 시원하다"
캐주얼하게 입으려 했는데 생각보다 드레시합니다 어깨 부분이 좀 좁아 보여서 아쉽지만 가성비는 좋습니다,"어깨, 좁다, 아쉽다, 드레시, 부분, 가성비, 캐주얼, 보여서"
사이즈도 너무 좋고 어디에나 잘 묻는 색이라 참 좋아요,"차다, 묻다, 사이즈, 색"
추천합니다 다양한 색상 출시 다양한 쿨탠다드 출시 기대합니다 여름에 입기 좋아요 가성비 최고예요,"출시, 추천, 색상, 여름, 최고, 가성비, 다양하다, 기대하다"
배송이 진짜 빠르네요 급하게 면접 볼 일이 있어서 샀는데 허리통이 조금 커서 면접 볼 땐 베이직으로 사시는 거 추천이요,"베이직, 급하다, 빠르다, 면접, 배송"
어깨 피이 맘에 들고 좋아요 다른 색도 사려고 합니다,"어깨, 색도, 사려, 피다"
여름맞이해서 친구가 옷 산다고 해서 구입 생각보다 두껍지만 만족합니다,"산다, 두껍다, 친구, 여름, 만족하다"
가격 대비 너무 좋고 한여름에는 못 입을 것 같은데 그래도 질도 괜찮네요,"못, 가격, 질, 대비, 한여름"
사이즈는 약간 큰 것 같긴 한데 예쁘고 편해서 좋습니다,"편하다, 크다, 사이즈"
원단이 얇다 보니까 재봉선이 보이긴 하는데 자세히 봐야만 보여서 전투용으로 입고 다니긴 좋은 거 같아요,"보이다, 원단, 얇다, 전투, 재봉선, 자세하다"
릴랙스 핏이라서 그런지 품이 조금 크네요 하지만 기장감은 딱이에요 상체가 조금 아쉬운 분들은 M이 어울릴 것 같아요,"상체, 품, 핏, 기장감, M, 릴랙스"
무난하고 베이직한 블레이저입니다 초가을까지 입을 수 있을 것 같아요,"블레이저, 베이직, 무난, 초가을"
포 세일 때 샀는데 사자마자 하루 뒤에 포 세일하네 흙 흙 누란 한 무신 사매 거진 만 보내주세요 그거 하나라도 나는 만족해 요즘 같은 더운 날에는 쿨탠다드 블레이저,"뒤, 사, 블레이저, 보내다, 포, 그거, 하루, 하나라도, 흙, 무신, 날에는, 세일, 덥다, 누란, 만족하다, 거진"
