Review,Processed_Review,keyword
얇고 활동하기에 무지 편합니다 착한가격까지 만족합니다,얇고 활동하기에 무지 편합니다 착한 가격까지 만족합니다,"착하다, 활동, 무지, 만족하다, 편하다, 가격, 얇다"
"177/60 마른 편입니다 사이즈 L 피팅했는데 기장감, 아웃핏 전부 마음에 드네요 두껍지 않은 나일론 소재라 더운 여름에도 반팔 위에 데일리하게 걸쳐서 포인트를 줄 수 있을것 같아요 상품 만족합니다",마른 편입니다 사이즈 L 피팅 했는데 기장감 아웃핏 전부 마음에 드네요 두껍지 않은 나일론 소재라 더운 여름에도 반팔 위에 데일리 하게 걸쳐서 포인트를 줄 수 있을 것 같아요 상품 만족합니다,"피팅, 아웃, 편입, 기장감, 마르다, 데일리, 두껍다, 상품, 나일론, 소재"
입으면 살짝 스포티해보이고 엄청 슬림해보이는 것 같아요~,입으면 살짝 스포티해 보이고 엄청 슬림 해 보이는 것 같아요,"스포티, 슬림, 보이, 보이다"
나일론재질이긴 한데 빳빳하지 않고 부드럽게 떨어지는 핏이라서 마음에 들어요! 합리적인 가격에 잘샀어여 보통체격인데도 S사이즈 넉넉해서 여성분들은 S하시면될듯 스트링 조이는거보다 푸는게 더예뿌요,나일론 재질이긴 한데 빳빳하지 않고 부드럽게 떨어지는 핏이라서 마음에 들어요 합리적인 가격에 잘 샀어요 보통 체격인데도 S사이즈 넉넉해서 여성분들은 S 하시면 될 듯 스트링 조이는 거보다 푸는 게 더 예 뿌요,"빳빳하, 푸다, 보통, 뿌요, 떨어지다, 체격, 재다, 여성, 부드럽다, 조이다"
이런 옷은 처음 입어보는데 사이즈 딱 맞고 좋아요,이런 옷은 처음 입어보는데 사이즈 딱 맞고 좋아요,"입어보다, 이렇다, 처음, 맞다, 사이즈"
S사이즈로 샀는데 딱 몸에 맞아서 이쁜 핏으로 나와요! 지퍼가 약간 별로구 후드가 약간 큰 감이 있긴 한데 나름대로 엄청 이쁘고 힙하보여요 흰 반팔티에 간단하게 입어도 엄청 간지나서 진짜 최고 아이템 될 듯 합니다 ㅠ 다만 한여름엔 바람이 막혀서 좀 덥다는 점만 감안하면 진짜 살만한 제품입니다!,S사이즈로 샀는데 딱 몸에 맞아서 이쁜 핏으로 나와요 지퍼가 약간 별로 고 후드가 약간 큰 감이 있긴 한데 나름대로 엄청 이쁘고 힙하보여요 흰 반팔 티에 간단하게 입어도 엄청 멋있서 진짜 최고 아이템 될 듯합니다 다만 한여름엔 바람이 막혀서 좀 덥다는 점만 감안하면 진짜 살만한 제품입니다,"막히다, 감안, 멋있다, 바람, 최고, 간단하다, 대로, 아이템, 나름, 나오다"
사이즈는 s지만 넉넉해서 좋아요 안입은거 처럼 가볍고 얇아서 여름에 입기 딱이네요 주머니 없는옷 입을때 걸쳐야겠어여 딱 찾는 옷인데 세일기간에 사서 만족합니다,사이즈는 s 지만 넉넉해서 좋아요 안 입은 거처럼 가볍고 얇아서 여름에 입기 딱이네요 주머니 없는 옷 입을 때 걸쳐야겠어요 딱 찾는 옷인데 세일 기간에 사서 만족합니다,"기간, 처럼, 찾다, 사서, 인데, 주머니, 세일, 넉넉하다, 딱이다, 없다"
너무 예쁘지 않나요 제 눈에만 그런건가요..? ㅠㅠ 너무 만족하고 이걸 왜 이제 샀나 싶었습니다 오래 기다린 만큼 만족도 높아요! 아 역시 갓르티멘토 절 실망시키지 않는군뇨,너무 예쁘지 않나요 제 눈에만 그런 건가요 너무 만족하고 이걸 왜 이제 샀나 싶었습니다 오래 기다린 만큼 만족도 높아요 아 역시 갓르티멘토 절 실망시키지 않는군요,"에만, 건가, 실망, 르티, 오래, 만족도, 기다리다, 이제, 높다, 멘토"
여름용 아우터로 얇아서 포인트 주기에 정말 좋아요,여름용 아우터로 얇아서 포인트 주기에 정말 좋아요,"아우터, 주기, 포인트, 여름, 얇다"
얇은 베스트 찾고 있었는데 파르티멘토 가성비 너무 좋 아요! 시원합니당,얇은 베스트 찾고 있었는데 바르티 멘토 가성비 너무 좋아요 시원합니다,"바르다, 찾다, 멘토, 가성비, 베스트, 시원하다, 얇다"
중간에 배송 좀 걸리긴했지만 그래도 싼가격에 입문용으로 좋은거같아요,중간에 배송 좀 걸리긴 했지만 그래도 싼 가격에 입문용으로 좋은 거 같아요,"중간, 걸리다, 입문, 싸다, 배송, 가격"
베스트 처음 구매해보는데 괜찮네용 다만 끈이 너무 깁니다,베스트 처음 구매해 보는데 괜찮네요 다만 끈이 너무 깁니다,"처음, 베스트"
나쁘진않은데 줄이 너무 길고 지퍼가 구림 한 번 입고 고장났는데 어거지로 끼워 쓰고읶어여,나쁘진 않은데 줄이 너무 길고 지퍼가 구림 한 번 입고 고장 났는데 억지로 끼워 쓰고읶어여,"구림, 억지로, 끼우다, 고장, 쓰다, 줄이다, 나다, 길다, 나쁘다, 지퍼"
어깨부분이 살짝 찢여져 있는데 찢여진건지 그렇게 온건지 모르겠네요 티는 안나서 그냥 입었어요 여름에 입기 좋아요,어깨 부분이 살짝 찢어져 있는데 찢어진 건지 그렇게 온 건지 모르겠네요 티는 안 나서 그냥 입었어요 여름에 입기 좋아요,"찢어지다, 건지다, 나서다, 그렇게, 어깨, 모르다, 부분, 그냥, 여름"
요즘같은 날씨에 입기 매우 좋고 레이어드해서 입었을때 매우 귀엽습니다 나중에 아우터 이너로도 매우 좋을거같아요,요즘 같은 날씨에 입기 매우 좋고 레이어드해서 입었을 때 매우 귀엽습니다 나중에 아우터 이너로도 매우 좋을 거 같아요,"나중, 아우터, 날씨, 귀엽다, 레이어드"
스타일 내기 좋고 그렇게 덥지는 않습니다 코디할때 포인트주기 좋습니다,스타일 내기 좋고 그렇게 덥지는 않습니다 코디할 때 포인트 주기 좋습니다,"그렇게, 내기, 주기, 스타일, 포인트, 코디, 덥다"
가성비 최고 나일론 조끼에요 짱짱 맨날 입고 다닐거야요,가성비 최고 나일론 조끼에요 짱짱 맨날 입고 다닐 거여요,"거여, 맨날, 짱짱, 최고, 나일론, 가성비, 조끼"
