Review,Processed_Review,keyword
실기시험 칠때 입었는데 땀에 옷이 붙지않아 좋아요. 적극추천,실기시험 칠 때 입었는데 땀에 옷이 붙지 않아 좋아요 적극 추천,"붙다, 땀, 추천, 적극, 실기, 시험"
운동복 소재 느낌이라 여름에 시원하게 입기 좋습니다,운동복 소재 느낌이라 여름에 시원하게 입기 좋습니다,"여름, 시원하다, 운동복, 소재"
운동할때 입어도 좋고 잘때 입어도 좋아요! 너무 편해요 색깔구성도 마음대로 할수있어서 좋네용,운동할 때 입어도 좋고 잘 때 입어도 좋아요 너무 편해요 색깔 구성도 마음대로 할 수 있어서 좋네요,"색깔, 운동, 편하다, 구성"
시원하고 입고 다니기 편하네요. 여름에 입기 좋아요!,시원하고 입고 다니기 편하네요 여름에 입기 좋아요,"편하다, 여름, 시원하다"
적당한두께랑 까칠한 소재감으로여름엔 시원할듯,적당한 두께랑 까칠한 소재감으로 여름엔 시원할 듯,"두께, 소재, 시원하다, 까칠하다, 여름, 적당하다"
"176/76 헬스꾸준히한 건장한 체격이라는점 참고하세요.  편하고 좋습니다. 운동할때도, 일상복 이너로도 활용하기 좋아요.   세탁 2번째인가 3번째에 소매쪽 올이 나갔지만, 가격대 생각해보면 아쉬울건 없는것같네요",헬스 꾸준히 한 건장한 체격이라는 점 참고하세요 편하고 좋습니다 운동할 때도 일상복 이너로도 활용하기 좋아요 세탁 번째 인가 번째에 소매 쪽 올이 나갔지만 가격대 생각해 보면 아쉬울 건 없는 것 같네요,"세탁, 일상복, 운동, 꾸준하다, 편하다, 활용, 참고, 가격, 대"
울강쥐도 이옷을 좋아하는거 같아요 넘. 편해요 하핳,울 강쥐도 이 옷을 좋아하는 거 같아요 너무 편해요 하하하,"편하다, 하하, 하, 강쥐, 좋아하다"
깔끔하고 운동할때 입기 좋아요. 여름에 잘입을게요.,깔끔하고 운동할 때 입기 좋아요 여름에 잘 입을게요,"여름, 깔끔하다, 운동"
일할때 입으려고 사서 편하게 잘 입고있어요! 몇 개 더 사놓을 예정입니다,일할 때 입으려고 사서 편하게 잘 입고 있어요 몇 개 더 사놓을 예정입니다,"편하다, 예정, 일, 사서"
운동할때 입으랴고샀는데 좋아요 이뿝니다 베리굿!,운동할 때 입으랴고 샀는데 좋아요 이뿝니다 베리굿,"베리, 굿, 이뿌다, 운동"
운동할때 입으려구 샀어용~~시원하고 좋아여! 가격도 저렴해서 좋네여 ^^,운동할 때 입으려구 샀어 용에 원하고 좋아요 가격도 저렴해서 좋네요,"저렴하다, 구, 원하다, 운동, 가격"
이게...진짜 이 가격에 기능성이라 목도 안 늘어나고 진짜 좋아요!! 살짝 아쉬운 건 s사이즈를 총장보고 살짝 크롭한 느낌을 바라고 샀는데 생각보다 많이 길더라구요 ㅎㅎ!! 근데도 이 가격이 3개라는게 진짜 말이 안돼서 완전 만족 중 입니다...♡,이게 진짜 이 가격에 기능성이라 목도 안 늘어나고 진짜 좋아요 살짝 아쉬운 건 s사이즈를 총장 보고 살짝 크롭 한 느낌을 바라고 샀는데 생각보다 많이 길더라고요 근데도 이 가격이 개라는 게 진짜 말이 안 돼서 완전 만족 중입니다,"가격, s, 사이즈, 아쉽다, 늘어나다, 기능, 성"
메쉬소재라 시원하고 운동할때 입기좋을거같아요 딱 헬스장 운동복소재같네요 제3의눈이보여요 물론 제몸이 문제겠죠,메시 소재라 시원하고 운동할 때 입기 좋을 거 같아요 딱 헬스장 운동복 소재 같네요 제의 눈이 보여요 물론 제 몸이 문제겠죠,"눈, 문제, 겠다, 몸, 보이다, 소재, 운동"
가격도 저렴하고 너무 만족스러워요! 적극 추천합니다,가격도 저렴하고 너무 만족스러워요 적극 추천합니다,"추천, 만족스럽다, 저렴하다, 적극, 가격"
160cm m사이즈 파란선까지와요 운동할려구 샀습니다~ 저랑 키 비슷하신분들은 m 추천!!  크지않고 살짝 엉덩이 반 조금 넘게 가리는 정도입니다 좋아요,cm m사이즈 파란 선까지 와요 운동하려고 샀습니다 저랑 키 비슷하신 분들은 m 추천 크지 않고 살짝 엉덩이 반 조금 넘게 가리는 정도입니다 좋아요,"크다, 운동, 엉덩이, 분, m, 사이즈"
와 가성비 대박이구 운동할때도 입고 평소에도 이너로 입고 있어요 아주 좋아요👍,와 가성비 대박이고 운동할 때도 입고 평소에도 이너로 입고 있어요 아주 좋아요,"평소, 이너, 대박, 이고, 운동, 가성비"
