Processed_Review,keyword
두툼합니다 사이즈도 적당하고 무엇보다 재질이 정말 좋습니다 시보리 부분이 완전 해요,"적당하다, 사이즈, 재질, 툼, 보리, 부분"
기장감 좋고 품 좋고 에 마른 체형입니다 사이즈 딱 좋아요,"체형, 기장, 사이즈, 마르다"
,
조금 무거운 감이 있지만 역시 예쁘네요 옆이 조금 오버핏이에요,"무겁다, 오버핏, 옆"
자크 다 잠궈서 안 예쁘게 나왔네요 사진처럼 투웨이 잘 살려서 입으면 충분히 가격값합니다,"사진, 살리다, 자크, 충분하다, 잠그다, 나오다, 가격 값, 투"
싸게 잘 샀어요 그리고 제가 키가 작아서 제일 작은 사이즈로 샀는데 사도 괜찮았을 거 같아 요 사니까 길이는 엉덩이 가릴 정도 고 소매는 딱 맞았어 욯 예쁘게 잘 입겠습니당,"엉덩이, 사이즈, 길이, 작다, 소매, 제일, 가리다, 키"
가끔 실내에서 추울 때 입기 너무 좋아용 아래 지 퍼도 살짝 올리면 이쁘구요,"올리다, 실내, 아래, 퍼, 가끔"
총장이 짧고 팔은 길어서 입었을 때 귀여워요 근데 지퍼가 잘 안 올라가고 품이 좀 큰 게 아쉬버 요 그래도 기 본템으로 딱 좋습니다,"총장, 올라가다, 지퍼, 팔, 품, 짧다"
생각했던 것보다 괜찮았어요 두께도 나름 두껍고 손목 시보리도 너무 하지 않고 딱 적당해서 근데 저는 개인적으로 시보리가 완전 한 걸 좋아해서 밑단 시보리가 해서 살짝 아쉬웠어요 손목 시보리는 만족해요,"적당하다, 만족하다, 개인, 보리, 보리, 보리, 손목"
일단 멜란지 마스터와의 큰 차이점 세 가지 핏이 다르다 토피가 더 기장 짧고 한 핏 지퍼가 다르다 멜란지는 얘네는 국산 원단 두께가 다르다 멜란지가 약간 더 두꺼움 핏 자체는 토피가 이상적이지만 지퍼 같은 부자재나 원단에 있어서는 멜란지가 아주 조금 더 나은 편 그렇다고 해서 후드 각이 안 잡히는 건 아님 멜란지만큼의 두께가 아닐 뿐 각은 잡힘 토피는 지 퍼 안쪽에 원단이 랑 맞물리는 곳에 마감을 해주긴 했지만 제대로 신경 쓰진 않은 듯,"마스터, 멜란지, 멜란지, 멜란지, 멜란지, 신경, 지퍼, 원단"
아쁘다고 사라고 후기 뒤 말고 사라고 어차피 사면 잘 입는다고,"사라, 어차피, 사면, 후기, 아쁘다"
아우터와 이너 둘 다 입고 싶어 기모 없는 버전으로 구매했어요 두께감이 아우터와 이너 둘 다 적합하고 핏도 이 뻐서 만족입니다 무엇보다도 이 옷 입으면 고양이 관심을 끌 수 있어서 최고였어요,"만족, 아우 터, 적합하다, 관심, 버전, 기모, 최고"
데일리 셋업으로 입 기 너무 좋아요 사이즈는 그냥 정 사이즈로 가시는 걸 추천 드려요,"사이즈, 일리, 사이즈, 드리다, 추천, 가시다, 셋업, 그냥"
새 옷 냄새 많이나요 이 뻐요 생각보다 안 커요 지금 입 기 딱 좋아요 팔은 겁나 길어요 대충 접고 다녀야 하나 근데 입고 다님 그렇게 신경 쓰이지 않아서 은 듯 색은 사진보다 밝아요,"사진, 신경, 겁나다, 대충, 크다, 색"
사이즈 때문에 고민하실 다른 분들 때문에 오픈합니다 빅 사이즈 여자 사람에게도 핏 너무 귀여워요 사진보다 실물이 맘에 들어요,"고민, 오픈, 실물, 사이즈, 사진, 사람, 여자"
좋습니다 질도 좋구 데일리하게 어디든 어울려서 좋아요 팔이 길어서 좋구 암튼 좋아요,"데일 리하, 어울리다, 질도, 팔이"
시험기간 입고 다녔어요 하지만 시험은 잘 못 봤네요,"시험 기간, 시험"
캐주얼에 너무 좋고 어 딜 가든 특히 한강에 제일 잘 어울리는 옷인 거 같아요,"캐 주얼, 어울리다, 한강, 제일, 가든"
주로 남자분들이 입어서 어깡핏 나올까봐 걱정했는데 생각보다 둥글둥글한 핏이라 귀여워요 오버핏에 비해 총장은 살짝 짧은 편인데 이게 오히려 핏이 예뻐 보여 요 기준 엉덩이 반쯤 덮습니다 원래 반팔티 이상 선호하는 편이라 걱정했는데 나름 괜찮았아요 안에 반 팔이랑 입으면 강제 레이어드가 되긴 합니 당 도톰하고 신축성 없는 재질이예요 기 모 없습니 당 근데 지퍼가 잘 안 올라가요 그래서 별 뺌,"둥글둥글하다, 신축, 엉덩이, 총장, 지퍼, 선호"
패딩 안에 껴 입고 좋고 꾸안꾸로도 잘 어울려 요 자크가 두개라 편해요,"편하다, 어울리다, 자크, 패딩, 개, 꾸다 꾸다"
