Processed_Review,keyword
진짜 기본 티 찾고 있었는데 좋아요 심플 이즈 베스트 넘흐예브내형,"베스트, 심플, 이즈, 기본, 찾다, 넘흐예브 내형"
예일 티셔츠 너무 좋아요 천도 너무 좋고 맘에 들어요 편하게 잘 입을 것 같아요,"티셔츠, 편하다, 천, 예일"
그냥 기본 티로 입기 무난합니다 재질도 좋고 사이즈도 괜찮고 만족합니다,"만족하다, 무난, 사이즈, 재질, 기본, 티, 그냥"
개인적으로 티셔츠는 세탁 후 변형 정도가 중요하다고 생각해서 후기 작성까지 좀 기다렸어요 사진은 달 착용한 후 모습 구매일 작성일 약 달 착용하면서 세탁도 거의 번 넘게 한 것 같은데 목 부분 주름지는 거 거의 없고 처음 상태랑 비슷해요 전 키에 비해서 상체가 긴 편인데 특히 팔 제 기준 팔꿈치 위 cm 정도에서 소매가 끝나요 사이즈 특정할 때 참고하세요,"착용, 작성 일, 중요하다, 개인, 특정하다, 착용, 상체, 변형"
제 몸에 제 몸무게가 흔하지 않지만 혹시 계시면 보고 도움이 되면 좋겠습니다 얇기도 적당히 얇아서 더워지면 딱 입기 좋고 비침도 없어요 이렇게 편한 옷을 심지어 두 장을 이 가격에 사게 돼서 놀랍네요 진짜 만족 중에 대 만족입니다,"만족, 적당하다, 더워지다, 만족, 몸무게, 흔하다, 도움, 비침"
처음에 M으로 구입했는데 몸통 둘레가 어벙하게 커서 S로 재구입 했어요 약간 온 버핏으로 사이즈 딱이에요 다음 페이지로 넘기시면 M사이즈 착용 올린 사진 있으니 비교해 보세요 저와 키 몸무게 비슷하신 분 S 추천합니다,"추천, 넘기다, 사이즈, 처음, 몸무게, 사이즈, 재, 몸통, 벙하다, 사진"
cm kg L 사이즈 구매했는데 생각보다 큼 흰색 컬러 생각보다 두꺼워 안에 민소매 입어도 잘 안 비침 팔소매 부분 지름이 다른 옷보다 커 팔이가 늘어 보임 안에 넣어 입어도 되고 밖으로 빼서 입어도 이쁨,"보임, 민소매, 흰색, 비침, 사이즈, 소매"
옷감이 좋고 편하고 동네 산책할 때나 스타일 내기 무난합니다 살이 비치지도 않고 정말 편하네요,"무난, 산책, 편하다, 편하다, 비치다, 스타일, 살이, 내기, 동네"
제 동생 사줬는데 키로는 s는 정 피 같고 m은 살짝 오버핏느낌입니다 참고하세요,"참고, 동생, 키, 늘다, 오버핏, 사주다"
너무 조사용 많이 클까 봐 걱정했는데 괜찮았어요,"사용, 크다, 걱정"
큼직하고 별로 안 두꺼운 옷이어서 재킷 안에 가볍게 입을 만해요,"큼직하다, 가볍다, 만해, 별로, 재킷, 두껍다"
생각보다 사이즈가 작은 것 같아요 감안하시고 평소 사이즈보다 한 치수 큰 거 선택하시는 게 좋을 듯 저는 좀 작네요,"선택, 감안, 사이즈, 사이즈, 평소, 작다, 작다, 치수"
너무 맘에 들어요 무난하고 깔끔하고 재질도 만족합니다,"만족하다, 무난, 재질, 깔끔하다"
목이 끼여요 이 정도면 암살 시도 각 긐데 목 나중에 늘어날 거 생각하면 뭐,"목, 나중, 늘어나다, 시도, 암살, 끼다, 긐데"
꾸안꾸로 가볍게 입기 좋아요 로고 할 디자인도 너무너무 깔끔하고 여름에 운동할 때도 편합니다 다들 여름 기본 템 요거 강추,"운동, 편하다, 가볍다, 강추, 디자인, 여름, 여름, 기본"
완전 재질이 시원하고 원풀 원이라 가성비 좋아요,"가성비, 시원하다, 재질, 원"
으로 판매하길래 구매하였습니다 가성비도 좋고 기본에 포인트 주기에 좋아 구매하였습니다 추천합니다,"추천, 판매, 가성비, 기본, 포인트, 주기"
예 일 반팔 티가 젖툭튀가 없어서 진짜 좋은 거 같아요,"팔, 티, 젖툭 튀다, 없다"
음 한 번 빨자마자 옷이 한 사이즈 줄었어요 다들 사지 마세요,"사이즈, 말다, 사지, 빨다, 줄다"
괜히 ws 했나 고민했는데 ws로 하길 너무 잘한 거 같아요 길이감이 약간 애매해 보이긴 하는데 그래도 무난 무난하게 잘 입을 거 같아요 네이비 색깔로 ws 사고 싶었는데 사이즈가 없어서 검정으로 그냥 했는데 기본 템 느낌이어서 좋아요 로고도 포인트만 준 느낌이라 자주 입을 거 같습니다,"사이즈, 포인트, 검정, 무난, 보이다, 자다, 사고, 애매하다"
딱 제가 원하는 재질이고 스타일인데 조금 짧네요 그래도 좋아요 짱짱 내 스타일,"스타일, 재질, 스타일, 원하다, 짧다, 짱짱"
사이즈는 정 사이즈 구매하시면 될 거 같습니다 정 사이즈 구매해도 예쁘게 떨어지는 오버핏 입니다 이다 보니까 가격 대비 너무 좋습니다,"사이즈, 사이즈, 가격, 대비"
일반 예일 티셔츠와 두께와 질감 모두 동일합니다 잘 입을 거 같아요,"동일하다, 티셔츠, 일반, 질감, 예일, 두께"
팔이랑 전체 기장이 생각보다 길어요 한 번 접고 입었어요 이뻐요 굿,"기장, 전체, 접다, 팔이"
후리 한 게 아주 이쁘네요 흰 티가 구멍 나서 왔는데 바로 교환해 주셔서 기분이 좋아요 오늘부터 예일만 살게요,"기분, 주다, 구멍, 후리, 교환, 오늘, 티, 살다"
kg S사이즈 넉넉하게 맞아요 로고가 깔끔하게 적당한 사이즈로 박혀있어 좋아요 소재는 기존 다른 면 티보다 톡톡하고 목 늘어짐도 없어서 만족해요 이미 여자 회 세태 한 후의 리뷰인데 색감 소재 한결같아서 큰 사이즈로 오빠도 구입한다 하네요 사진상으로는 잘 안 느껴지는데 소재감 단정한 라인이 소재가 흐물대지 않는 두툼한 면 티인데도 답답하거나 더운 느낌 없어 좋아요 사진은 강아지 안고 찍었더니 개털이 많이 묻어있네요 가을에도 이너로 입을 생각입니다 대개의 여름 소재 흐물거리는 싼 티 느낌 안 나서 좋을 듯해요 흰색이 더 예쁜데 얼룩 묻으면 뜨거운 물에 과탄산소다 넣어 담가둬요 깜짝 깨끗해집니다,"만족하다, 흰색, 적당하다, 단정하다, 사진, 소재, 사진, 톡톡하다, 산소"
색상이 선명하고 사이즈가 온 버핏이라 마음에 듭니다,"선명하다, 색상, 사이즈, 버핏"
이너로 입기에 정말 좋습니다 자주 입을 것 같네요,이너
일단 세미오버핏 느낌으로 떨어지고 원단이 도톰한 게 흰색 옷이어도 비치는 감이 적습니다 핏도 오버 피트인데도 몸이 살짝 커 보이게 해주는듯한 느낌도 주네요 XL로 입으면 더 오버하게 박시하게 입을 수 있고 L로 입으시면 어느 정도 피하면서도 세미와 버핏으로 입을 수 있네요 무난해서 좋습니다,"피, 무난, 적다, 세미, 흰색, 비치다, 박시"
운동하러 갈 때 레깅스 위에 입으려고 구매했는데 궁둥이 가려주고 좋네요 면도 좋아요,"운동, 레깅스, 궁둥이, 가다, 면도, 위"
몸무게가 예서 왔다 갔다 합니다 대한민국 표준체형입니다 사이즈가 약간 크게 나온듯합니다 구매하실 때 참고하세요 m으로 넣입 빼입 사진 첨부합니다,"표준 체형, 첨부, 몸무게, 참고, 대한민국, 사이즈, 사진"
평범한 티셔츠입니다 사이즈는 조금 크게 나온 거 같네요,"티셔츠, 평범하다, 사이즈, 크게, 나오다"
진짜 싸게 티셔츠 개 구입했네요 이번 여름에 많이 입어야겠네요,"여름, 싸다, 티셔츠"
배송은 느려요 상품 받고 원했던 톡톡한 재질이라 마음에 들었고 제 실수로 건조기 돌렸다가 사이즈가 조금 줄었어요 사실 오버핏 느낌보단 슬림핏을 좋아하는 저로선 괜찮아요 톡톡한 재질이라 늘어날 염려 없고 절대 건조기는 돌리지 마세요,"건조기, 사이즈, 재질, 배송, 건조기, 실수, 로선, 돌리지, 사실, 말다"
세탁하고 나니까 무슨 아기 옷이 돼버려서 한번 입고 버리네요,"세탁, 버리다, 한번, 아기, 돼다 버리다"
두툼하고 베이직하게 잘 활용해서 입을 수 있습니다,"베이직, 활용, 두툼"
개인적인 리뷰입니다 정말 제가 샀던 반팔 중 베스트 템으로 뽑히고 있어요 먼저 면 재질이 너무 만족스럽습니다 약간 두꺼운 느낌이 있어 월까지 코디해서 입으려고요 요즘은 이거 하나 입고 반바지 입고 맨날 다녀요 다만 건조기 돌리실 분은 저도 돌리니까 작아져서 한 사이즈 크게 구매하시는 거 추천드려요 아무튼 무신사에서 너무 잘 산 거 같고 나중에 한 사이즈 크게 재구매 계획입니다 너무 만족합니다,"만족스럽다, 사, 만족하다, 개인, 추천 드리다, 먼저, 코디, 리뷰"
건조기 돌리면 여동생 옷 되네요 제 스펙이 신분은 무조건 xl,"여동생, 돌리다, 스펙, 건조기, 신분, 무조건"
옷은 되게 맘에 들어요 배송도 빨랐어요 처음 입을 때 새 옷이지만 새 옷 냄새가 심하지 않아서 바로 입었는데 아주 만족했어요 후기에서 본 거처럼 빨았더니 줄어서 일부러 L 사이즈 샀는데 줄어드니까 M사이즈 같네요 확실히 줄어드는 게 맞네요 그래도 옷 재질이 맘에 들고 가격도 괜찮아서 전반적으로 만족해요 검정은 기본 빨래하고 건조기 돌리지 않았어요 흰 거는 새 옷이고요,"만족하다, 전반, 검정, 사이즈, 사이즈, 건조기, 줄다, 확실하다, 재질, 심하다"
블랙 화이트 구성도 좋고 큼직해서 편하게 입을 수 있어요,"큼직하다, 구성, 편하다, 화이트, 블랙"
너무 깔끔하고 마음에 듭니다 목도 짱짱하네요 자주 입을 듯,"목도, 짱짱하다, 깔끔하다"
땀 흡수 잘되고 운동할 때 입기 편합니다 건조기 해도 줄지 않아요,"편하다, 운동, 건조기, 줄, 흡수, 해도"
무난한 기본 템이에요 어디에 받쳐 입든 기본 이상은 하는 가성비 아이템입니다,"아이템, 무난, 이상은, 가성비, 기본, 받치다"
원단도 얇고 가볍고 핏도 편안해서 한여름에도 자주 이용할 듯합니다,"편안하다, 이용, 가볍다, 한여름, 원단, 핏, 얇다"
오버한 거 싫어하시는 분은 제 스펙 기준 엘사이즈 가면 딱 맞네요 엑스라지도 온 버핏으로 이쁘게 입고는 있습니다 예일은 전 상품 믿고 사는 편이네요,"편이, 엘사 이즈, 엑스, 살다, 오버, 기준, 상품, 가면, 분"
칼하트 포켓 티셔츠 너무 좋아해서 옛날에 있던 것 버리고 새로 샀어요 너무 좋아요,"티셔츠, 버리다, 칼 하트, 새롭다, 좋아하다, 옛날"
무난하게 입기 좋아요 목은 다른 옷들이랑 비슷하게 늘어나요,"무난, 늘어나다, 목"
후기가 없어서 고민했는데 s로 사길 잘한 거 같아요 s는 단독으로 입기에 적당한 사이즈인데 m으로 했으면 레이어드 이너로 만 입었을 거 같네요 그만큼 s가 적당하다는 뜻이랍니다,"적당하다, 이너, 적당하다, 단독, 사이즈, 가다, 늘다"
사이즈는 잘 맞고 무엇보다 디자인이 너무 맘에 들어요,"사이즈, 디자인, 맞다"
쿨 코튼 제품이랑 고민하다가 너무 얇을 거 같아서 이 제품으로 시켰는데 두께 적당하고 더워서 못 입거나 그러진 않네요 예쁜 온 버핏으로 잘 떨어지고 소매 두 단 접어 입으면 포인트 되고 좋습니다 가을에 이너로 입어도 예쁠 거 같아요,"적당하다, 접다, 그렇다, 제품, 고민, 이너, 포인트"
핏과 길이 모두 애매한 옷입니다 사놓고 안 입게 되네요,"애매하다, 길이, 핏"
ws 사이즈로 사기를 잘 한 것 같아요 사이즈도 마음에 들고 면도 톡톡하게 두꺼운 부분이 정말 좋습니다 세일할 때 잘 샀네요 또 사고 싶어서 조만간 애 또 사러 올게요,"사이즈, 세일, 사이즈, 사기, 톡톡하다, 면도, 사고, 조만간"
스펙 여잔데 m시켰더니 너무 박시해서 오히려 뚱뚱해 보이는 핏이라 동생 줬어요 아 s 살걸 암튼 사진 찍으려고 하루 종일 사정해서 찍었네요 쥐 콩만 한 게 뒤지려고 동생 스펙인에 요 많이 날씬하고 이쁜 아이랍니다 아무튼 키가 있어서 그런지 저보다 얇은데 잘 맞더라고요 그래서 동생 주고 저는 s로 다시 시킬래요,"사정, 박시, 동생, 스펙, 종일, 사진, 그렇다, 살걸, 날씬하다"
상품이 딱 적당한 사이즈에 제품 질도 좋은 것 같아요 추천드립니다,"추천 드리다, 상품, 적당하다, 사이즈, 질도, 제품"
여름에 편하게 입기 좋은 티 약간 얇은 편이지만 M사이즈였어도 될 뻔,"편이, 편하다, 여름, 얇다, 사이즈"
딱 원했던 사이즈에 스타일이에요 생각보다 많이 안 비쳐요,"스타일, 사이즈, 비치다, 원하다"
흰색 한번 빨았는데 줄었어요 검은색 걱정이네요,"걱정, 흰색, 검은색, 한번, 줄다, 빨다"
평소 무난한 스타일을 선호하는 편이라 너무 얇지 않고 예일 로고도 크지 않아 마음에 들어요 M 사이즈이지만 남녀 공용 핏에이 M이라 박시하게 멋스럽네요 세일할 때 잘 구매한 거 같아요 배송도 빨리 와서 입고 나갈 타이밍에 딱 맞췄네요 만족스러운 구매였어요,"사이즈, 만족스럽다, 선호, 무난, 오다, 박시, 타이밍, 스타일, 공용"
사이즈 작을까 봐 걱정했는데 남녀 공용이라 그런지 s사이즈도 잘 맞았고 재질도 적당히 두껍고 좋아서 오래 입을 수 있을 것 같아요 키 대면 웬만하면 무조건 s사는 게 좋을 듯 여름 잘 보낼 수 있겠어요,"사이즈, 사이즈, 무조건, 그렇다, 살다, 공용, 적당하다, 재질, 보내다"
기준 엉덩이 절반 덮이는 길이입니다 무난 무난 이뻐요,"길이, 무난, 엉덩이, 기준, 절반, 덮이다"
두께감도 있고 깔끔하고 좋아요 예일 상품 자주 구매하고 있어요 건조기 돌리니까 사이즈 줄어들어요 참고하셔서 사이즈 선택하세요,"선택, 줄어들다, 건조기, 참고, 사이즈, 상품"
여름용 옷 장만하려고 알아보다가 구매한 건데 가성비도 너무 좋고 옷 재질도 좋아요 핏도 낭랑하게 딱 떨어져서 마음에 듭니다,"장만, 낭랑하다, 가성비, 여름, 알아보다, 재질"
기본 티로 아무 데나 입기 좋습니다 재질도 탄탄해서 목 늘어날 일도 없을 것 같습니다,"탄탄하다, 재질, 늘어나다, 일도, 기본, 티"
커플로 입기 너무 좋아요 두께감도 좋도 재질도 너무 좋습니다,"커플, 재질, 두께감"
목이 짜증 찡한 게 너무 맘에 들어요 예일 처음 사보는데 다른 것도 구매할 의향 있어요,"목, 사보다, 처음, 짜증"
길이도 적당하고 두께도 적당해서 많이 입고 다닐 것 같아요,"적당하다, 적당하다, 길이, 두께"
사이즈는 좀 큰데 옷 소재도 좋고 심플하고 예뻐요,"심플, 소재, 사이즈, 크다"
여름엔 입기엔 조금 두껍긴 한데 깔끔하고 좋네요 배송도 빨라요,"여름, 배송, 빠르다, 두껍다, 깔끔하다"
