,title,keyword
1,DOODLE HEART HALF T WHITE GREYISH BLUE,"디자인, 프린팅, 사이즈, 배송, 재질, 여름, 오버핏, 가격, 사람, 색감"
2,[SET] 워셔블 케이블 반팔 니트 세트,"사이즈, 여름, 니트, 색감, 가격, 재질, 배송, 가성비, 색상, 디자인"
3,[2PACK] 쿨 코튼 티셔츠 블랙+화이트,"사이즈, 여름, 재질, 배송, 가격, 가성비, 소재, 커버, 기본, 원단"
4,[3천원 결제혜택]링클 체크 박시 오버핏 롤업 하프 셔츠 다크 네이비,"여름, 셔츠, 재질, 사이즈, 가격, 배송, 단추, 소재, 색감, 사람"
5,460G 컷 헤비 피그먼트 티셔츠-차콜-,"색감, 사이즈, 재질, 오버핏, 배송, 색상, 여름, 피그먼트, 버먼, 워싱"
6,[16수 코마사] 2PACK SMALL ARCH T-SHIRT WHITE _ BLACK,"사이즈, 여름, 재질, 가격, 가성비, 오버핏, 배송, 예일, 티셔츠, 로고"
7,빈티지 워싱 네이비 체크셔츠,"색감, 셔츠, 여름, 체크, 사이즈, 배송, 가격, 재질, 가을, 기장"
8,[3PACK] 에어쿨링 드라이 기능성 무지 반팔티,"운동, 가격, 가성비, 재질, 여름, 사이즈, 소재, 운동복, 배송, 흡수"
9,TAG OG TEE - WHITE,"사이즈, 디자인, 배송, 재질, 오버핏, 프린팅, 여름, 세탁, 로고, 브라운"
10,[2PACK] EL 스트리트 아트워크 오버핏 반팔티 2종 2PACK,"사이즈, 디자인, 가격, 배송, 여름, 프린팅, 오버핏, 가성비, 재질, 세탁"
