Processed_Review,keyword
실기시험 칠 때 입었는데 땀에 옷이 붙지 않아 좋아요 적극 추천,"실기 시험, 추천, 적극, 붙다, 땀"
운동복 소재 느낌이라 여름에 시원하게 입 기 좋습니다,"시원하다, 운동복, 소재, 여름"
운동할 때 입어도 좋고 잘 때 입어도 좋아요 너무 편해요 색깔 구성도 마음대로 할 수 있어서 좋네용,"운동, 구성, 편하다, 색깔"
시원하고 입고 다니기 편하네요 여름에 입 기 좋아요,"시원하다, 편하다, 여름"
적당한 두께랑 까칠한 소재감으로 여름엔 시원할 듯,"적당하다, 소재, 시원하다, 여름, 두께, 까칠하다"
헬스 꾸준히 한 건장한 체격이라는 점 참고하세요 편하고 좋습니다 운동할 때도 일상복 이너로도 활용하기 좋아요 세탁 번째인가 번째에 소매 쪽 올이 나갔지만 가격대 생각해보면 아쉬울 건 없는 것 같네요,"건장하다, 운동, 활용, 상복, 편하다, 참고, 체격, 오다, 가격"
울강쥐도 이 옷을 좋아하는 거 같아 요 넘 편해요 하핳,"편하다, 좋아하다, 강쥐"
깔끔하고 운동할 때 입 기 좋아요 여름에 잘 입을 게요,"운동, 여름, 깔끔하다"
일할 때 입으려고 사 서 편하게 잘 입고 있어요 몇 개 더 사놓을 예정입니다,"편하다, 일, 예정"
운동할 때 입으랴 고샀는데 좋아요 이뿝니다 베리굿,"운동, 이뿌다, 베리 굿"
운동할 때 입으려 구 샀어용 시원하고 좋아 여 가격도 저렴해서 좋네 여,"운동, 저렴하다, 시원하다, 가격"
이게 진짜 이 가격에 기능성이라 목도 안 늘어나고 진짜 좋아요 살짝 아쉬운 건 사이즈를 총장 보고 살짝 크롭 한 느낌을 바라고 샀는데 생각보다 많이 길더라구 요 근데도 이 가격이 개라는 게 진짜 말이 안 돼서 완전 만족 중 입니다,"기능, 늘어나다, 말, 구, 가격, 사이즈, 만족"
메쉬 소재라 시원하고 운동할 때 입기 좋을 거 같아 요 딱 헬스장 운동복 소재 같네요 제의 눈이 보여 요 물론 제 몸이 문제겠죠,"운동, 시원하다, 운동복, 헬스장, 소재, 소재, 몸, 보이다"
가격도 저렴하고 너무 만족스러워요 적극 추천합니다,"추천, 만족스럽다, 저렴하다, 가격, 적극"
사이즈 파란 선까지와요 운동할려구 샀습니다 저랑 키 비슷하신 분들은 추천 크지 않고 살짝 엉덩이 반 조금 넘게 가리는 정도입니다 좋아요,"운동 구, 엉덩이, 크다, 사이즈, 추천, 가리다, 넘다"
와 가성비 대박이구 운동할 때도 입고 평소에도 이너로 입고 있어요 아주 좋아요,"평소, 가성비, 운동, 대박 이구"
세탁 후 목 늘어짐 없고 소재가 해서 운동할 때 도 복안에 입 기 좋아요 여자치고 어깨가 좀 있으니 핏 보실 때 참고 해주세요 사이즈는 아주 조금 여유 있게 딱 맞아요,"여자, 소재, 운동, 늘어지다, 사이즈, 복안, 해주다"
시원하고 색 갈도 무난해서 아무 옷에 입고 다닙니다,"시원하다, 갈도"
핼스장에서 운동하려고 샀는데 싸고 운동할 때 입으면 아주 좋아요,"운동, 핼스장, 운동, 싸다"
체형 기준 좀 타이트 합니다 정핏에서 타이트한 정도 입니다 제가 생각한 후들 흐들 거리는 소재가 아니라 까끌 가리면서 두께가 있는 제품이였어요 운동할 때 안에 받쳐 입 기 좋네요,"거리, 아니다, 가리다, 운동, 소재, 타이트, 기준"
진짜 편해요 운동할 때도 한 느낌 없이 시원합니다 가성비 갑 또 주문했져 여,"운동, 편하다, 가성비, 시원하다, 주문"
운동할 때 편하게 휘뚤마뚤 입고 있습니다 요즘에는 입기 조금 춥지만 운동 마칠 때는 또 그렇게 춥진 않더라구요,"운동, 편하다, 추다, 추다, 마치다, 운동"
기장이 약간 긴 편이라 저는 레이어드 용도로 같이 입으려고 구매했어요 비침이 심하지는 않지만 단독으로 입기에는 비쳐서 단독은 어려울 것 같네요 비칩니다 참고하세요 그 외 기능성이나 상품은 아주 좋아요,"기능, 비치다, 비치다, 심하다, 상품, 어리다, 기장, 비치다"
요즘 교복처럼 입고 다니는데 왠만한 바지는 다 매치되 구 슬랙스 랑 입으면 꾸안꾸 가능,"교복, 바지, 가능, 슬랙스, 왠만하다, 매치다"
목요일 아침에 주문했는데 출고 월요일 오후에 됐음,"목요일, 월요일, 오후, 아침, 출고, 주문, 돼다"
운동할 때 입으려고 샀어요 에어쿨링 이라고 해서 얇지 않을까 했는데 생각보다 엄청 얇진 않고 살짝 두툼한 감이 있어요 남여 공용인 거 같아서 로 했는데 또 엄청 큰 편도 아니라서 박스티 같지도 않아 요 약간 생각과 다른 부분이 엄청 많은데 또 엄청 마음에 안 들 지도 않는 요상한 옷입니다 대신 땀은 잘 말라용,"공용, 에어 쿨링, 상한, 운동, 말르다, 박스 티"
딱 그 가격에 맞는 옷 같네요 살짝 두껍 긴 한데 나름 굿,"나름, 가격, 맞다, 두껍다"
제가 입 다가 살이 좀 빠져서 로 구매했는데 아주 만족해요 사이즈 비교해서 사진 올렸어요 아주 미세하지만 차이 있음,"미세하다, 만족하다, 사이즈, 비교, 사진, 살이, 차이, 다가"
가볍고 편하고 너무 좋아요 운동할 때 입으려고 샀는데 만족해요,"만족하다, 운동, 가볍다, 편하다"
사이즈 정 사이즈로 가면 될 꺼 같고 얇고 금방 마를 꺼 같은 소재여서 일할 때나 운동할 때 맘 편히 입을 수 있을 듯,"소재, 사이즈, 운동, 사이즈, 일, 마르다, 금방, 편하다, 가면"
아빠 잠옷으로 쓰신다고 해서 구매했어요 재질 색깔 다 만족하는데 처음에 엄마가 따로 손 빨래 안 하고 다른 옷이랑 섞어서 세탁했으면 큰일 날 뻔 했어요 물 엄청 빠지네요,"만족하다, 쓸다, 엄마, 처음, 재질, 큰일"
