Review,keyword
고민하다가 샀는데 진짜 예뻐요 길이감 어깨사이즈 팔 모두 맞춤 정장같이 잘 맞네요 아 그리고 엄청 시원합니다 ,"시원하다, 고민, 길이, 정장, 어깨 사이즈"
깔끔하고 시원해서 데일리에 입고다니기 좋은것같네요,"시원하다, 일리, 깔끔하다"
생각보다 두껍고 아빠 정장 느낌나요 원래 쿨탠다드가 이런가 근데 나뿌지않음,"정장, 런가, 원래, 아빠, 두껍다, 느끼다, 나뿌"
쫀하고 좋습니다 합리적으로 구매해서 잘입고다닙니다,"합리, 쫀"
무탠다드 답게 퀄리티도 좋고 쿨소재라 초여름까지 입을 수 있을 것 같아요 사이즈는 세미 오버핏이라 한 사이즈 더 업해도 좋았을 것 같아요 ,"쿨 소재, 퀄리티, 업, 사이즈, 사이즈, 답, 세미, 초여름"
여름에 구매해서 후기를 지금에야 쓰네요 이 블레이저 대학 면접 때 입고가서 최초합으로 붙었습니다 무거운 자리에 좋은 인상 풍겨주기게 충분한 블레이저라 생각이 들구요 여름에 입어도 바람 살짝 불면 바로 시원함을 느낄 정도로 좋았습니다,"면접, 풍기다 주기, 블 레이저, 인상, 블 레이저, 무겁다, 시원하다"
와이드팬츠랑도 잘 어울리지만 테이퍼드핏에도 입을 수 있어요 그렇지만 와이드에 더 잘 어울리는 핏입니다 전체적으로 여유가 많아요 ,"와이드 팬츠, 전체, 어울리다, 여유, 와이드, 어울리다, 핏입니, 테이 퍼드 핏"
노멀한 핏이고 셋업으로 입고다니시기에 좋습니다 안에 후드로 매치시켜도 이뻐요,"매치, 노멀, 후드, 핏, 셋업"
아들의 첫 자켓입니다 바지구입후 너무 마음에 들어 자켓도 구입했습니다 적당한 핏에 길이감도 적당하고 가격도 착하고 만족합니다 ,"만족하다, 적당하다, 적당하다, 바지 후, 아들, 가격, 착하다, 길이 감다"
xl사이즈랑 l사이즈랑 고민한 결과 저는 두 사이즈 다 구매 해보았습니다 저랑 비슷한 신체사이즈 이신 분들은 제가 두 제품 착장 모두 올려드렸으니 꼭 한 번 비교해보시고 선택의 고민을 덜어보시기 바랍니다 왼쪽 네이비는 L사이즈 오른쪽 블랙은 XL사이즈 입니다 ,"신체 사이즈, 선택, 사이즈, 사이즈, 덜다, 비교, 사이즈, 사이즈, 사이즈, 고민"
기존 릴렉스드 베이직 블레이저와 사이즈감 동일합니다 시원한 소재면서도 원단이 흐물거리지 않고 탄해서 체형보완에 좋으며 주름에 강한 편입니다 ,"동일하다, 편입, 블 레이저, 시원하다, 소재 서도, 흐 물다, 원단, 사이즈, 강하다"
맘에 들어요 맨날맨날 입고싶어요 엄마가 이쁘대요,"엄마, 대요"
기본 블레이저 답습니다 뭣보다 엄청 얇아서 여름에 딱,"블 레이저, 여름, 답습, 기본, 얇다, 뭣"
쿨소재는 맞는거 같으나 살짝 두깨감이있어 한여름용으로는 어려울듯 싶음 그래도 시원한소재이며 사이즈는 보통 정도 생각하면 될거같아요,"한여름, 시원하다 소재, 쿨 소재, 사이즈, 보통, 어리다, 싶다"
사이즈가 편하게 입기 딱 좋아요 옷이 예쁘네요 좋아요,"사이즈, 편하다"
지금 계절에 괜찮은 블레이저를 찾고 있었는데 소재도 괜찮고 좋아요 사진보다 실제 제품이 훨씬 좋고 예쁩니다,"블 레이저, 실제, 제품, 사진, 소재, 지금"
착용감도 편하고 결혼식하객룩 용으로 정말 좋습니다 팔 접어서 다니기에도 좋고 무엇보다도 핏이 좋습니다 여름용 블레이저로 강추합니다 ,"결혼식 하객, 강추, 접다, 여름, 편하다, 착용 감다, 블 레이저"
쿨탠다스 슬랙스가 핏별로 몇개 있어서 셋업으로 위에도 장만했는데 재질 색감 일치하고 좋네요 ,"일치, 슬랙스, 다스, 재질, 색감, 핏별, 장만, 위"
