Processed_Review,keyword
허리가 커요 뭔가 알 수 없지만 시크하고 세 투시하고 좋아요 내 pose 때문일지도,"시크, 투시, 허리, 크다, 뭔가, 없다, 때문 일지"
편안하고 가격도 저렴해서 너무 좋아요 자주 입을 듯,"편안하다, 저렴하다, 가격"
바지 길이 제가 원하던 길이에요 두께도 지금 날씨에 입기 좋은 두께이고요 핏 최고예요,"길이, 날씨, 길이, 원하다, 바지, 최고"
잘 입고 입습니다 운동할 때도 좋아요 한여름에는 입기 힘들 거 같아요,"운동, 한여름, 힘들다"
너무 편해서 맨날 입고 댕김 집 앞 슈퍼 나갈 때 입어도 편하고 꾸안꾸로 입고 나갈 때도 좋음,"편하다, 편하다, 슈퍼, 댕김"
루룰루룰룰루랄라랄 즐거운 산책 모르는 게 상책,"루 룰루 룰 랄, 상책, 산책, 즐겁다, 모르다"
너무 편하고 스타일 코디도 쉽게 할 수 있어요 너무 마음에 들어요,"스타일, 편하다, 코 디도, 쉬다"
가성비 갑 스웨 팬츠 고민되시면 바로 구매하세요,"가성비, 팬츠, 고민, 스웨"
여자친구 사줬는데 저보다 잘 어울리네요 가을에도 제로에서 바지 사야겠러요,"여자친구, 어울리다, 제로, 가을, 바지, 사주다"
전 딱 부 핏으로 잘 떨어지고 너무 편해서 많이 입었어요,"편하다, 핏, 떨어지다"
반바지를 잘 안 입는데 이거 무슨 교복인가요 맨날 입게 된다고요 킹아,"교복, 반바지, 킹"
저렇게 위에 오버핏이랑 입으면 이쁩니다 바지가 이쁘네요,"바지, 위, 오버핏"
일본 여행 가서 예쀼게 입었숩니당 사이즈도 넉넉하고 조아여,"여행, 넉넉하다, 사이즈, 가다, 일본, 숩 니당다, 예쀼"
운동할 때 입으려고 샀는데 편하고 무엇보다 이뻐요,"편하다, 운동"
너무 편하고 이뻐요 데일리 템입니다 꼭 다들 사시고 입으셨으면 좋겠습니다,"편하다, 사시, 데일리"
길이랑 핏에 비해 허리 고무줄이 짱짱한 느낌이에요 제 뱃살 때문 같아요 마음에 들어요,"길이, 고무줄, 허리, 비다, 핏, 짱짱하다, 뱃살, 때문"
생각보다 길이가 많이 길어요 그리고 핏이 예쁘려면 특정 자세를 취해야 하고 그냥 일자로 서있으면 항아리 같은 핏이 나와요 번째 사진처럼 두께가 많이 두꺼운 데다가 검은색이라 지금 입어도 덥긴 합니다,"검은색, 항아리, 사진, 길이, 일자, 덥다"
회색 잘 입고 있고 검은색도 한 번 사봤습니다 재구매하면서 다른 사이즈 구매해 봤는데 확실히 차이가 있네요 참고하시라고 같은 자세 비슷한 코디로 올려봅니다 검정은 미디엄 회색은 라지입니다,"라지, 올리다, 참고, 미디엄, 재다, 사이즈, 차이, 검은색, 확실하다, 검정"
통은 마음에 드는데 길이는 조금 길어서 수선 맡겼어요 휘뚜루마뚜루 입기 좋아요,"길이, 통, 수선"
헬스하시는 분들은 장만하시면 아주 요긴하게 사용하실 것 같아요,"사용, 장만, 요긴, 헬스, 분"
딱 제가 원하던 기장의 바지예요 넘넘 맘에 듭니댱 히히 무릎 밑으로 살짝 내려와서 편하게 입기 좋은 바지에 오 핀턱 있어서 귀여워요,"기장, 내려오다, 편하다, 바지, 핀턱, 원하다, 넘다 넘다"
여기 브랜드 바지 네 번째 구매에요 너무 좋아요 최고,"브랜드, 바지, 최고"
친구한테 회색 빼앗기고 검은색으로 살아남았는데 이럴 수가 내 진정한 사랑은 검정이었습니다 길이는 무릎을 슬쩍슬쩍 덮을까 말까 하는 밀당 길이입니다 길이조차 완벽하다고 할 수 있죠 그 어떤 티를 입든 조용히 받쳐주고 소화시켜주는 아리따운 아이입니다 제가 대통령이 된다면 국민 여러분께 한 장씩 드리고 싶을 정도로 공익을 위해 소중한 아이템 공개하는 그런 수고를 하더라도 모두에게 이 바지를 알리고 싶은 예쁜 바지라는 말입니다 샐깔은 그냥 엄청난 검정입니다 그렇지만 완벽한 사이즈 완벽한 길이 완벽한 디자인 무난하게 하나 갖고 있으면 계속 손이 가는 새우깡 느낌의 바지입니다 그냥 구매하셨으면 좋겠네요,"소화, 검정, 완벽하다, 길이, 바지, 말, 공개, 길이, 진정하다"
나쁘지 않고 무난 무난하게 입을 수 있는 아이템입니다,"아이템, 무난, 무난, 나쁘다"
퀄리티 괜찮고 가격도 좋고 여름까지 입을 수 있을 거 같아서 좋아요 흔한 느낌도 없어서 더 좋네요,"퀄리티, 가격, 여름, 없다"
생각했던 것보다 온 버핏이고 두께감 있는 원단이라 좋아요,"원단, 버핏, 두께감"
딱 제가 원하던 스타일의 스웨트 팬츠입니다 무릎에 걸치는 기장에 온 턱 바지 색과 동일한 색상의 스트링 옷 너무 이뻐요,"색상, 동일하다, 스타일, 스트링, 팬츠, 걸치다, 기장, 원하다, 바지, 색"
싸게 잘 샀어요 가성비 좋아요 막 입고 다니기도 편하고 좋아요,"편하다, 가성비, 기도, 싸다"
너무 예뻐요 너무 편하고 기장도 너무 적당 잘 입을 듯,"편하다, 기장, 적당"
이뻐요 사이즈 딱 좋고 근데 한번 빨고 나니까 색감이 조금 빠졌어요,"색감, 사이즈, 한번, 빠지다"
바지가 편해서 운동할 때 자주 입게 되네요 추천드립니다,"추천 드리다, 편하다, 운동, 바지"
귀여우니까 다들 당장 사시길 빨리빨리 체고 짱짱,"체고, 여우, 짱짱"
넉넉하고 편해서 좋아요 시원해서 여름에도 입을 거 같아요,"편하다, 시원하다, 넉넉하다, 여름"
여자친구가 싫어해요 하지만 전 좋아요 헤히호후,"여자친구, 헤히호후, 싫어하다"
바지 질도 좋고 두껍고 길이도 좋아유 여름에 입기 하나도 안 부담,"부담, 길이, 바지, 하나, 질도, 여름, 아유, 두껍다"
야무지게 입을 수 있는 기본 템으로 충분한듯합니다,"기본, 야무지다, 충분하다"
정말 오버한 느낌의 반바지를 원한다면 이거 추천드립니다,"추천 드리다, 원하다, 반바지, 오버"
역시 스웨트 팬츠류는 제로가 최고네요 요즘 매일 입게 되네요,"팬츠 류, 매일, 제로, 최고, 스웨 트"
헬스를 좋아해서 버뮤다팬츠 많이 사 입는데 벌써 제로에서만 번째 구매네요 항상 믿고 사는 제로,"버뮤다 팬츠, 제로, 벌써, 항상, 헬스, 살다, 제로, 좋아하다"
원하던 오버핏이구요면도 좋고 허리 고무줄 밴딩도 정말 편해요 배송도 빠르고요,"배송, 밴딩, 편하다, 고무줄, 원하다, 허리, 오버핏 요면, 빠르다"
귀여워요 그리고 긴 양말에 신으면 더 귀여운 느낌 이 나용 만족합니다,"만족하다, 신다, 나용, 양말, 귀엽다, 귀엽다"
처음 입어보고 너무 커서 별로라고 생각했는데 입다 보니까 편하고 예뻐요 근데 생각보다 통이 많이 넓어서 s를 사도 됐었을듯해요 질도 좋고 면도 좋아서 자주 입을 것 같아요 길이는 무릎을 살짝 가릴 듯 말 듯 합니다,"면도, 입어보다, 길이, 별로, 커서"
사이즈가 너무 커요 s살껄 앞모습은 그래도 봐줄 만한데 옆모습이 너무 덩치가 커 보여요,"크다, 덩 치가, 보이다, 사이즈, 말다, 앞 모습, 옆모습"
블랙이랑 회삭 고민하다가 블랙 샀는데 블랙이 저한테 있는 옷이랑 잘 맞고 아무 옷이랑 입보도 너무 예쁘네요 돈 생기면 회색도 사려고요,"생기, 블랙, 보도, 고민, 블랙, 블랙"
너무 좋아 그냥 다 좋아요 편하게 운동복으로도 꾸 안 그로도 너무 좋아요,"운동복, 그로, 편하다, 그냥"
아주 좋아요 몇 개째 반복 구매 중 원래 사던 거 말고 매시 샀는데 아주 많이 얇진 않지만 훨씬 가벼워요,"가볍다, 원래, 매다, 반복"
반바지 핏이 정말 마음에 들고 오버핏 이여서 좋아요,"반바지, 핏, 오버핏"
버뮤다팬츠 기장도 너무 좋고 편안하게 입기 좋아요,"버뮤다 팬츠, 편안하다, 기장"
가격 대비 품질이 우수해서 놀랬어요 입었을 때 너무 얇지 않아 핏이 더욱 이쁘게 떨어집니다 무척 마음에 듭니다,"무척, 우수하다, 더욱, 대비, 가격, 품질, 핏"
회색 사고 맘에 들어서 검은색도 구매했습니다 감사합니다,"검은색, 들어서다, 사고, 회색"
너무너무너무 예뻐요 진짜 강력하게 추천드리는 제품입니다 이 가격에 이런 바지 찾기 힘들어요 그냥 구매하세요,"추천 드리다, 제품, 강력하다, 힘들다, 가격, 이렇다, 바지, 찾기"
동생이랑 각각 블랙 그레이 샀다가 너무 예뻐서 각각 하나씩 더 구매했습니다 블랙 색상은 깔끔하고 캐주얼하게 여기저기 매치해서 입을 수 있을 것 같고 매시 소재가 나온 게 진짜 신의 한수 소재가 탄탄해서 흐물거림 없이 세입을 잡아주고 허리는 밴딩이어서 편한 기장도 딱 좋은데 허벅지 단면만 센티 더 박시했다면 어땠을까 싶긴 하네욥 종아리 때문에 고민이 신분들은 오히려 기장이 딱 종아리를 커버해 주는 느낌이라 추천 박시한 흰 티나 그래픽 티셔츠를 볼캡과 함께 매치하면 여름스러운 캐주얼 꿈 안 꾸 무드 연출 가능하니 강추 드립니다,"밴딩, 매치, 매치, 동생, 여기저기, 색상, 신의, 캐주얼, 소재, 허벅지"
이전에 시켰던 회색 색상은 정말 깔끔하고 마감 나쁘지 않게 왔는데 이거 할인해서 그런가 진짜 뭔 시장에서 파는 것보다 마감 거지 같게 왔네요 실밥 개 바로 다 떨어지고 탈피 실패한 것처럼 머리카락같이 붙어있네요 그냥 입을게요 교환하기도 귀찮아서 이런 후기 무신사에서 쓴 적 없을 텐데 심하네요 살로몬부터 불량 수준만 오니,"교환, 사, 할인, 실패하다, 시장, 색상, 수준, 살로몬, 심하다"
키 작은 여자가 입은 후기가 별로 없어서 걱정햤는데 크게 입는 걸 좋아하는 편이러 핏이 생각보다 이쁘네요 생각보다 버뮤다처럼 입을 수 있어요 찰랑거리는 바지 싫어해서 오히려 튼튼하고 좋았어요,"찰랑거리다, 펴다, 튼튼하다, 버뮤다, 여자"
많이 더울 때는 두꺼워서 입기 힘들 거 같지만 너무 예뻐요,"덥다, 힘들다, 두껍다"
허벅지 부분은 생각보다 커서 놀랐지만 핏이 잘 맞아요 재질이 약간 스웨트 팬츠 느낌이 아니라 스웨트 팬츠에다 부직포 프로 첨가된 너 김 그래도 이뻐요,"허벅지, 부직포, 재질, 팬츠, 팬츠, 커서, 프로, 아니다"
아무래도 여름에 입을 거라 안감을 매시 소재로 선택했습니다 길이도 살짝 무릎 아래로 내려오고 천이 너무 얇지 않아서 힘이 있어서 핏이 좋아요 기본 검은색이라 아무 색이나 잘 어울릴 듯합니다 턱이 잡혀 있어서 요즘스러운 디자인입니다 편하게 멋스럽게 잘 입을 것 같습니다,"검은색, 디자인, 어울리다, 매다, 천이, 내려오다, 색, 턱"
상의 오버하게 가고 더 오버하게 버뮤다 핏인 반바지 매치하니까 멋있는 사람이 되어버렸네요 바지는 제로가 짱 아닌가요,"오버, 상의, 반바지, 아니다, 바지, 제로, 사람, 버뮤다, 가다, 핏"
이번 구매로 제로 버뮤다 스웨트 팬츠 깔 별러 개 소장 중입니다 진짜 핏도 너무 이쁘고 원단감도 탄탄한데 가격도 저렴해서 너무 강추입니다,"강추, 중, 저렴하다, 버뮤다, 가격, 별러, 원단감, 소장"
작년인가 재작년에 회색 사고 검은색도 사고 싶어져서 샀어요 얇은 버전이라서 시원해요,"재작년, 작년, 버전, 시원하다, 검은색, 사고, 회색, 얇다, 싶다"
스웨트 팬츠 느낌으로 클래식하면서 편한 반바지예요 이번 여름에 엄청 잘 입을 것 같습니다,"클래식, 편하다, 팬츠, 여름, 스웨 트, 반바지"
마음에 들어요 허리끈 있어서 좋은 것 같아요 제로에서 만드는 바지는 다 예쁜 것 같아요,"만들다, 바지, 제로, 허리 끈"
