Review,keyword
얇고 활동하기에 무지 편합니다 착한 가격까지 만족합니다,"만족하다, 편하다, 활동, 착하다, 얇다, 무지, 가격"
마른 편입니다 사이즈 피팅했는데 기 장감 아웃핏 전부 마음에 드네요 두껍지 않은 나일론 소재라 더운 여름에도 반팔 위에 데일리하게 걸쳐서 포인트를 줄 수 있을 것 같아 요 상품 만족합니다,"여름, 덥다, 데일리, 만족하다, 포인트, 팔, 두껍다, 소재, 마르다, 편입"
입으면 살짝 스포티해 보이고 엄청 슬림해 보이는 것 같아요,"슬림해, 스포티, 보이, 보이다"
나일론 재질이 긴 한데 하지 않고 부드럽게 떨어지는 핏이라서 마음에 들어 요 합리적인 가격에 잘 샀어 여 보통 체격인데도 사이즈 해서 여성분들은 하시면 될 듯 스트링 조이는 거보다 푸는 게 더 예뿌요,"사이즈, 여성, 분들, 재질, 보통, 부드럽다, 핏, 체격, 인데"
이런 옷은 처음 입어보는데 사이즈 딱 맞고 좋아요,"입어보다, 맞다, 이렇다, 사이즈, 처음"
사이즈로 샀는데 딱 몸에 맞아서 이쁜 핏으로 나와 요 지퍼가 약간 별로 구 후드가 약간 큰 감이 있긴 한데 나름대로 엄청 이 쁘고 힙하 보여 요 흰 반팔티에 간단하게 입어도 엄청 간 지나서 진짜 최고 아이템 될 듯 합니다 다 만 한 여름엔 바람이 막혀서 좀 덥다는 점만 감안하면 진짜 살만한 제품입니다,"제품, 덥다, 아이템, 여름, 최고"
사이즈는 지만 해서 좋아요 안 입은 거 처럼 가볍고 얇아서 여름에 입 기 딱이네요 주머니 없는 옷 입을 때 걸쳐야겠어 여 딱 찾는 옷인데 세일 기간에 사서 만족합니다,"인데, 주머니, 얇다, 여름, 가볍다, 사이즈, 걸치다, 딱이다"
너무 예쁘지 않나요 제 눈에만 그런 건가요 너무 만족하고 이걸 왜 이 제 샀 나 싶었습니다 오래 기다린 만큼 만족도 높아요 아 역시 갓르티 멘토 절 실망시키지 않는 군뇨,"만족도, 만족하다, 눈, 에만, 싶다, 군뇨, 기다리다, 오래, 멘토"
여름용 아우터로 얇아서 포인트 주기에 정말 좋아요,"아우터, 얇다, 여름, 주기, 포인트"
얇은 베스트 찾고 있었는데 파르 티멘토 가성비 너무 좋 아요 시 원합니당,"원하다, 가성비, 아요, 베스트, 티, 멘토, 찾다, 파르, 얇다"
중간에 배송 좀 걸리긴 했지만 그래도 싼 가격에 입문용으로 좋은 거 같아요,"걸리다, 입문, 중간, 가격, 배송"
베스트 처음 구매해보는데 괜찮네 용 다만 끈이 너무 깁니다,"끈, 처음, 베스트"
나쁘진 않은데 줄이 너무 길고 지퍼가 구림 한 번 입고 고장 났는데 어 거지로 끼워 쓰고 읶어여,"지퍼, 나다, 나쁘다, 끼우다, 읶어, 줄이다, 길다, 쓰다"
어깨 부분이 살짝 찢여져 있는데 찢여진 건지 그렇게 온 건지 모르겠네요 티는 안 나서 그냥 입었어요 여름에 입 기 좋아요,"여름, 모르다, 그냥, 나서다, 건지다, 찢다, 지다"
요즘 같은 날씨에 입 기 매우 좋고 레이어드해서 입었을 때 매우 귀엽습니다 나중에 아우터 이너로도 매우 좋을 거 같아요,"귀엽다, 날씨, 레이어드"
스타일 내기 좋고 그렇게 덥지는 않습니다 코디할 때 포인트 주기 좋습니다,"그렇게, 덥다, 코디, 스타일, 내기, 주기, 포인트"
가성비 최고 나일론 조끼에 요 맨날 입고 다닐 거야요,"조끼, 가성비, 맨날, 나일론, 최고"
한여름에 입을 수 있을 정도로 확실하게 얇고 가 벼워서 다양한 코디가 가능할 것 같고 느낌 한 스푼 첨가한 것 같아 기분이 좋네요 카고 팬츠나 파라슈트 팬츠로 맞춰서 코디해주시면 무난할 것 같아 요 지 퍼 같은 부자재 퀄리티가 별로여서 하다는 게 유일한 단점이에요 월 초 중반까지는 충분히 입을 것 같고 겨울에는 레이어드해서 입을 수 있기 때문에 구매 망설이시는  분들은 고민하지 마시고 지금 건져가세요,"겨울, 에는, 퀄리티, 스푼, 팬츠, 벼워, 건지다, 별로, 여서"
생각보다는 얇고 바람막이 재질이 에 용 진짜 딱 가볍게 입고 나갈 때 오버핏 티 한 장에 입고 니가 몀 찰떡입니다,"가볍다, 얇다, 바람막이, 재질, 찰떡, 보다는, 오버핏"
바스락 바스락 비닐 재질 만 원대로 샀는데 가격 대비 괜찮아 용 사이즈도 적당하구 얇아서 여름에 입기에도 괜찮음 남 여,"적당하다, 원대, 얇다, 여름, 사이즈, 재질"
잊을 만 하니까 와서 나름 좋았어요 생각보다 엄청 얇은 데 요즘같이 더운 날에도 막 입을 수 있어서 오히려 좋아요 투웨이 집업인데 만 원대 갓성비 완전 최고 마감은 많이 아쉬운데 싼 마이라 전체적으로 완전 만족이욜,"덥다, 최고, 아쉽다, 전체"
베스트 입어보고 싶어서 샀는데 생각보다 넘모 이 쁨 얇아서 여름에도 가능이고 베스트 입문 완료,"입어보다, 싶다, 얇다, 가능, 이고, 베스트, 여름, 완료, 넘다"
두꺼운 거할까 얇은 거 할까 많이 고민했는데 넘 더워서 얇은 거하길 잘한 거 같아 요 얇아도 핏쁘고 퀄리티 좋아요 막 입어도 잘 안 구겨지는 재질이고 많이 가벼워요,"얇다, 가볍다, 덥다, 재질, 이고, 자다, 핏쁘, 고민"
사이즈가 여자분들한테 딱이네요 예뻐용 얇아서 괜찮네요,"여자, 분들, 딱이다, 얇다, 사이즈"
가격 대비 많이 아쉬움 재질도 걍 그렇고 만 원짜리 같음 하지만 핏은 괜찮 지퍼로 투웨이 연출 가능은 굳,"재질, 가능, 그렇다, 원, 짜다, 가격, 핏, 아쉬움, 많이"
가볍게 입 기 좋아요 스트링 안 쪼이는 게 핏이 깔끔하네영,"가볍다, 핏, 쪼이다, 깔끔하다, 스트링"
너무 이 쁘고 잘 입고 있습니다 재질 좋은 거 같습니다 다음에도 기회가 된다면 이 브랜드 제품을 구매할 거 같습니다,"브랜드, 제품"
재질이 얇아서 한 여름에도 가능해 요 사이즈 딱 맞고 밑에 스트링으로 줄이면 레이어드 야물 딱져요 근데 힘이 좋아서 그런지 지퍼가 고장 났네요,"지다, 얇다, 줄이다, 스트링, 지퍼, 그렇다, 재질, 힘, 근데"
미듐할지 스몰할지 고민하다 다른 분들 리뷰 보고 스몰 골랐습니다 생각했던 핏이여서 만족스러워요,"만족스럽다, 고르다, 고민, 분들, 스몰, 핏이, 여서, 보고, 미듐할, 지, 리뷰"
여름에 포인트 주기 좋은 나일론 베스트 고프코어 룩을 좋아하시거나 저처럼 입문하시는 분들은 한 번 쯤 먼저 둘러보고 알아보시는 거 추천 드립니당 파르티 멘토 제품 구매하고 후회한 적은 단 한 번도 없었어요,"좋아하다, 여름, 하고, 분, 둘러보다, 고프다, 코어, 처럼, 베스트, 알아보다"
사이즈 딱 맞네요 얇아서 시원하고 여름에도 가능하겠어요,"여름, 가능하다, 얇다, 맞다, 시원하다, 사이즈"
길이도 적당하고 레이어드 티셔츠에 입으면 너뮤 예쁩니 당 소재도 가볍고 너무 조아용 손이 가요 손이가,"티셔츠, 가볍다, 적당하다, 가요, 손, 레이어드"
생각보다 아조씨 바막 느낌이 나긴 하는데 그 맛이 오히려 스트릿 무드를 더 살려줘서 좋은 거 같아 요 잘 입을 게요,"살리다, 맛, 나다, 무드"
요즘에 엡기에는 덥더라구 요 날씨 좀 풀리면 딱 일 것 같아 요,"덥다, 구, 엡기, 에는, 날씨, 풀리다"
한여름에 입을 수 있을 정도로 확실하게 얇고 가 벼워서 다양한 코디가 가능할 것 같고 느낌 한 스푼 첨가한 것 같아 기분이 좋네요 카고 팬츠나 파라슈트 팬츠로 맞춰서 코디해주시면 무난할 것 같아 요 지 퍼 같은 부자재 퀄리티가 별로여서 하다는 게 유일한 단점이에요 월 초 중반까지는 충분히 입을 것 같고 겨울에는 레이어드해서 입을 수 있기 때문에 구매 망설이시는  분들은 고민하지 마시고 지금 건져가세요,"겨울, 에는, 퀄리티, 스푼, 팬츠, 벼워, 건지다, 별로, 여서"
무게는 안 입은 듯합니다 검은색 톤이랑 잘 어울림,"검은색, 톤, 어울림, 무게"
너무 예뻐요 코디하기도 너무 좋고 핏도 너무 예뻐여,"코디, 기도, 핏"
후드 베스트는 첫 구매인데 활용도가 좋아서 자주 입을 것 같네요 더위 많이 타는 편인데 엄청 얇아서 생각보다 덥지 않아요,"덥다, 인데, 얇다, 베스트, 편, 더위"
여행 잘 입었어요 더울 때 포인트로 주기 좋은 베스트,"포인트, 베스트, 덥다, 주기, 여행"
진짜 힙해지고 시원해요 지금 같이 살인 더위에 입어도 좋아요 포인트 주기 좋아서 강 추 입니다 가격도 천사 가격,"힙, 지금, 시원하다, 더위"
