Processed_Review,keyword
고민하다가 샀는데 진짜 예뻐요 길이감 어깨 사이즈 팔 모두 맞춤 정장같이 잘 맞네요 아 그리고 엄청 시원합니다,"고민, 시원하다, 사이즈, 길이감, 어깨"
깔끔하고 시원해서 데일리에 입고 다니기 좋은 것 같네요,"시원하다, 데일리, 깔끔하다"
생각보다 두껍고 아빠 정장 느낌 나요 원래 쿨탠다드가 이런가 근데 나쁘지 않음,"런가, 정장, 원래, 아빠, 두껍다"
쫀쫀하고 좋습니다 합리적으로 구매해서 잘 입고 다닙니다,"합리, 쫀쫀"
무탠다드 답게 퀄리티도 좋고 클 소재라 초여름까지 입을 수 있을 것 같아요 사이즈는 세미 온 버핏이라 한 사이즈 더 업해도 좋았을 것 같아요,"퀄리티, 업, 사이즈, 사이즈, 소재, 답, 세미"
여름에 구매해서 후기를 지금에야 쓰네요 이 블레이저 대학 면접 때 입고 가서 최초 합의로 붙었습니다 무거운 자리에 좋은 인상 풍겨주기가 충분한 블레이저라 생각이 들고요 여름에 입어도 바람 살짝 불면 바로 시원함을 느낄 정도로 좋았습니다,"면접, 풍기다 주기, 합의, 블레이저, 인상, 블레이저, 무겁다"
와이드 팬츠랑도 잘 어울리지만 테이퍼드핏에도 입을 수 있어요 그렇지만 와이드에 더 잘 어울리는 핏입니다 전체적으로 여유가 많아요,"전체, 어울리다, 팬츠, 여유, 와이드, 와이드, 어울리다, 테이 퍼드 핏"
노멀 한 핏이고 셋업으로 입고 다니시기에 좋습니다 안에 후드로 매치시켜도 이뻐요,"매치, 노멀, 후드, 핏, 셋업"
아들의 첫 재킷입니다 바지 구입 후 너무 마음에 들어 재킷도 구입했습니다 적당한 핏에 길이감도 적당하고 가격도 착하고 만족합니다,"만족하다, 적당하다, 적당하다, 아들, 가격, 착하다, 길이감"
xl 사이즈랑 l 사이즈랑 고민한 결과 저는 두 사이즈 다 구매해 보았습니다 저랑 비슷한 신체 사이즈 이신 분들은 제가 두 제품 착장 모두 올려드렸으니 꼭 한 번 비교해 보시고 선택의 고민을 덜어보시기 바랍니다 왼쪽 네이비는 L 사이즈 오른쪽 블랙은 XL 사이즈입니다,"사이즈, 선택, 덜다, 사이즈, 사이즈, 비교, 고민, 고민, 이신, 보시"
기존 릴렉스드 베이직 블레이저와 사이즈 감 동일합니다 시원한 소재면서도 원단이 흐물거리지 않고 탄탄해서 체형 보완에 좋으며 주름에 강한 편입니다,"동일하다, 편입, 블레이저, 소재 서도, 탄탄하다, 시원하다, 흐 물다, 사이즈, 원단, 강하다"
맘에 들어요 맨날 맨날 입고 싶어요 엄마가 이쁘대요,"엄마, 대요, 싶다"
기본 블레이저 답습니다 뭣보다 엄청 얇아서 여름에 딱,"블레이저, 여름, 답습, 기본, 얇다, 뭣"
클 소재는 맞는 거 같으나 살짝 두께감이 있어 한여름용으로는 어려울듯싶음 그래도 시원한 소재이며 사이즈는 보통 정도 생각하면 될 거 같아요,"한여름, 사이즈, 소재, 소재, 시원하다, 보통"
사이즈가 편하게 입기 딱 좋아요 옷이 예쁘네요 좋아요,"사이즈, 편하다"
지금 계절에 괜찮은 블레이저를 찾고 있었는데 소재도 괜찮고 좋아요 사진보다 실제 제품이 훨씬 좋고 예쁩니다,"블레이저, 실제, 제품, 사진, 소재"
착용감도 편하고 결혼식 하객룩 용으로 정말 좋습니다 팔 접어서 다니기에도 좋고 무엇보다도 핏이 좋습니다 여름용 블레이저로 강추합니다,"강추, 결혼식, 접다, 여름, 편하다, 착용 감다, 블레이저"
쿨탠다스 슬랙스가 피트 별로 몇 개 있어서 셋업으로 위에도 장만했는데 재질 색감 일치하고 좋네요,"일치, 슬랙스, 다스, 재질, 별로, 색감, 피트, 장만"
매우 시원한 소재이며 한여름 제외 입을수있을것가탕요,"소재, 한여름, 시원하다, 탕, 제외"
포장박스가 다른 택배에 눌려 다 뜯어졌네요 여름에 출근복으로 얇게 입기 좋네요,"포장 박스, 출근 복, 택배, 여름, 눌려, 얇다, 뜯다"
딱 정 핏입니다 xl 살까 하다가 l 샀는데 딱이에 뉴,"핏입니, 살다, 딱이다"
여름에도 입어도 될 정도로 시원하고 좋네요 정말 찐한 검정은 아니라서 더워 보이지 않고 핏이 좋네요 보통 어깨랑 가슴 폭 때문에 입는데 맘에 들어요 원단도 맘에 드네요,"아니다, 시원하다, 원단, 여름, 덥다, 검정"
루주 핏인데 너무 루스하지는 않네요 한 사이즈 업해야 아무렇게 막 입을 수 있을 거 같고 늦봄 초여름 출근할 때 얇은 블레이저로 걸치고 다니기에는 알맞습니다,"루스, 걸, 사이즈, 블레이저, 출근, 초여름, 루주"
오래간만에 블레이저 구매 평이 너무 좋아서 기대하고 받았는데 역시나 좋네요 팔 기장이 딱 맞아떨어져 너무 맘에 듭니다 클 소재여서 여름에도 입을 수도 있을 거 같고 겨울에는 레이어드로도 가능할 거 같아요 활용성도 좋고 굿초이스입니다,"활용 성도, 소재, 기대하다, 가능하다, 블레이저, 레이어드, 겨울, 기장"
허리가 조금 피했으면 좋았을 텐데 쪼금 아쉽네요,"허리, 피, 쪼금, 아쉽다"
차려입을 일이 생겨서 구매했는데 너무 만족스럽게 입고 있어요 생각보다 두꺼운 느낌은 좀 있지만 괜찮을 거 같아요,"만족, 생기다, 차려입다, 두껍다"
사이즈 잘 맞고 시원하고 좋다고 하네요 남동생 사줬는데 베이직하게 잘 입겠다고 합니다,"시원하다, 사이즈, 베이직, 남동생, 사주다, 맞다"
정장 옷걸이가 같이 딸려옴 길이는 일반적인 M에 비해 살짝 긴 편인데 릴랙스드핏인거 감안하면 적당함,"일반, 적당하다, 정장, 감안, 편, 비다, 길이, 걸이"
역시 무탠다드 무난 무난하네요 핏도 좋고 추천합니다,"무난, 추천, 무난, 핏"
여유 입게 입는 거 좋아해서 XL를 주로 구매하는데 이거는 L가 딱 맞고 핏도 이쁘네요,"가다, 핏, 좋아하다, 맞다"
너무 멋있고 멋있게 입기 좋은 것 같아요 잘 입도록 할게요,"멋있다, 멋있다"
여름 버전을 찾고 있었는데 비교적 얇고 격식 차려야 할 자리에 괜찮아요,"버전, 격식, 비교, 자리, 여름, 찾다, 차려, 얇다"
한 사이즈 크게 살 걸 그랬어요 급해서 교환은 못 했습니다 옷 자체는 마음에 들어요,"사이즈, 급하다, 교환, 자체, 크게, 그렇다"
여름에 입기 살짝 두껍지만 그래도 시원해서 좋습니다,"시원하다, 여름, 두껍다"
기본 재킷보단 시원할 거 같은데 한여름에도 통할지는 모르겠으나 이쁨 딱 맞게 입으려고 L 갔음,"통, 시원하다, 한여름, 기본, 모르다, 맞다, 가다"
여름에 교생실습 나가서 구매했는데 막상 다른 후기처럼 보니 초여름엔 못 입겠더라고요 그리고 어좁이라 그런가 소매 쪽이 조금 길어 보이긴 하는데 그래도 딱 적당히 잘 나와서 좋고 여긴 항상 포장 잘 되어서 와서 너무 맘에 둠,"나오다, 어좁, 오다, 적당하다, 교생실습, 막상, 항상, 런가, 길다"
원단은 얇아서 한여름에 입기 좋아요 같은 쿨 탠다다 슬랙스랑 셋업으로 입기 좋습니다 핏은 슬림 하지도 않고 오버하지도 않은 그냥 딱 베이직합니다,"베이 직하다, 오버, 슬랙스, 원단, 한여름, 슬림, 탠다, 그냥"
재질 좋고 시원한 재질이라 좋아요 안에 반팔에 입기 좋은 거 같아요,"재질, 재질, 시원하다, 팔"
캐주얼하게 입으려 했는데 생각보다 드레시합니다 어깨 부분이 좀 좁아 보여서 아쉽지만 가성비는 좋습니다,"캐주얼, 가성비, 드 레시, 보, 좁다, 부분"
사이즈도 너무 좋고 어디에나 잘 묻는 색이라 참 좋아요,"사이즈, 색, 묻다"
추천합니다 다양한 색상 출시 다양한 쿨탠다드 출시 기대합니다 여름에 입기 좋아요 가성비 최고예요,"추천, 기대하다, 가성비, 출시, 색상, 여름, 최고"
