Review,Processed_Review,common_keywords_all,common_keywords_3_plus
163 기준 여자가 입었을 때 많이 커요 오버핏으로 입으려고 했는데 핏으로 크게 입은 게 아니라 그냥 큰 느낌! 체구 작으신 분들 사실 때 참고하시면 좋을 것 같아요 저는 디자인이랑 색감 재질 모든 면에서 완벽하게 제 취향이라 사이즈 무시하고 입었습니다 .. 아주아주 만족해요 ( ⚯̫ ),기준 여자가 입었을 때 많이 커요 온 버핏으로 입으려고 했는데 핏으로 크게 입은 게 아니라 그냥 큰 느낌 체구 작으신 분들 사실 때 참고하시면 좋을 것 같아요 저는 디자인이랑 색감 재질 모든 면에서 완벽하게 제 취향이라 사이즈 무시하고 입었습니다 아주아주 만족해요,,"디자인, 무시, 사이즈, 색감, 아주아주, 여자, 참고, 취향, 크다"
배송은 예약배송이라 조금 걸렸지만 얇아서 지금 입기에도 적당하고 핏도 예뻐서 만족스럽습니다! ,배송은 예약배송이라 조금 걸렸지만 얇아서 지금 입기에도 적당하고 핏도 예뻐서 만족스럽습니다,,"걸리다, 만족스럽다, 배송, 얇다, 적당하다, 핏"
옷이 얇고 가볍고 낭낭한 핏이라 편하고 시원해서 손이 자주 가네요,옷이 얇고 가볍고 낭랑한 핏이라 편하고 시원해서 손이 자주 가네요," 가볍다,  시원하다,  얇다,  가다","가다, 가볍다, 낭랑하다, 손, 시원하다, 얇다, 편하다, 핏"
주머니 짝짝이인 불량 상품 예약배송으로 받았는데  기다린 만큼 바로 입으려고 세탁하고 발견했습니다 애초에 불량인 상품인데 교환환불 안해주겠다네요 쪽팔려서 입지도 못하겠어요 다시는 파르티멘토 안살거 같아요 여러분도 구매하실때 다시 생각해보세요 불량 받아도 환불 못 받으니까요^^,주머니 짝짝이인 불량 상품 예약배송으로 받았는데 기다린 만큼 바로 입으려고 세탁하고 발견했습니다 애초에 불량인 상품인데 교환 환불 안 해주겠다네요 쪽팔려서 입지도 못하겠어요 다시는 바르티 멘토 안 살 거 같아요 여러분도 구매하실 때 다시 생각해 보세요 불량 받아도 환불 못 받으니까요,,"교환, 다시다, 못, 받다, 상품, 세탁, 애초, 입지, 주머니, 쪽팔리다, 환불"
각 잡힌 셔츠가 안 어울리는 편인데 이거는 후들후들한 소재감 덕분인지 잘 어울리더라구요. 단추 풀어서 입으나 잠가서 입으나 핏 다 예쁩니다. 활용도가 엄청 높은 셔츠!!,각 잡힌 셔츠가 안 어울리는 편인데 이거는 후들후들한 소재감 덕분인지 잘 어울리더라고요 단추 풀어서 입으나 잠가서 입으나 핏 다 예쁩니다 활용도가 엄청 높은 셔츠,,"단추, 덕분, 셔츠, 인지, 잠그다, 잡히다, 풀다"
왜 안사요???? 얼른 사세요 다들 너무 이뻐요 여름에도 이쁜옷 입어보아요,왜 안 사요 얼른 사세요 다들 너무 이뻐요 여름에도 이쁜 옷 입어보아요,,"사, 얼른, 여름, 입어보다"
겨울에도 패딩 안에 반팔입고 다니는 열많은인간이라 여름옷이 아주 골ㅊㅣ아팠던 터였다죠 .. 그러던 중 이걸 샀는데 개얇고 나풀나풀한데 후줄그레하진 않고 너무 좋은 겁니다   (여름옷의 숙명 : 시원하면 후줄그레. 단정하면 개더움)  여름옷의 숙명을 드디어 벗어던졌어요.  괜찮은 다른 컬러 있으면 바로 살 겁니다,겨울에도 패딩 안에 반팔 입고 다니는 열 많은 인간이라 여름 옷이 아주 골 아팠던 터였다죠 그러던 중 이걸 샀는데 개얇고 나풀나풀 한데 후줄근하진 않고 너무 좋은 겁니다 여름 옷의 숙명 시원하면 후줄근 단정하면 개더 움 여름 옷의 숙명을 드디어 벗어던졌어요 괜찮은 다른 컬러 있으면 바로 살 겁니다, 숙명,"개다, 나풀나풀, 숙명, 여름, 후줄근하다"
원하던 반팔셔츠라 기대하고 구매했는데 딱 원하는 스타일이네요,원하던 반팔 셔츠라 기대하고 구매했는데 딱 원하는 스타일이네요,,"기대하다, 셔츠, 스타일, 원하다, 팔"
약간 까슬한 면이고 두께는 얇아요! 그치만 엄청 시원한 소재까지는 아닌것 같아요! 딱 원하던 핏이어서 맘에 듭니다~,약간 까슬한 면이고 두께는 얇아요 그렇지만 엄청 시원한 소재까지는 아닌 것 같아요 딱 원하던 핏이어서 맘에 듭니다,,"까슬하다, 두께, 소재, 시원하다, 아니다, 얇다, 원하다, 이고"
요즘 체크패턴 셔츠 정말 가지고 싶었는데 에구머니나 마침 이렇게 이쁜 제품 발견! 한여름에도 입을수있는 얇기에요 안에 이너 없이 맨살에 입는거 추천추천 막 추천,요즘 체크 패턴 셔츠 정말 가지고 싶었는데 에구머니나 마침 이렇게 이쁜 제품 발견 한여름에도 입을 수 있는 얇기예요 안에 이너 없이 맨살에 입는 거 추천 추천 막 추천,,"마침, 발견, 살, 셔츠, 얇다, 에구머니, 이너, 추천, 한여름"
"🪄찐 솔직후기🪄  🔢사이즈 : 173/63 = 핏, 기장 완벽 🚚배송 : 예약 배송이어서 기다렸지만 출고되고 빠르게 도착! 👕디자인 : 팔 접고 단추 메는 포인트가 아주 마음에 들고 너무 벙벙하지 않은 핏이라서 만족! 🎨색감 : 화면가 같음! 💵가격 : 가성비가 너무 좋음!(합리적 가격)  🎁마지막 평 : 가격, 디자인, 활용도 생각하면 충분히 좋은 제품이라서 추천! 실밥은 아마 제가 뽑기를 못한거 같은데 그래도 만족!",찐 솔직 후 기 사이즈 핏 기장 완벽 배송 예약 배송이어서 기다렸지만 출고되고 빠르게 도착 디자인 팔 접고 단추 메는 포인트가 아주 마음에 들고 너무 벙벙하지 않은 핏이라서 만족 색감 화면 가 같음 가격 가성비가 너무 좋음 합리적 가격 마지막 평 가격 디자인 활용도 생각하면 충분히 좋은 제품이라서 추천 실밥은 아마 제가 뽑기를 못한 거 같은데 그래도 만족,,"가격, 디자인, 배송, 벙벙하다, 사이즈, 솔직, 실밥, 아마, 완벽, 추천, 활용"
맨살에 입어도 따갑지 않아서 좋아요 휘뚜루 마뚜루 입을만 합니다,맨살에 입어도 따갑지 않아서 좋아요 휘뚜루마뚜루 입을만합니다,,"따갑다, 휘뚜루마뚜루"
체크무늬인데 공대느낌 덜 나서 좋은거같아요 귀엽,체크무늬인데 공대 느낌 덜 나서 좋은 거 같아요 귀엽,,"공대, 귀엽다, 나서다, 무늬, 체크"
좋아요 생각보다 훨 크게 나온거같긴한데 그래도 입을만해요 짱 편한듯,좋아요 생각보다 훨씬 크게 나온 거 같긴 한데 그래도 입을만해요 짱 편한 듯, 크게,"나오다, 만해, 크게, 편하다"
"3만원에 이 정도 퀄리티랑 핏이면 솔직히 가성비라고 생각합니다. 올 여름 시원하게 많이 입고, 내년에 안 질리면 계속 입어야지요 만족합니다.!",만 원에 이 정도 퀄리티랑 핏이면 솔직히 가성비라고 생각합니다 올여름 시원하게 많이 입고 내년에 안 질리면 계속 입어야지요 만족합니다, 가성비,"가성비, 내년, 라고, 만족하다, 솔직하다, 시원하다, 질리, 퀄리티"
오버핏으로 입기 좋아요! 여름 아우터처럼 걸쳐도 예쁘고 와이드핏 팬츠에는 일반 셔츠로 입어주면 귀여워요. 재질이 살에 붙는 재질이 아니라서 시원하고 좋아요!,온 버핏으로 입기 좋아요 여름 아우터처럼 걸쳐도 예쁘고 와이드 핏 팬츠에는 일반 셔츠로 입어주면 귀여워요 재질이 살에 붙는 재질이 아니라서 시원하고 좋아요," 재질,  아우터","귀엽다, 셔츠, 아니다, 아우터, 에는, 와이드, 재질, 처럼, 팬츠"
마감은 살짝 아쉽지만 핏이나 소매 디테일이 너무 맘에 듭니다,마감은 살짝 아쉽지만 핏이나 소매 디테일이 너무 맘에 듭니다,,"디테, 마감, 소매, 아쉽다, 핏"
셔츠 얇고 예뻐요! 여름에 입기 시원해서 좋은 것 ㅐ같아용,셔츠 얇고 예뻐요 여름에 입기 시원해서 좋은 것 같아요, 얇다,"셔츠, 시원하다, 얇다, 여름"
항상 좋아하던 브랜드에서 나온 제품이라서 믿고 구매할 수 있었어요 만족하고 다른컬러도 구매하고 싶을 정도로 만족합니다,항상 좋아하던 브랜드에서 나온 제품이라서 믿고 구매할 수 있었어요 만족하고 다른 컬러도 구매하고 싶을 정도로 만족합니다,,"나오다, 만족하다, 믿다, 브랜드, 제품, 좋아하다, 컬러, 항상"
"배송이 생각보다 느렸던게 아쉽지만 옷은 휘뚤마뚤템이에요 대신 사람많은곳 가면 마주치기 쉬움,, 하지만 후들거리는게 맘에들어요 여름템으로 잘 입을듯 여자는 뮤조건 젤 작은 사이즈로 사세요 본인 떡대 쩔지만 넉넉해요",배송이 생각보다 느렸던 게 아쉽지만 옷은 휘뚤마뚤템이에요 대신 사람 많은 곳 가면 마주치기 쉬움 하지만 후들거리는 게 맘에 들어요 여름 템으로 잘 입을 듯 여자는 무조건 젤 작은 사이즈로 사세요 본인 덩치 절지만 넉넉해요,,"넉넉하다, 느리다, 대신, 덩치, 무조건, 배송, 여자, 휘뚤마뚤"
단추도 싸구려~색감좋아보여서 선택했는데 확실히 가격이 낮아서 그런가 딘추부터ㅜ바느질까지 싼티가 팍팍나네요,단추도 싸구려 색감 좋아 보여서 선택했는데 확실히 가격이 낮아서 그런가 딘 추부 터 바느질까지 싼 티가 팍팍 나네요," 런가,  확실하다,  싸구려","가격, 나다, 낮다, 단추, 런가, 바느질, 선택, 싸구려, 여서, 확실하다"
엄청 시원하고 어디든 잘 어울려서 여름에 잘 입었어여 남성용이라 엄청 클 줄 알았는데 적당히 잘 맞았습니다 !,엄청 시원하고 어디든 잘 어울려서 여름에 잘 입었어요 남성용이라 엄청 클 줄 알았는데 적당히 잘 맞았습니다," 적당하다,  여름","남성, 맞다, 시원하다, 알다, 어울리다, 여름, 적당하다, 크다"
링클소재라 가볍고 단독으로도 좋을거 같은데 전 아우터처롬 걸쳐봤구요 체크패턴이 톤앤톤 느낌이라  무난하게 여기저기 매치하기 좋은거 같아요!!,링클 소재라 가볍고 단독으로도 좋을 거 같은데 전 아우터처롬 걸쳐봤고요 체크 패턴이 톤앤톤 느낌이라 무난하게 여기저기 매치하기 좋은 거 같아요,,"가볍다, 단독, 매치, 무난, 소재, 여기저기, 으로도, 톤앤톤, 패턴"
내가 원했던 시골 농촌 소년 느낌. 그런데 한 줌의 트렌드를 넣은... 내년 여름에 요기나게 입을 수 있겠어요 어느 바지든 다 잘 어울리는 거 같아요,내가 원했던 시골 농촌 소년 느낌 그런데 한 줌의 트렌드를 넣은 내년 여름에 요기나게 입을 수 있겠어요 어느 바지든 다 잘 어울리는 거 같아요,,"나다, 내, 내년, 농촌, 바지, 소년, 시골, 원하다, 트렌드"
핏은 너무 예뻐요 원단도 시원하고 좋아요 그대신 박음질이 너무 엉성하네요ㅜ벌써 단추구멍이 튿어졌어요 예뻐서 그냥 제가 다시 꼬매서 입고있어요..,핏은 너무 예뻐요 원단도 시원하고 좋아요 그 대신 박음질이 너무 엉성하네요 벌써 단춧구멍이 뜯어졌어요 예뻐서 그냥 제가 다시 꿰매서 입고 있어요, 박음질,"구멍, 다시, 대신, 뜯다, 박음질, 벌써, 성하다, 원단"
전체적으로 기장이 좀 더 길었으면 하는 아쉬움이 있네요,전체적으로 기장이 좀 더 길었으면 하는 아쉬움이 있네요, 기장,"기장, 길다, 아쉬움, 전체"
완전 모델핏처럼은 안나오지만 소매를 풀어서 입으니 비슷한 느낌이 나네요! 생각했던거보다 얇아서 시원해서 좋고 이 가격에 이정도 핏감이랑 디자인 너무 만족합니다,완전 모델핏처럼은 안 나오지만 소매를 풀어서 입으니 비슷한 느낌이 나네요 생각했던 거보다 얇아서 시원해서 좋고 이 가격에 이 정도 핏 감이랑 디자인 너무 만족합니다,,"가격, 나다, 나오다, 디자인, 만족하다, 모델핏, 소매, 시원하다, 얇다, 처럼은, 풀다"
원단도 너무 시원하고 핏도 너무 시원해보여서 좋아요 이번여름 편하게 걸치고 나갈 옷 1티어입니다,원단도 너무 시원하고 핏도 너무 시원해 보여서 좋아요 이번 여름 편하게 걸치고 나갈 옷 티어입니다, 원단,"걸, 보, 시원하다, 여서, 원단, 치고, 편하다, 핏"
배송은 다소 오래 걸렸지만 옷 자체는 가격대비 이뻐요,배송은 다소 오래 걸렸지만 옷 자체는 가격 대비 이뻐요,,"가격, 걸리다, 대비, 배송, 자체"
체크무늬 셔츠 비싸지 않은 가격으로 잘 구매한거 같아요 핏도 너무 이쁘고 반팔 롤업을 잡아주는것도 있어서 너무 좋았어요 여름에 시원하게 입을 수 있을거 같아요!,체크무늬 셔츠 비싸지 않은 가격으로 잘 구매한 거 같아요 핏도 너무 이쁘고 반팔 롤업을 잡아주는 것도 있어서 너무 좋았어요 여름에 시원하게 입을 수 있을 거 같아요,,"가격, 롤업, 셔츠, 시원하다, 여름, 잡다, 핏"
후루룩 입기 좋아요 가볍고 소매 옆 단추가 잇어서 롤업이 유지되는 디테일 최고,후루룩 입기 좋아요 가볍고 소매 옆 단추가 있어서 롤업이 유지되는 디테일 최고," 소매,  디테일","가볍다, 단추, 디테일, 롤업, 소매, 유지, 후루룩"
항상 믿고 구매합니다 배송 빠르고 너무 좋습니다,항상 믿고 구매합니다 배송 빠르고 너무 좋습니다, 빠르다,"믿다, 배송, 빠르다, 항상"
얇아서 한여름에도 무조건 가능하고 일단 이쁩니다,얇아서 한여름에도 무조건 가능하고 일단 이쁩니다,,"가능하다, 무조건, 얇다, 한여름"
색감도 무난하고 핏도 좋아요 ㅎ 어떤 바지에 매치해도 잘어울릴거같아요,색감도 무난하고 핏도 좋아요 어떤 바지에 매치해도 잘 어울릴 거 같아요, 바지,"매치, 무난, 바지, 색감, 어떻다, 어울리다, 핏"
원단도 얇고 시원해서 여름에 입기 딱 좋아요! 흰 티에 막 걸쳐주기만 해도 베스트 코디 뚝딱입니다. 추천해요!,원단도 얇고 시원해서 여름에 입기 딱 좋아요 흰 티에 막 걸쳐주기만 해도 베스트 코디 뚝딱입니다 추천해요,,"걸치다, 베스트, 시원하다, 얇다, 여름, 원단, 추천, 코디, 티, 해도"
핏도 넉넉하고 너무 이쁩니다 좋은가격에 좋은 상품이라고 생각합니더! ,핏도 넉넉하고 너무 이쁩니다 좋은 가격에 좋은 상품이라고 생각합니다, 상품,"가격, 넉넉하다, 상품, 핏"
"색감이 진짜 미쳤어요ㅠㅠ 무채색 러버들 완전 취향저격 여름 코디가 한정적이라 포인트 주기 힘든데,, 이 셔츠 하나만으로도 포인트가 돼서 반팔 셔츠 찾고 계신 분들 구매 추천드려요!!",색감이 진짜 미쳤어요 무채색 러버들 완전 취향 저격 여름 코디가 한정적이라 포인트 주기 힘든데 이 셔츠 하나만으로도 포인트가 돼서 반팔 셔츠 찾고 계신 분들 구매 추천드려요, 무채색,"러버, 만으로도, 무채색, 색감, 포인트, 하나, 한정"
롤업 하프 셔츠라 핏이 러프하게 잘 나와서 좋은 거 같아요 다만 입었을 때 일부러 각이 잡혀져 있는 건지 밑으로 가면서 배 부분이 넓어져서 튀어나온 거 같이 보여요,롤업 하프 셔츠라 핏이 러프하게 잘 나와서 좋은 거 같아요 다만 입었을 때 일부러 각이 잡혀 있는 건지 밑으로 가면서 배 부분이 넓어져서 튀어나온 거 같이 보여요,,"가면, 건지다, 나오다, 러프, 롤업, 보이다, 셔츠, 일부러, 잡히다, 튀어나오다, 하프"
배송 빠르고 옷 디자인도 너무 예뻐요 쥬름 디테일도 좋아요!,배송 빠르고 옷 디자인도 너무 예뻐요 주름 디테일도 좋아요," 디자인,  배송","디자인, 배송, 빠르다, 일도, 주름"
얇은 체크 패턴 셔츠 사고 싶어서 찾아보던 중에 가성비로 괜찮아보여서 재입고까지 오래 기다려 겨우 받았습니다 배송은 많이 느렸지만 옷 자체는 생각보다 핏도 좋고 질감도 좋아요! 초가을까지 열심히 입을 수 있을 것 같습니다~~,얇은 체크 패턴 셔츠 사고 싶어서 찾아보던 중에 가성비로 괜찮아 보여서 재입고까지 오래 기다려 겨우 받았습니다 배송은 많이 느렸지만 옷 자체는 생각보다 핏도 좋고 질감도 좋아요 초가을까지 열심히 입을 수 있을 것 같습니다,,"가성비, 기다리다, 배송, 셔츠, 오래, 질감, 찾아보다, 체크, 초가을, 핏"
진짜 얇아서 여름에 너무 시원하게 입었어요 옷이 어두운 색이라 살이 비칠걱정은 없어요 소재도 부드러워서 좋아요,진짜 얇아서 여름에 너무 시원하게 입었어요 옷이 어두운색이라 살이 비칠 걱정은 없어요 소재도 부드러워서 좋아요," 시원하다,  소재,  여름","걱정, 부드럽다, 살이, 소재, 시원하다, 얇다, 어두운색, 없다, 여름"
쭈글거리는 텍스쳐가 맘에들고 포인트가 되는 것 같습니다. 하지만 가격이 가격인지라 몇 번 입으니 보풀이 좀 일어나네요. 그래도 이 가격대에 이런 디자인이면 후회는 안 합니다.,쭈글거리는 텍스처가 맘에 들고 포인트가 되는 것 같습니다 하지만 가격이 가격인지라 몇 번 입으니 보풀이 좀 일어나네요 그래도 이 가격대에 이런 디자인이면 후회는 안 합니다, 디자인,"가격, 디자인, 보풀, 이렇다, 인지, 일어나다, 텍스처, 포인트"
"제주 여행에서 잘 입었어요! 이런 스타일도 좋아하지만 다른 스타일을 더 좋아해 자주 입지 않는데, 이 옷은 자주 입을 것 같아요 너무 이쁩니다",제주 여행에서 잘 입었어요 이런 스타일도 좋아하지만 다른 스타일을 더 좋아해 자주 입지 않는데 이 옷은 자주 입을 것 같아요 너무 이쁩니다,,"스타일, 이렇다, 입지, 제주"
링클가공이랑 색감이랑 맥시한 핏감이랑 다 자연스럽고 빈티지한느낌으로 너무 이뻐요 요즘 느낌  날도 뜨거운데 시원하고 가성비 뒤집니당 ,링클 가공이랑 색감이랑 맥시 한 핏 감이랑 다 자연스럽고 빈티지한 느낌으로 너무 이뻐요 요즘 느낌 날도 뜨거운데 시원하고 가성비 뒤집니다, 가성비,"가공, 가성비, 날, 링클, 맥시, 빈티, 색감, 시원하다, 자연스럽다"
여름에 입을 가벼운 체크 난방을 고르고 있었는데 합리적인 가격대에 놀란 제품입니다. 오버 핏으로 연출 하고 싶어서 L사이즈로 구매했고 어께 너비는 예쁘게 떨어져서 너무 좋았구요 기장은 생각 보다 짧았지만 적당한 맛이였어요.,여름에 입을 가벼운 체크 난방을 고르고 있었는데 합리적인 가격대에 놀란 제품입니다 오버 핏으로 연출하고 싶어서 L 사이즈로 구매했고 어깨 너비는 예쁘게 떨어져서 너무 좋았고요 기장은 생각 보다 짧았지만 적당한 맛이었어요,,"기장, 난방, 너비, 오버, 제품, 짧다, 합리"
가성비로 편한 반팔셔츠 입었습니다! 근데 좀 잘 구겨지는 재질,가성비로 편한 반팔 셔츠 입었습니다 근데 좀 잘 구겨지는 재질,,"가성비, 구기다, 셔츠, 재질, 팔, 편하다"
재질이 바람이 잘통하는 재질이라 여름에 입으면 시원합니당 핏도 넓찍하게 나와서 좋네용,재질이 바람이 잘 통하는 재질이라 여름에 입으면 시원합니다 핏도 널찍하게 나와서 좋네요, 바람,"나오다, 바람, 시원하다, 여름, 재질, 통, 핏"
재질 : 가벼워요. 주름진 상태에서 계속 유지되서 좋아요 스타일링팁 : 품이랑 길이가 크고 긴 편이라서 저는 넣어입어요 구매한 이유 : 세일해서 가성비 좋아요 착용감 : 입은 듯 입은 듯 해요 무게 : 엄청 가벼워요  추천해요,재질 가벼워요 주름진 상태에서 계속 유지돼서 좋아요 스타일링 팁 품이랑 길이가 크고 긴 편이라서 저는 넣어 입어요 구매한 이유 세일해서 가성비 좋아요 착용감 입은 듯 입은 듯해요 무게 엄청 가벼워요 추천해요, 세일,"가볍다, 가성비, 무게, 상태, 세일, 스타, 유지, 일링, 재질, 추천"
파르티멘토 옷이 너무 이쁘기도하고 가격도 너무 착해서 자주 구입하는 편인데 이번에도 실망시키지 않고 좋은제품 만들어주신거 같습니다. 여름에 입기 너무 좋아요.,바르티 멘토 옷이 너무 이쁘기도 하고 가격도 너무 착해서 자주 구입하는 편인데 이번에도 실망시키지 않고 좋은 제품 만들어주신 거 같습니다 여름에 입기 너무 좋아요, 가격,"가격, 기도, 멘토, 실망, 여름, 착하다"
굳굳 가성비 제퓸으로 너무 만족 합니다!! 다들 구매 하십쇼,굳굳 가성비 제품으로 너무 만족합니다 다들 구매하십쇼, 가성비,"가성비, 만족하다, 쇼, 제품"
 이너티 안입어도 될만큼 재질이 너모나 부드럽고 흐물흐물 거려서 마음에 들어요! 다만 다른 셔츠에 비해서 어깨가 좁아보일 수 있어요! (원래도 좁지만) 두께는 얇고 시원해서 여름에 입기 좋습니다.   ,이너 티 안 입어도 될 만큼 재질이 너 모나 부드럽고 흐물흐물 거려서 마음에 들어요 다만 다른 셔츠에 비해서 어깨가 좁아 보일 수 있어요 원래도 좁지만 두께는 얇고 시원해서 여름에 입기 좋습니다, 부드럽다,"거려, 두께, 부드럽다, 얇다, 어깨, 여름, 원래, 재질, 좁다"
사실 4점을 준 이유는 마감과 부자재인데 뭘 바랄 가격은 아니지만 아쉽긴 합니다 옷 자체는 이쁘네요,사실 점을 준 이유는 마감과 부자재인데 뭘 바랄 가격은 아니지만 아쉽긴 합니다 옷 자체는 이쁘네요,,"가격, 마감, 바라다, 사실, 아니다, 아쉽다, 이유, 자체"
패턴도 이쁜데 소매옆에 단추끼우는 포인트가 맛도리네요.. 지금뷰터 여름에까지 시원하게 잘 입어보겠숩니둥,패턴도 이쁜데 소매 옆에 단추 끼우는 포인트가 맛 도리네요 지금부터 여름에까지 시원하게 잘 입어보겠숩니둥, 소매,"끼우다, 단추, 도리, 소매, 시원하다, 에까지, 옆, 입어보다, 패턴, 포인트"
남편은 팔 기장이 아쉽다고 하는데 저는 예뻐보이더라구용,남편은 팔 기장이 아쉽다고 하는데 저는 예뻐 보이더라고요,,"기장, 남편, 보이다, 아쉽다"
롤업해서 입으니 완전 반함 ..!! 원래 사이즈를 크게 입는편이라 L 구매했어요 -! 얇고 가벼워서 더운여름에 딱일꺼같네요 강추 !! 너무 마음에 듭니당,롤업 해서 입으니 정말 반함 원래 사이즈를 크게 입는 편이라 L 구매했어요 얇고 가벼워서 더운 여름에 딱일 거 같네요 강추 너무 마음에 듭니다, 사이즈,"가볍다, 강추, 덥다, 딱이다, 롤업, 사이즈, 원래, 크게, 편이"
핏더사이즈를 보고 구매를 했는데 여름에 편하게 입기 너무 좋을것 같습니다 추천해요,피더 사이즈를 보고 구매를 했는데 여름에 편하게 입기 너무 좋을 것 같습니다 추천해요," 여름,  사이즈","보고, 사이즈, 여름, 추천, 편하다"
총장이 길거라고 생각했는데 총장은 괜찮고 품이 좀 커서 어벙한 느낌이지만 3만원대에 체크반팔셔츠 입문용으론 괜찮은 것 같아요,총장이 길 거라고 생각했는데 총장은 괜찮고 품이 좀 커서 어벙한 느낌이지만 만 원대에 체크 반팔 셔츠 입문용으론 괜찮은 것 같아요,,"라고, 셔츠, 어벙, 원대, 입문, 총장, 커서, 팔"
가성비로 즐기기 좋은거 같아요 마감이 너무 아쉽네요 부자재도 그렇고 얋아서 여름에도 가능할거 같습니다,가성비로 즐기기 좋은 거 같아요 마감이 너무 아쉽네요 부자재도 그렇고 얇아서 여름에도 가능할 거 같습니다,,"가능하다, 가성비, 그렇다, 마감, 아쉽다, 얇다, 여름, 즐기다"
상품이 생각한거보다 짧아서 당황했지만 제품은 쉬원하고 좋았어요 하지만 바람불면 배꼽이 보일거같은… 사이즈는 오버하게 가는게 좋아보여요,상품이 생각한 거보다 짧아서 당황했지만 제품은 시원하고 좋았어요 하지만 바람 불면 배꼽이 보일 거 같은 사이즈는 오버하게 가는 게 좋아 보여요,,"당황, 바람, 보이다, 불면, 사이즈, 상품, 제품, 짧다"
가성비 좋은 셔츠 지나가다 동일 옷 여럿 볼 수 있는 단점 제외 큰 단점 없음,가성비 좋은 셔츠 지나가다 동일 옷 여럿 볼 수 있는 단점 제외 큰 단점 없음, 동일,"가성비, 단점, 동일, 셔츠, 없다, 여럿, 제외, 지나가다"
부담스럽지 않은 체크무늬에 가성비로 입기 좋아요,부담스럽지 않은 체크무늬에 가성비로 입기 좋아요,,"가성비, 무늬, 부담"
단추를 제외한 재질 핏감 모든 부분에 만족합니다! 가격이 워낙 싸서 단추는 어쩔 수 없는 부분인거고 이번 여름 잘 활용 할 거 같아요.,단추를 제외한 재질 핏 감 모든 부분에 만족합니다 가격이 워낙 싸서 단추는 어쩔 수 없는 부분인 거고 이번 여름 잘 활용할 거 같아요,,"가격, 단추, 모든, 부분, 싸다, 여름, 재질, 활용"
편하게 입기 좋은 체크셔츠입니다. 여름내내 입고 싶어지네요. 배송만 아쉬웠습니다.,편하게 입기 좋은 체크 셔츠입니다 여름 내내 입고 싶어지네요 배송만 아쉬웠습니다, 배송,"배송, 셔츠, 아쉽다, 여름, 체크, 편하다"
가성비 체크 셔츠로 매우 좋습니다. 솔직히 가성비라는 말이 아쉬울 정도로 타 브랜드와 비교했을 때 품질이 떨어지지도 않고 오히려 더 예쁘다고 생각됩니다. 이런 가격에 이런 퀄리티면 2장 쟁여도 무방!  옷 마감은 전체적으로 준수한 편이었고 오자마자 몇 번 털면 실밥도 다 떨어집니다. 블프 때 구매해서 택이 같이 안온 것은 아쉽지만 상품에 만족해서 괜춘! 여름마다 꺼내서 입을 것 같네요😆😆,가성비 체크 셔츠로 매우 좋습니다 솔직히 가성비라는 말이 아쉬울 정도로 타 브랜드와 비교했을 때 품질이 떨어지지도 않고 오히려 더 예쁘다고 생각됩니다 이런 가격에 이런 퀄리티 면 장 쟁여도 무방 옷 마감은 전체적으로 준수한 편이었고 오자마자 몇 번 털면 실밥도 다 떨어집니다 불프 때 구매해서 택이같이 안온 것은 아쉽지만 상품에 만족해서 괜춘 여름마다 꺼내서 입을 것 같네요,,"가성비, 무방, 비교, 셔츠, 실밥, 여름, 전체, 퀄리티, 품질"
