Processed_Review,keyword
저희 아들 센티에 한테 입힐려고 주문했는데 넘 늦게 왔네요 취업땜에 지방가서 담주나 되야 입을 수 있을 듯요 아쉬운데로 제가 착용해봤어요 루즈하니 나쁘지 않은데요 스타일리쉬 해 보이고 남친룩으로 좋아요,"입히다, 방가, 남친, 루즈, 보이, 센티, 담다, 아들"
사이즈도 좋고 재질도 좋은데 지퍼가 좀 아쉬워요,"재질, 사이즈, 지퍼, 아쉽다"
원하던 후드 집업을 찾았오 요 색감도 너무 예쁘고 기장감도 마음에 듭니다,"기장 감다, 원하다, 듭니, 집업, 색감, 후드, 찾다"
스타일은 잘 잡았지만 얇은 게 단점 그리고 지퍼가 스무스하게 내려가진 않음 그래도 이 뻐서 자주 입을 듯 합니다,"내려가다, 지퍼, 스타일, 스, 단점"
실물이 더 예쁘네요 제가 원하던 피그먼트 후드집업입니다,"후드 집업, 피그먼트, 실물, 원하다"
원단 자체도 하고 그냥 막 입어도 엄청 이 뻐욤 적당한 오버핏이고 과 하지 않아 좋습니 당 맘 애 들어서 그레이도 주문 했는데 블랙도 있었으면 좋겠어욤,"적당하다, 자체, 들어서다, 블랙, 그레이, 원단"
워싱감이 돋보이는 제품으로 가격 대비 질감은 괜찮습니다 하지만 후드 각은 잘 잡히지 않고 지퍼퀄이 좀 아쉽습니다,"워싱감, 지퍼 퀄, 잡히다, 질감, 제품, 대비, 가격, 후드"
가격 대비 퀄리티가 매우 좋은 것 같습니다 잘 입고 다닐 게요,"퀄리티, 대비, 가격"
오버핏이 정말 예술 생각보다 얇아서 저녁에 걸치고 나가도 덥지 않습니다 르세라 핌된 기분,"걸, 덥다, 저녁, 기분, 르세, 피다 되다, 오버핏"
비슷한 옷 벌은 되지만 피그먼트 느낌 적당하고 소매 절개 디테일도 포인트로 예뻐요 후드 무겁다는 분 많아서 고민했는데 그래서 주저앉지 않고 전 오히려 살아 있어서 좋으네요 한 여름 빼고 이너로 아우터로 교복템 될 듯합니다 다른 색도 구매 예정입니다,"적당하다, 아우 터, 디테 일도, 무겁다, 피그먼트, 벌다, 포인트"
디자인 워싱이 처리된 후드 집업이에 요 그래서 블랙 그레이의 오묘한 느낌이 같이 돌아서 막 입기 좋아요 유행 타지 않고 입기 좋은 느낌이에요 핏 오버핏이라서 평소 추구하는 이미지의 사이즈보다 한 사이즈 작게가도 충분히 예쁘게 입으실 수 있을 것 같아 요 투웨이 지퍼라서 어떻게든 매치하기 좋은 느낌이에요 진짜 추천합니다,"이미지, 매치, 추천, 충분하다, 사이즈, 오묘하다, 사이즈, 유행, 지퍼"
원단 워싱해서 그런지 칼라가 빈티지 스럽고 예뻐요 두께감도 간절기에 휘뚜르 마 뚜르 막 입 기 좋고 적당한 오버핏도 마음에 듭니다 배송 좀 늦은 거 빼고는 다 좋아요,"워싱해, 간절, 그렇다, 적당하다, 듭니, 스럽다, 칼라, 배송, 빈티"
색감이 예쁘게 잘 나와서 봄 가을에 자주 입을 거 같아요,"색감, 나오다, 가을"
마음에 들어서 회색이랑 차콜색 두 개 샀습니다 키 기준으로 엉덩이 위까지 오는 기장감이고 하단 부분 지퍼를 올릴 수 있어서 좋습니다 적당한 길이감에 소매가 길어서 좋고 가볍지 많고 후드도 크고 합니다,"엉덩이, 적당하다, 기장, 들어서다, 오다, 소매, 하단, 가볍다"
피그먼트 후드집업은 처음 시켜보는데 디테일이랑 피그먼트 특유의 느낌이 진짜 좋네요 편하게 입고 나가면 범죄자 같다고 친구들이 놀리지만 좀 깔끔하게 입으면 너무 이 뻐서 맘에 듭니다 자주 입고 다닐 거 같아요,"후드 집 업다, 친구, 피그먼트, 디테 일이, 놀리다, 듭니"
힙한 무드 나와서 좋습니다 시보리가 좀 약하긴 하지만 저는 개의 치 않아서 상관없네요,"나오다, 보리, 개, 힙, 무드, 약하다"
여유 있는 핏감에 옷핏 나쁘지 않습니다 아쉬운 건 원단이 하지가 않아 후드 모양이 각이 안 잡혀서 이 쁘지가 않네요,"원단, 잡히다, 여유, 후드, 핏감, 옷핏"
사이즈는 딱 적당하고 약간 무게감 있는 편이고 빈티지한 피그먼트 워싱감이 아주 좋습니다 이 가격에 이 정도 퀄리티라 만족합니다,"만족하다, 적당하다, 워싱감, 사이즈, 빈티, 피그먼트, 편이, 무게"
기대했던 핏은 아니지만 옷 자체는 예뻐요 색깔도 맘에 들고요,"아니다, 자체, 핏, 색깔, 기대하다"
다른 집업이랑 고민했었는데 요거 사길 잘한 것 같아요 옷 넘 예쁘고 맘에 들어 요 옷이 해서 루즈해 보이는데 모양이 잡혀 있어요,"집업, 잡히다, 자다, 루즈"
진짜 어떤 바지에 입어도 잘 어울림 젤 잘 입고 다니는 중,"바지, 어울림, 어떻다"
저는 일 걸렸는데 최근 좋은 가격 때의 배송 이슈 치고는 빨리 받은 것 같네요 안전 배송에 감사드리고 제품 상태도 좋은 편이였어요 정 사이즈에 가깝고 간절기 레이어드하기 좋은 아이템이라 만족합니다,"만족하다, 레이어 드하, 간절, 안전, 사이즈, 아이템, 이슈, 감사 드리다"
사진보다 조 오금 연해요 많이 두껍지도 얇지도 않아서 찐 봄이나 초가을쯤에 잘 입고 다닐 것 같아요,"봄, 사진, 연해, 오금, 초가을, 얇다"
예액 배송이라 배송이 늦게 온 게 아쉬워요 벌써 더워져서 많이 못 입을 거 같아 요 그래도 옷이 색도 빈티지한 게 이 쁘고 크게 나와서 오히려 좋았어요,"벌써, 배송, 빈티, 배송, 더워지다, 크게, 나오다"
챠콜 후드 집업 찾으시는 분들 중에서 이거보다 이쁜 가 찾기 힘드실 겁니다 너무 이 뻐요,"힘들다, 후드, 겁니다, 집업, 중, 챠콜, 찾다"
중딩 딸이 픽해서 사 줬어요 예약 구매로 일 이후에 출고 된 다 하였는데 빨리 입고가 되었는지 생각보다 배송이 무척 빨랐어요 진한 다크 그레이 컬러에 물 빠진 워싱이 자연스럽고 이후에 물이 빠져도 더 빈티지하고 이 쁠 거 같구 요 생각보다 무게감이 있고 도 톰해요 오버사이즈로 샀는데 맘에 들어 요,"자연스럽다, 오버 사이즈, 배송, 무척, 빈티 지하, 픽해, 무게"
일교차가 큰 요즘에도 아침 저녁으로 잘 입고 있습니다 암홀이 깊어서 살짝 가오리 핏인가 싶기도 한데 그냥 뭐 괜찮구요 다만 신경 쓰이는 건 세탁을 번이나 했는데 뭔가 이 옷에서 나는 특유의 냄새가 안 빠지네요 세탁 번에도 처음 컨디션 그대로 유지하는 건 대 만족,"교차, 유지, 번, 컨디션, 신경, 저녁, 뭔가, 아침, 번, 만족"
쿠폰으로 저렴하게 구매했어요 만족합니당 조아요,"만족하다, 저렴하다, 쿠폰"
이런 스타일 후드 하나 사고 싶었는데 지금부터 가볍게 걸쳐서 입 기 좋은 후드 입니다 지퍼 양 방향도 좋습니다 새 옷 냄새도 없고 여기저기 잘 어 울릴 것 같아 요 사이즈 사서 작으면 다른 사람 주려고 했는데 적당한 것 같습니다 소재는 좀 무거운 편이며 핏 예쁩니다 배송은 세일 때 사 서 그런 가 좀 느린 편이에요,"걸치다, 여기저기, 적당하다, 무겁다, 배송, 사이즈, 스타일, 사서, 지퍼"
사이즈 치고 작게 나온 편입니다 키 크 신 분들한테는 짧을 거 같아요,"분 늘다, 편입, 사이즈, 나오다, 작다, 짧다"
느낌 좋네요 모자가 너무 힘 없이 떨어지는 감이 있긴 한데 개의 친 않아요,"모자, 개, 떨어지다"
빈티지한 느낌에 사이즈도 딱 맞아서 아주 맘에 듭니다,"사이즈, 빈티, 듭니, 맞다"
색감이 마음에 들어서 주문했는데 딱 화면에서 보던 느낌 그대로의 옷이네요 겉으로 입나 안으로 입나 여기저기 입 기 좋을 꺼 같아 요 너무 맘에드네요,"에드, 색감, 여기저기, 들어서다, 화면, 그대로"
이 거 정말 예쁘고 디자인도 좋아요 배송도 빠르고 색감도 좋았습니다 사이즈도 딱 알맞게 산 거 같아 요,"사이즈, 디자인, 배송, 색감, 알맞다, 빠르다"
색깔 이쁘고 핏 오버하게 헐렁하게 이쁜 후드입니다 두텁고 무거워서 봄 가을에 입는 게 낫고 여름이라면 밤에 편의점 갈 때 반 바지랑 입으면 입어질 것 같습니다 품이 오버해서 이너를 따뜻하게 입으면 초겨울에도 입어 않을까 싶을 정도로 두텁습니다,"두텁다, 오버, 후드, 편의점, 두텁다, 헐렁하다"
색감이 이 뻐서 샀는데 기름 냄새 때문에 세탁기 돌리니 색 가임 더 빠졌어요,"색감, 세탁기, 가다, 돌리다, 냄새, 기름, 빠지다, 때문"
옷은 상당히 이쁜데 마감 처리가 아쉽네요 핏은 좋아요,"상당하다, 처리, 마감, 핏, 아쉽다"
올해 제일 잘 산 템임 진짜 원단도 하고 세탁기 막 돌려도 걱정이 안 될 정도로 너무 좋음 가을에도 잘 입을 듯,"걱정, 돌리다, 가을, 올해, 원단, 세탁기, 제일"
생각보다 너무너무너무 마음에 들고요 샀던 후드 집업 중에 제일 맘에 들어 요 빈티지한 느낌도 있고 어디다가 걸 치든 너무 예쁘고 잘 어울려 요배송이 늦은 건 조금 아쉬웠지만 예뻐서 용서됩니당,"배송, 어울리다, 다가, 빈티"
입기에 좀 크긴 했는데 오버핏으로 입 기 딱 좋아요 엉덩이 가려지는 정도 이 거 입으면 순간 내가 밤 양이 되는 기분,"엉덩이, 가려지다, 크다, 기분, 순간, 내"
워싱된 후드 집업 사고 싶었는데 좋은 가격에 잘 구매했습니다 핏 좋구요 무게감이 살짝 있어서 한 초봄 가을에 입 기 좋을 듯 합니다 지퍼가 생각보다 해서 아쉽네요,"무게, 후드, 집업, 지퍼, 초봄, 사고, 가격"
집업도 너무 이쁘다 전 줄 빼고 입었습니다 나이가 있어서,"집 업도, 나이, 빼다"
날씨가 더워져서 좀 늦게 산 감이 있지만 밤 산책용으로 잘 입고 있어요 마감 좋다는 후기를 봤는데 제 옷은 별로였어요 다른 후기들처럼 지퍼도 잘 안 올라가요 하지만 가격이 저렴해서 만족합니다,"날씨, 산책, 후기, 만족하다, 올라가다, 더워지다, 저렴하다, 가격, 마감"
