Processed_Review,keyword
얇고 활동하기에 무지 편합니다 착한 가격까지 만족합니다,"만족하다, 활동, 편하다, 무지, 착하다, 얇다, 가격"
마른 편입니다 사이즈 L 피팅 했는데 기장감 아웃핏 전부 마음에 드네요 두껍지 않은 나일론 소재라 더운 여름에도 반팔 위에 데일리 하게 걸쳐서 포인트를 줄 수 있을 것 같아요 상품 만족합니다,"만족하다, 사이즈, 마르다, 걸치다, 편입, 소재, 나일론, 덥다, 여름"
입으면 살짝 스포티해 보이고 엄청 슬림 해 보이는 것 같아요,"스포티, 보이, 보이다, 슬림"
나일론 재질이긴 한데 빳빳하지 않고 부드럽게 떨어지는 핏이라서 마음에 들어요 합리적인 가격에 잘 샀어요 보통 체격인데도 S사이즈 넉넉해서 여성분들은 S 하시면 될 듯 스트링 조이는 거보다 푸는 게 더 예 뿌요,"넉넉하다, 여성, 사이즈, 합리, 체격, 스트링, 재다, 조이다, 나일론"
이런 옷은 처음 입어보는데 사이즈 딱 맞고 좋아요,"입어보다, 사이즈, 이렇다, 처음, 맞다"
S사이즈로 샀는데 딱 몸에 맞아서 이쁜 핏으로 나와요 지퍼가 약간 별로 고 후드가 약간 큰 감이 있긴 한데 나름대로 엄청 이쁘고 힙하보여요 흰 반팔 티에 간단하게 입어도 엄청 멋있서 진짜 최고 아이템 될 듯합니다 다만 한여름엔 바람이 막혀서 좀 덥다는 점만 감안하면 진짜 살만한 제품입니다,"힙 보이다, 막히다, 감안, 제품, 나오다, 살, 점, 지퍼"
사이즈는 s 지만 넉넉해서 좋아요 안 입은 거처럼 가볍고 얇아서 여름에 입기 딱이네요 주머니 없는 옷 입을 때 걸쳐야겠어요 딱 찾는 옷인데 세일 기간에 사서 만족합니다,"만족하다, 사이즈, 넉넉하다, 주머니, 사서, 가볍다"
너무 예쁘지 않나요 제 눈에만 그런 건가요 너무 만족하고 이걸 왜 이제 샀나 싶었습니다 오래 기다린 만큼 만족도 높아요 아 역시 갓르티멘토 절 실망시키지 않는군요,"실망, 만족하다, 만족도, 걸, 건가, 그렇다, 이제"
여름용 아우터로 얇아서 포인트 주기에 정말 좋아요,"여름, 아우터, 포인트, 주기, 얇다"
얇은 베스트 찾고 있었는데 바르티 멘토 가성비 너무 좋아요 시원합니다,"시원하다, 가성비, 바르다 티, 베스트, 멘토, 찾다, 얇다"
중간에 배송 좀 걸리긴 했지만 그래도 싼 가격에 입문용으로 좋은 거 같아요,"입문, 걸리다, 배송, 중간, 가격"
베스트 처음 구매해 보는데 괜찮네요 다만 끈이 너무 깁니다,"처음, 베스트, 끈"
