Review,Keyword
저는 m사이즈 하니까 제가 원하는 길이 핏 딱 나오더라고요 저랑 같은 스펙이신 분들 참고하세요,"길이, 스펙, 핏, m사이즈"
맛 도리 바지예요 가성비 미쳤고 기장감 워싱감도 좋고 데일리 가성비 버뮤다 찾으신다면 강추입니다,"바지, 버뮤다, 가성비, 강추, 미치다, 맛, 워싱감, 도리, 기장감, 데일리"
너무 잘 만드신 거 같아요 무계는 보통이고 구매한 이유는 유향 따라가려고요 재질은 떡 좋습니다 감사합니다,
생각보다 좀 크고 핏 감이 아쉽긴 한데 하나쯤은 싸게 가지고 있기 좋아요,"핏, 아쉽다, 싸다, 하나쯤, 가지, 크다"
이뻐요 평이게 입을 수 있을 거 같고 핏도 귀 욥 뽀짝 해요 좋아요,"평이, 핏"
버뮤다 펜치 입문으로는 딱입니다 아래로 갈수록 퍼지는 라인이 좋습니다,"버뮤다, 퍼지다, 아래, 펜치, 라인, 입문"
생각한 것처럼 핏이 잘 나와서 좋고 여름에 자주 손이 갈 거 같아요,"핏, 손, 나오다, 갈다, 여름"
너무너무 커요 벨트 무조건 해야 댐 S로 시킬까 하지만 그래도 짱예뻥요,"짱뻥, 무조건, 댐, S, 벨트, 크다"
제 스펙에 M 했는데 허리가 진짜 진짜 작습니다 다른 분들 어떻게 입으셨는지 모르겠어요 L로 교환했습니다 저렴하게 샀는데 교환 비아 쉽 근데 배송은 엄청 느림,"저렴하다, 작다, 허리, 스펙, 배송, 느리다, 교환"
화면이랑 색감 디자인 똑같아요 사이즈 입는데 허리 널찍해서 벨트는 해야 하지만 무릎 딱 가려서 좋아요 다른 곳에서도 버뮤다 몇 번 사봤는데 트릴리니 온 바지가 가성비도 좋고 제일 만족합니다 다만 바지가 일자가 아닌 A자로 퍼지는 형태라 취향이 아니신 분은 참고하시면 좋을 것 같아요,"바지, 화면, 취향, 참고, 가성비, 디자인, A, 퍼지다, 허리, 색감, 사이즈, 무릎, 벨트, 형태, 가다, 널찍, 트릴"
S사이즈가 없어서 M사이즈 샀는데 허리가 조금 많이 크네요 근데 입어보니까 핏은 괜찮지만 저보다 모르시거나 키가 작으시면 진짜 클 거 같아요,"키, 핏, 작다, 허리, S사이즈, M사이즈, 크다"
역시 트릴리니 온 바지는 믿고 구매합니다 사이즈도 좋고 적당한 기장감과 핏 감이 매우 만족입니다 가격도 착해서 가성비도 매우 굿,"바지, 핏, 가성비, 사이즈, 기장감, 가격, 트릴"
워싱 있는 버뮤다팬츠 필요했는데 이 가격이면 너무너무 좋은 상품입니다 무릎까지 오는 기장이고 여름에 입기 제격입니다 데님 버뮤다 필요하시면 정말 추천드립니다,"기장, 버뮤다, 필요하다, 필요, 데님, 상품, 버뮤다팬츠, 워싱, 무릎, 제격, 가격, 추천드리다, 여름"
무진장 할인할 때 구매했는데 트릴리니 온 제품은 믿고 살만합니다 모든 티에 어울리고 기장도 딱 무릎 정도 까지고 오고 다만 허리가 사이즈 표 보다 살짝 작은 느낌이긴 한데 그래도 만족합니다,"기장, 믿다, 할인, 허리, 모든, 무릎, 사이즈, 만족, 티, 무진장, 트릴, 표"
핏도 좋고 색깔도 이뻐서 코디하기에도 좋고 시원해서 여름에도 잘 입고 다닐 것 같습니다,"시원, 색깔, 핏, 코디, 여름"
